,Level,Syllable,SyllableFrequency,Pattern,PatternFrequency,SyllableProbability,PatternProbability,TotalSyllables
1_fi,1,fi,2,CV,1703,0.0005702879954376961,0.48560022811519815,3507
1_rra,1,rra,24,CCV,215,0.006843455945252352,0.061305959509552324,3507
1_bes,1,bes,2,CVC,636,0.0005702879954376961,0.18135158254918735,3507
1_ro,1,ro,20,CV,1703,0.00570287995437696,0.48560022811519815,3507
1_gre,1,gre,1,CCV,215,0.00028514399771884804,0.061305959509552324,3507
1_llue,1,llue,12,CCVV,23,0.003421727972626176,0.006558311947533505,3507
1_ron,1,ron,6,CVC,636,0.001710863986313088,0.18135158254918735,3507
1_o,1,o,21,V,258,0.005988023952095809,0.07356715141146279,3507
1_fra,1,fra,1,CCV,215,0.00028514399771884804,0.061305959509552324,3507
1_ton,1,ton,7,CVC,636,0.001996007984031936,0.18135158254918735,3507
1_prar,1,prar,1,CCVC,45,0.00028514399771884804,0.01283147989734816,3507
1_rri,1,rri,6,CCV,215,0.001710863986313088,0.061305959509552324,3507
1_cua,1,cua,2,CVV,281,0.0005702879954376961,0.0801254633589963,3507
1_cias,1,cias,1,CVVC,87,0.00028514399771884804,0.02480752780153978,3507
1_llo,1,llo,5,CCV,215,0.00142571998859424,0.061305959509552324,3507
1_fe,1,fe,4,CV,1703,0.0011405759908753922,0.48560022811519815,3507
1_col,1,col,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_han,1,han,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_hay,1,hay,2,CVV,281,0.0005702879954376961,0.0801254633589963,3507
1_bria,1,bria,1,CCVV,23,0.00028514399771884804,0.006558311947533505,3507
1_nan,1,nan,2,CVC,636,0.0005702879954376961,0.18135158254918735,3507
1_du,1,du,1,CV,1703,0.00028514399771884804,0.48560022811519815,3507
1_ba,1,ba,8,CV,1703,0.0022811519817507843,0.48560022811519815,3507
1_gar,1,gar,4,CVC,636,0.0011405759908753922,0.18135158254918735,3507
1_te,1,te,43,CV,1703,0.012261191901910464,0.48560022811519815,3507
1_ul,1,ul,1,VC,230,0.00028514399771884804,0.06558311947533504,3507
1_gor,1,gor,2,CVC,636,0.0005702879954376961,0.18135158254918735,3507
1_mor,1,mor,2,CVC,636,0.0005702879954376961,0.18135158254918735,3507
1_jan,1,jan,2,CVC,636,0.0005702879954376961,0.18135158254918735,3507
1_heim,1,heim,1,CVVC,87,0.00028514399771884804,0.02480752780153978,3507
1_tos,1,tos,23,CVC,636,0.006558311947533505,0.18135158254918735,3507
1_bros,1,bros,2,CCVC,45,0.0005702879954376961,0.01283147989734816,3507
1_char,1,char,3,CCVC,45,0.000855431993156544,0.01283147989734816,3507
1_quie,1,quie,5,CCVV,23,0.00142571998859424,0.006558311947533505,3507
1_nar,1,nar,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_ay,1,ay,1,VV,9,0.00028514399771884804,0.0025662959794696323,3507
1_mas,1,mas,16,CVC,636,0.004562303963501569,0.18135158254918735,3507
1_ac,1,ac,1,VC,230,0.00028514399771884804,0.06558311947533504,3507
1_zon,1,zon,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_pan,1,pan,3,CVC,636,0.000855431993156544,0.18135158254918735,3507
1_ru,1,ru,1,CV,1703,0.00028514399771884804,0.48560022811519815,3507
1_ben,1,ben,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_jo,1,jo,9,CV,1703,0.0025662959794696323,0.48560022811519815,3507
1_ge,1,ge,2,CV,1703,0.0005702879954376961,0.48560022811519815,3507
1_zas,1,zas,2,CVC,636,0.0005702879954376961,0.18135158254918735,3507
1_tem,1,tem,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_ma,1,ma,29,CV,1703,0.008269175933846592,0.48560022811519815,3507
1_que,1,que,113,CVV,281,0.03222127174222983,0.0801254633589963,3507
1_ven,1,ven,3,CVC,636,0.000855431993156544,0.18135158254918735,3507
1_cai,1,cai,1,CVV,281,0.00028514399771884804,0.0801254633589963,3507
1_chos,1,chos,1,CCVC,45,0.00028514399771884804,0.01283147989734816,3507
1_au,1,au,1,VV,9,0.00028514399771884804,0.0025662959794696323,3507
1_ber,1,ber,3,CVC,636,0.000855431993156544,0.18135158254918735,3507
1_jen,1,jen,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_gria,1,gria,1,CCVV,23,0.00028514399771884804,0.006558311947533505,3507
1_mi,1,mi,46,CV,1703,0.01311662389506701,0.48560022811519815,3507
1_to,1,to,58,CV,1703,0.016538351867693184,0.48560022811519815,3507
1_bru,1,bru,4,CCV,215,0.0011405759908753922,0.061305959509552324,3507
1_cies,1,cies,1,CVVC,87,0.00028514399771884804,0.02480752780153978,3507
1_din,1,din,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_cen,1,cen,2,CVC,636,0.0005702879954376961,0.18135158254918735,3507
1_vi,1,vi,11,CV,1703,0.003136583974907328,0.48560022811519815,3507
1_so,1,so,15,CV,1703,0.00427715996578272,0.48560022811519815,3507
1_min,1,min,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_be,1,be,6,CV,1703,0.001710863986313088,0.48560022811519815,3507
1_dil,1,dil,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_mos,1,mos,12,CVC,636,0.003421727972626176,0.18135158254918735,3507
1_las,1,las,21,CVC,636,0.005988023952095809,0.18135158254918735,3507
1_yo,1,yo,16,CV,1703,0.004562303963501569,0.48560022811519815,3507
1_gu,1,gu,3,CV,1703,0.000855431993156544,0.48560022811519815,3507
1_quien,1,quien,2,CCVVC,3,0.0005702879954376961,0.000855431993156544,3507
1_pa,1,pa,49,CV,1703,0.013972055888223553,0.48560022811519815,3507
1_da,1,da,35,CV,1703,0.00998003992015968,0.48560022811519815,3507
1_de,1,de,105,CV,1703,0.029940119760479042,0.48560022811519815,3507
1_del,1,del,4,CVC,636,0.0011405759908753922,0.18135158254918735,3507
1_tra,1,tra,23,CCV,215,0.006558311947533505,0.061305959509552324,3507
1_lli,1,lli,10,CCV,215,0.00285143997718848,0.061305959509552324,3507
1_ral,1,ral,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_gas,1,gas,2,CVC,636,0.0005702879954376961,0.18135158254918735,3507
1_ur,1,ur,1,VC,230,0.00028514399771884804,0.06558311947533504,3507
1_den,1,den,3,CVC,636,0.000855431993156544,0.18135158254918735,3507
1_mo,1,mo,25,CV,1703,0.0071285999429712005,0.48560022811519815,3507
1_ju,1,ju,3,CV,1703,0.000855431993156544,0.48560022811519815,3507
1_un,1,un,28,VC,230,0.007984031936127744,0.06558311947533504,3507
1_cal,1,cal,3,CVC,636,0.000855431993156544,0.18135158254918735,3507
1_se,1,se,49,CV,1703,0.013972055888223553,0.48560022811519815,3507
1_tad,1,tad,2,CVC,636,0.0005702879954376961,0.18135158254918735,3507
1_qui,1,qui,7,CVV,281,0.001996007984031936,0.0801254633589963,3507
1_nal,1,nal,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_gi,1,gi,1,CV,1703,0.00028514399771884804,0.48560022811519815,3507
1_es,1,es,50,VC,230,0.014257199885942401,0.06558311947533504,3507
1_ran,1,ran,5,CVC,636,0.00142571998859424,0.18135158254918735,3507
1_nom,1,nom,1,CVC,636,0.00028514399771884804,0.18135158254918735,3507
1_pe,1,pe,40,CV,1703,0.01140575990875392,0.48560022811519815,3507
1_bu,1,bu,1,CV,1703,0.00028514399771884804,0.48560022811519815,3507
1_ye,1,ye,2,CV,1703,0.0005702879954376961,0.48560022811519815,3507
1_tio,1,tio,3,CVV,281,0.000855431993156544,0.0801254633589963,3507
1_nie,1,nie,3,CVV,281,0.000855431993156544,0.0801254633589963,3507
1_lir,1,lir,2,CVC,636,0.0005702879954376961,0.18135158254918735,3507
1_no,1,no,49,CV,1703,0.013972055888223553,0.48560022811519815,3507
1_lu,1,lu,10,CV,1703,0.00285143997718848,0.48560022811519815,3507
