,Level,Syllable,SyllableFrequency,Pattern,PatternFrequency,SyllableProbability,PatternProbability,TotalSyllables
1_y,1,y,94,V,192,0.052222222222222225,0.10666666666666667,1800
1_ve,1,ve,7,CV,867,0.0038888888888888888,0.4816666666666667,1800
1_hau,1,hau,1,CVV,146,0.0005555555555555556,0.0811111111111111,1800
1_gua,1,gua,1,CVV,146,0.0005555555555555556,0.0811111111111111,1800
1_hi,1,hi,3,CV,867,0.0016666666666666668,0.4816666666666667,1800
1_pe,1,pe,12,CV,867,0.006666666666666667,0.4816666666666667,1800
1_va,1,va,8,CV,867,0.0044444444444444444,0.4816666666666667,1800
1_nar,1,nar,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_pue,1,pue,2,CVV,146,0.0011111111111111111,0.0811111111111111,1800
1_di,1,di,8,CV,867,0.0044444444444444444,0.4816666666666667,1800
1_van,1,van,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_mi,1,mi,10,CV,867,0.005555555555555556,0.4816666666666667,1800
1_na,1,na,21,CV,867,0.011666666666666667,0.4816666666666667,1800
1_men,1,men,7,CVC,266,0.0038888888888888888,0.14777777777777779,1800
1_tos,1,tos,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_crei,1,crei,1,CCVV,3,0.0005555555555555556,0.0016666666666666668,1800
1_par,1,par,3,CVC,266,0.0016666666666666668,0.14777777777777779,1800
1_pen,1,pen,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_pre,1,pre,2,CCV,71,0.0011111111111111111,0.03944444444444444,1800
1_cam,1,cam,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_los,1,los,6,CVC,266,0.0033333333333333335,0.14777777777777779,1800
1_dad,1,dad,3,CVC,266,0.0016666666666666668,0.14777777777777779,1800
1_llu,1,llu,5,CCV,71,0.002777777777777778,0.03944444444444444,1800
1_ne,1,ne,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
1_ce,1,ce,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
1_ba,1,ba,29,CV,867,0.01611111111111111,0.4816666666666667,1800
1_prar,1,prar,1,CCVC,11,0.0005555555555555556,0.006111111111111111,1800
1_gre,1,gre,3,CCV,71,0.0016666666666666668,0.03944444444444444,1800
1_as,1,as,1,VC,157,0.0005555555555555556,0.08722222222222223,1800
1_bri,1,bri,5,CCV,71,0.002777777777777778,0.03944444444444444,1800
1_via,1,via,6,CVV,146,0.0033333333333333335,0.0811111111111111,1800
1_rias,1,rias,1,CVVC,74,0.0005555555555555556,0.04111111111111111,1800
1_tras,1,tras,1,CCVC,11,0.0005555555555555556,0.006111111111111111,1800
1_has,1,has,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_i,1,i,5,V,192,0.002777777777777778,0.10666666666666667,1800
1_ves,1,ves,3,CVC,266,0.0016666666666666668,0.14777777777777779,1800
1_fi,1,fi,2,CV,867,0.0011111111111111111,0.4816666666666667,1800
1_som,1,som,5,CVC,266,0.002777777777777778,0.14777777777777779,1800
1_gi,1,gi,2,CV,867,0.0011111111111111111,0.4816666666666667,1800
1_cuan,1,cuan,10,CVVC,74,0.005555555555555556,0.04111111111111111,1800
1_no,1,no,46,CV,867,0.025555555555555557,0.4816666666666667,1800
1_pa,1,pa,22,CV,867,0.012222222222222223,0.4816666666666667,1800
1_tas,1,tas,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_lue,1,lue,6,CVV,146,0.0033333333333333335,0.0811111111111111,1800
1_rri,1,rri,4,CCV,71,0.0022222222222222222,0.03944444444444444,1800
1_pla,1,pla,3,CCV,71,0.0016666666666666668,0.03944444444444444,1800
1_bien,1,bien,4,CVVC,74,0.0022222222222222222,0.04111111111111111,1800
1_sa,1,sa,26,CV,867,0.014444444444444444,0.4816666666666667,1800
1_nu,1,nu,9,CV,867,0.005,0.4816666666666667,1800
1_bi,1,bi,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
1_sus,1,sus,5,CVC,266,0.002777777777777778,0.14777777777777779,1800
1_dias,1,dias,2,CVVC,74,0.0011111111111111111,0.04111111111111111,1800
1_jun,1,jun,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_ple,1,ple,1,CCV,71,0.0005555555555555556,0.03944444444444444,1800
1_ton,1,ton,6,CVC,266,0.0033333333333333335,0.14777777777777779,1800
1_u,1,u,20,V,192,0.011111111111111112,0.10666666666666667,1800
1_pues,1,pues,12,CVVC,74,0.006666666666666667,0.04111111111111111,1800
1_se,1,se,43,CV,867,0.02388888888888889,0.4816666666666667,1800
1_vie,1,vie,2,CVV,146,0.0011111111111111111,0.0811111111111111,1800
1_liz,1,liz,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_ber,1,ber,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_ca,1,ca,15,CV,867,0.008333333333333333,0.4816666666666667,1800
1_ju,1,ju,4,CV,867,0.0022222222222222222,0.4816666666666667,1800
1_cuar,1,cuar,1,CVVC,74,0.0005555555555555556,0.04111111111111111,1800
1_jas,1,jas,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_lar,1,lar,3,CVC,266,0.0016666666666666668,0.14777777777777779,1800
1_mo,1,mo,5,CV,867,0.002777777777777778,0.4816666666666667,1800
1_her,1,her,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_nie,1,nie,4,CVV,146,0.0022222222222222222,0.0811111111111111,1800
1_les,1,les,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_per,1,per,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_gan,1,gan,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_dar,1,dar,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_cer,1,cer,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_que,1,que,37,CVV,146,0.020555555555555556,0.0811111111111111,1800
1_ver,1,ver,6,CVC,266,0.0033333333333333335,0.14777777777777779,1800
1_vi,1,vi,2,CV,867,0.0011111111111111111,0.4816666666666667,1800
1_ul,1,ul,1,VC,157,0.0005555555555555556,0.08722222222222223,1800
1_cie,1,cie,3,CVV,146,0.0016666666666666668,0.0811111111111111,1800
1_brio,1,brio,2,CCVV,3,0.0011111111111111111,0.0016666666666666668,1800
1_en,1,en,30,VC,157,0.016666666666666666,0.08722222222222223,1800
1_ses,1,ses,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_guas,1,guas,8,CVVC,74,0.0044444444444444444,0.04111111111111111,1800
1_je,1,je,4,CV,867,0.0022222222222222222,0.4816666666666667,1800
1_qui,1,qui,2,CVV,146,0.0011111111111111111,0.0811111111111111,1800
1_la,1,la,27,CV,867,0.015,0.4816666666666667,1800
1_pan,1,pan,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_bes,1,bes,6,CVC,266,0.0033333333333333335,0.14777777777777779,1800
1_gual,1,gual,1,CVVC,74,0.0005555555555555556,0.04111111111111111,1800
1_ia,1,ia,4,VV,10,0.0022222222222222222,0.005555555555555556,1800
1_me,1,me,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
1_tan,1,tan,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_nal,1,nal,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_gun,1,gun,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_tu,1,tu,3,CV,867,0.0016666666666666668,0.4816666666666667,1800
1_el,1,el,45,VC,157,0.025,0.08722222222222223,1800
1_su,1,su,36,CV,867,0.02,0.4816666666666667,1800
1_mu,1,mu,8,CV,867,0.0044444444444444444,0.4816666666666667,1800
1_tro,1,tro,2,CCV,71,0.0011111111111111111,0.03944444444444444,1800
1_buen,1,buen,1,CVVC,74,0.0005555555555555556,0.04111111111111111,1800
1_ban,1,ban,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_des,1,des,16,CVC,266,0.008888888888888889,0.14777777777777779,1800
1_ha,1,ha,20,CV,867,0.011111111111111112,0.4816666666666667,1800
1_le,1,le,20,CV,867,0.011111111111111112,0.4816666666666667,1800
1_lan,1,lan,6,CVC,266,0.0033333333333333335,0.14777777777777779,1800
1_ya,1,ya,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
1_da,1,da,6,CV,867,0.0033333333333333335,0.4816666666666667,1800
1_so,1,so,24,CV,867,0.013333333333333334,0.4816666666666667,1800
1_ter,1,ter,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_to,1,to,41,CV,867,0.02277777777777778,0.4816666666666667,1800
1_vol,1,vol,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_cu,1,cu,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
1_tor,1,tor,5,CVC,266,0.002777777777777778,0.14777777777777779,1800
1_gar,1,gar,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_mas,1,mas,7,CVC,266,0.0038888888888888888,0.14777777777777779,1800
1_res,1,res,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_lio,1,lio,17,CVV,146,0.009444444444444445,0.0811111111111111,1800
1_mar,1,mar,1,CVC,266,0.0005555555555555556,0.14777777777777779,1800
1_nas,1,nas,11,CVC,266,0.006111111111111111,0.14777777777777779,1800
1_ti,1,ti,3,CV,867,0.0016666666666666668,0.4816666666666667,1800
1_tros,1,tros,1,CCVC,11,0.0005555555555555556,0.006111111111111111,1800
1_a,1,a,51,V,192,0.028333333333333332,0.10666666666666667,1800
1_pu,1,pu,3,CV,867,0.0016666666666666668,0.4816666666666667,1800
1_hu,1,hu,1,CV,867,0.0005555555555555556,0.4816666666666667,1800
1_com,1,com,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_voy,1,voy,1,CVV,146,0.0005555555555555556,0.0811111111111111,1800
1_por,1,por,8,CVC,266,0.0044444444444444444,0.14777777777777779,1800
1_te,1,te,16,CV,867,0.008888888888888889,0.4816666666666667,1800
1_llen,1,llen,1,CCVC,11,0.0005555555555555556,0.006111111111111111,1800
1_jus,1,jus,2,CVC,266,0.0011111111111111111,0.14777777777777779,1800
1_ho,1,ho,2,CV,867,0.0011111111111111111,0.4816666666666667,1800
1_ces,1,ces,5,CVC,266,0.002777777777777778,0.14777777777777779,1800
1_al,1,al,12,VC,157,0.006666666666666667,0.08722222222222223,1800
1_coi,1,coi,1,CVV,146,0.0005555555555555556,0.0811111111111111,1800
1_llo,1,llo,17,CCV,71,0.009444444444444445,0.03944444444444444,1800
1_lli,1,lli,1,CCV,71,0.0005555555555555556,0.03944444444444444,1800
