,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7,Total
es,0.04415670650730412,0.03953268822279915,0.03861195604941337,0.03602991162474507,0.03642563744865535,0.03830063473744951,0.035552289486354305,0.021501873269262096,0.01867164577220592,0.02348701379396048,0.02746730083234245,0.025855974144025858,0.02283811109789461,0.02422352800095935,0.026421404682274247,0.022714526079641053,0.025193492339282895,0.020483564248845423,0.022399790411317788,0.025544959128065394,0.021883045237219567,0.5972960531140181
en,0.031208499335989376,0.03563842341279207,0.03072816438016016,0.03161114887831407,0.03464310625435945,0.03296306982111945,0.03238476547652231,0.025574197752076887,0.02680714857295279,0.026966571393065738,0.029369797859690846,0.03211796788203212,0.02997502081598668,0.023863772634608465,0.023411371237458192,0.021873247335950644,0.021955457273732427,0.022819885900570498,0.019386953104532357,0.022649863760217985,0.020595807282089002,0.5765442403642215
la,0.039176626826029216,0.033868303044607036,0.0363151033583711,0.03286879673691366,0.033713089979074636,0.03534333525678015,0.03377847604084839,0.02834337840039094,0.024273139503867697,0.019883186280601466,0.020214030915576695,0.017573982426017574,0.025098132508623767,0.03249790142702962,0.02073578595317726,0.018601607777154607,0.016664034117832887,0.014724259712034773,0.01729106628242075,0.018903269754768394,0.016917984553144538,0.5367854908552652
ue,0.024568393094289508,0.024191645031862167,0.024396300204854428,0.02273963290278722,0.022940401457025496,0.02192729371032891,0.019892050781744927,0.03437041863495683,0.020805548146172314,0.020504535851870263,0.015219976218787158,0.014644985355014645,0.016771737837516357,0.010912579445976735,0.02608695652173913,0.025612263974574688,0.024719633549202338,0.02423254550393915,0.021351847000261985,0.02316076294277929,0.023354174328797352,0.4624036824944808
os,0.0348605577689243,0.03257021477460467,0.030417778881370663,0.03613188307273963,0.0372006510113927,0.03700230813618004,0.03973342117933254,0.019384264538198404,0.01720458789010403,0.024356903193736797,0.01914387633769322,0.024946975053024945,0.0214107291542762,0.01894711596114642,0.006020066889632107,0.0036455412226584407,0.00434370557573843,0.0052159739201303994,0.0036678019386953103,0.005449591280653951,0.00680397204854726,0.4284579198287805
as,0.018260292164674636,0.015105027141845645,0.015705506238748525,0.01699524133242692,0.019917848562349842,0.015363531448355453,0.01718065022932874,0.022642124124450238,0.015870898906375032,0.017149248167018766,0.014625445897740785,0.016462983537016463,0.018080171285833235,0.021585321981052882,0.022073578595317726,0.023742755655262664,0.025114515874269466,0.022602553653898398,0.029211422583180508,0.018903269754768394,0.027031997057741817,0.4136243841916562
el,0.022244355909694556,0.01994335614821808,0.02135452231671736,0.01937457511896669,0.019917848562349842,0.02120600115406809,0.018320958872868255,0.013520117282945105,0.016137636703120833,0.018143407481048836,0.017479191438763378,0.014240985759014241,0.014273819436184132,0.01798776831754407,0.020066889632107024,0.020938493176294634,0.018638445743168537,0.021787557728878023,0.023316740895991617,0.02230926430517711,0.021147480691430673,0.40234941667455104
de,0.010624169986719787,0.013570922822751947,0.011608417654727171,0.011828687967369137,0.012012710222428892,0.009737449509521061,0.012492714694777387,0.02003583645544877,0.020672179247799412,0.02833354044985709,0.028180737217598097,0.028986971013028988,0.031164505769002024,0.03405684134788344,0.019732441471571906,0.014021312394840156,0.014689622492497235,0.013854930725346373,0.014671207754781241,0.012431880108991825,0.011585141596175064,0.37429222090311703
an,0.0199203187250996,0.01852725985367005,0.018809361226643492,0.019986403806934058,0.01829032008060141,0.019835545297172533,0.019410587132250464,0.014823261117445839,0.017337956788476928,0.020131726109108985,0.015695600475624256,0.011816988183011816,0.015225407398596407,0.01894711596114642,0.016387959866220735,0.015797345298186577,0.012873163797188438,0.016191252377071447,0.016374115797746922,0.013283378746594006,0.01746965796248621,0.3571347260012766
ar,0.012616201859229747,0.01191881047911258,0.01347073064746415,0.012610469068660774,0.012632721072618772,0.010891517599538372,0.012492714694777387,0.019710050496823586,0.017871432381968526,0.0149123897104511,0.01652794292508918,0.012927987072012929,0.014630664922088735,0.022064995802854058,0.014381270903010033,0.014769115722564966,0.01658505765281946,0.01602825319206737,0.01611212994498297,0.020435967302452316,0.01710187568959176,0.32069229914017877
