,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7,Total
mi,0.000260284867327019,0.0008676162244233967,0.002002747451377341,0.0030583471910924733,0.0011712819029715857,0.0012941942014315668,0.003918733280312342,0.0003325862193623021,0.000260284867327019,0.00020244378569879258,0.00016629310968115104,0.00038319716578700023,0.0002385944617164341,0.0004699587882293399,7.230135203528306e-05,0.00021690405610584918,0.00019521365049526425,0.00032535608415877376,8.676162244233967e-05,0.00011568216325645289,9.399175764586797e-05,0.015732774202877595
ho,2.1690405610584918e-05,4.3380811221169837e-05,0.00018798351529173595,0.0001373725688670378,5.7841081628226447e-05,5.7841081628226447e-05,0.00018798351529173595,3.615067601764153e-05,6.507121683175475e-05,4.3380811221169837e-05,5.0610946424698145e-05,7.230135203528306e-06,5.7841081628226447e-05,2.8920540814113223e-05,1.4460270407056612e-05,1.4460270407056612e-05,5.0610946424698145e-05,4.3380811221169837e-05,0.0,7.230135203528306e-06,7.230135203528306e-06,0.0011206709565468875
la,0.0006940929795387174,0.001655700961607982,0.003145108813534813,0.005111705588894512,0.0023931747523678695,0.0025883884028631335,0.006926469524980117,0.0008965367652375099,0.0008965367652375099,0.0007157833851493023,0.0007880847371845854,0.0007953148723881137,0.001019449063697491,0.0011640517677680572,0.00019521365049526425,0.0005711806810787362,0.0005350300050610947,0.0007157833851493023,0.0003904273009905285,0.00042657797700817004,0.00031089581375171716,0.031935507193984525
soy,8.676162244233967e-05,0.00021690405610584918,0.00042657797700817004,0.0005711806810787362,0.000260284867327019,0.0003687368953799436,0.0006868628443351891,2.1690405610584918e-05,0.0,2.1690405610584918e-05,1.4460270407056612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026751500253054733
jo,5.0610946424698145e-05,7.230135203528306e-05,9.399175764586797e-05,0.00016629310968115104,0.0001301424336635095,3.615067601764153e-05,0.0002747451377340756,6.507121683175475e-05,0.0001229122984599812,0.0002385944617164341,5.7841081628226447e-05,7.953148723881137e-05,5.0610946424698145e-05,5.0610946424698145e-05,0.00019521365049526425,0.0002530547321234907,0.0002892054081411322,0.0005639505458752079,0.0001301424336635095,0.0001446027040705661,0.00018075338008820765,0.0032463307063842093
se,0.00010845202805292459,0.0004771889234328682,0.0007085532499457739,0.0016195502855903406,0.0007013231147422457,0.0006001012218928494,0.002819752729376039,0.00035427662497288697,0.0004916491938399248,0.0003759670305834719,0.00032535608415877376,0.00043380811221169837,0.00030366567854818883,0.0003325862193623021,0.00031089581375171716,0.0010700600101221894,0.0013592654182633215,0.0023425638059431713,0.0008314655484057551,0.0007374737907598872,0.0005494902754681512,0.016853445159424482
an,3.615067601764153e-05,2.8920540814113223e-05,9.399175764586797e-05,5.7841081628226447e-05,5.0610946424698145e-05,7.230135203528306e-05,0.0001446027040705661,1.4460270407056612e-05,7.230135203528306e-05,0.0001229122984599812,5.7841081628226447e-05,7.953148723881137e-05,7.230135203528306e-05,3.615067601764153e-05,1.4460270407056612e-05,2.1690405610584918e-05,1.4460270407056612e-05,7.953148723881137e-05,7.230135203528306e-06,2.1690405610584918e-05,0.0,0.0010989805509363025
dres,1.4460270407056612e-05,0.0,0.0,1.4460270407056612e-05,2.8920540814113223e-05,7.230135203528306e-06,2.8920540814113223e-05,7.230135203528306e-06,0.0,2.8920540814113223e-05,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,7.230135203528306e-06,0.0,7.230135203528306e-06,2.8920540814113223e-05,7.230135203528306e-06,0.0,0.0,0.0,0.00020244378569879258
nu,2.8920540814113223e-05,3.615067601764153e-05,6.507121683175475e-05,4.3380811221169837e-05,6.507121683175475e-05,0.0,8.676162244233967e-05,1.4460270407056612e-05,1.4460270407056612e-05,1.4460270407056612e-05,2.1690405610584918e-05,2.1690405610584918e-05,3.615067601764153e-05,0.00010122189284939629,6.507121683175475e-05,0.00015906297447762274,0.00020967392090232088,0.00015906297447762274,9.399175764586797e-05,9.399175764586797e-05,6.507121683175475e-05,0.001395416094280963
nez,1.4460270407056612e-05,7.230135203528306e-06,1.4460270407056612e-05,0.0,7.230135203528306e-06,0.0,4.3380811221169837e-05,0.0,7.230135203528306e-06,0.0,0.0,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010122189284939629
x,0.00010845202805292459,8.676162244233967e-05,0.00020244378569879258,0.0005856409514857928,0.0001301424336635095,0.0002458245969199624,0.0005277998698575663,0.0,0.0,0.0,0.0,1.4460270407056612e-05,0.0,0.0,0.0,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0019087556937314727
ga,0.00015183283927409441,0.00028197527293760395,0.0005711806810787362,0.000874846359626925,0.00044103824741522664,0.0004844190586363965,0.0012363531198033404,0.00020967392090232088,0.00018798351529173595,9.399175764586797e-05,0.00011568216325645289,7.953148723881137e-05,0.00011568216325645289,0.00016629310968115104,1.4460270407056612e-05,0.00010122189284939629,6.507121683175475e-05,0.0001446027040705661,5.7841081628226447e-05,9.399175764586797e-05,4.3380811221169837e-05,0.0055310534306991545
li,0.00010845202805292459,0.0001446027040705661,0.00041211770660111343,0.0007953148723881137,0.0003904273009905285,0.0003687368953799436,0.0010917504157327742,8.676162244233967e-05,0.00010845202805292459,0.00010845202805292459,0.00018075338008820765,0.00032535608415877376,0.00029643554334466055,0.000260284867327019,0.0,5.0610946424698145e-05,4.3380811221169837e-05,0.00010845202805292459,4.3380811221169837e-05,2.1690405610584918e-05,2.8920540814113223e-05,0.0049743330200274745
cia,1.4460270407056612e-05,1.4460270407056612e-05,5.0610946424698145e-05,3.615067601764153e-05,3.615067601764153e-05,2.8920540814113223e-05,7.953148723881137e-05,2.1690405610584918e-05,0.0001301424336635095,0.00010122189284939629,0.0001446027040705661,0.00015906297447762274,0.00011568216325645289,8.676162244233967e-05,7.230135203528306e-06,5.0610946424698145e-05,5.7841081628226447e-05,0.0001301424336635095,5.0610946424698145e-05,4.3380811221169837e-05,2.1690405610584918e-05,0.0013809558238739065
y,0.000520569734654038,0.0015761694743691708,0.002458245969199624,0.004533294772612248,0.0017280023136432652,0.0022558021835008316,0.006376979249511966,0.0004916491938399248,0.0006001012218928494,0.0005567204106716795,0.000542260140264623,0.0005133395994505098,0.0005711806810787362,0.00046272865302581157,0.0006796327091316607,0.0022774925891114162,0.002877593811004266,0.004265779770081701,0.001843684476899718,0.001489407851926831,0.001229122984599812,0.03784975779047068
vi,8.676162244233967e-05,0.00018075338008820765,0.00030366567854818883,0.0005133395994505098,0.00019521365049526425,0.0001446027040705661,0.0006507121683175475,7.953148723881137e-05,0.00017352324488467935,0.00010845202805292459,7.230135203528306e-05,0.00010845202805292459,0.0001229122984599812,0.0001229122984599812,1.4460270407056612e-05,5.7841081628226447e-05,0.0001229122984599812,0.00015906297447762274,4.3380811221169837e-05,5.0610946424698145e-05,6.507121683175475e-05,0.0033764731400477187
vo,2.8920540814113223e-05,0.0001301424336635095,0.00023136432651290579,0.00039765743619405683,0.00011568216325645289,0.0001229122984599812,0.0003759670305834719,6.507121683175475e-05,6.507121683175475e-05,2.1690405610584918e-05,2.8920540814113223e-05,9.399175764586797e-05,5.0610946424698145e-05,0.0001229122984599812,0.0001301424336635095,0.0006001012218928494,0.000614561492299906,0.0007230135203528306,0.0003470464897693587,0.00021690405610584918,0.0002458245969199624,0.004728508423107512
en,0.00028197527293760395,0.0006651724387246042,0.0010483696045116044,0.002038898127394982,0.0009977586580869062,0.0010122189284939628,0.00264622948449136,0.00035427662497288697,0.0005711806810787362,0.0004699587882293399,0.00044103824741522664,0.0007374737907598872,0.0006507121683175475,0.00039765743619405683,0.00021690405610584918,0.0004916491938399248,0.0005133395994505098,0.000874846359626925,0.0002530547321234907,0.00041934784180464176,0.00020967392090232088,0.015291735955462368
est,7.230135203528306e-06,7.230135203528306e-06,0.0,0.0,7.230135203528306e-06,0.0,7.230135203528306e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8920540814113223e-05
t,7.230135203528306e-06,0.0,7.230135203528306e-06,3.615067601764153e-05,0.0,1.4460270407056612e-05,4.3380811221169837e-05,0.0,0.0,0.0,0.0,1.4460270407056612e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001229122984599812
es,0.0006651724387246042,0.001626780420793869,0.0031161882727207,0.004981563155231003,0.0022341117778902466,0.0024220952931819826,0.006752946280095437,0.0003615067601764153,0.0004771889234328682,0.0003615067601764153,0.0005350300050610947,0.0005567204106716795,0.00043380811221169837,0.00032535608415877376,0.00011568216325645289,0.0005639505458752079,0.0006507121683175475,0.0010122189284939628,0.00030366567854818883,0.0003615067601764153,0.00029643554334466055,0.028154146482539222
ta,0.0001301424336635095,0.0006073313570963777,0.0010049887932904345,0.0019521365049526426,0.0007447039259634155,0.0009399175764586798,0.0029426650278360205,0.0004844190586363965,0.00040488757139758516,0.000542260140264623,0.0003687368953799436,0.0004916491938399248,0.00032535608415877376,0.00044103824741522664,0.000260284867327019,0.0010483696045116044,0.0011857421733786422,0.0018364543416961897,0.0007230135203528306,0.0006217916275034343,0.0004988793290434531,0.017554768274166726
