,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7,Total
CV,746,2114,4188,7667,3257,3541,10231,1703,1975,1965,2175,2321,2099,2192,867,3096,3543,5507,2261,1738,1581,64767.0
CVV,135,374,700,1184,523,572,1468,281,289,293,271,297,247,225,146,496,621,861,349,267,260,9859.0
VC,176,420,771,1322,585,635,1740,230,324,342,358,402,352,280,157,536,623,928,387,321,258,11147.0
CCVC,33,72,159,347,151,147,426,45,79,74,62,72,55,60,11,40,53,67,37,28,15,2033.0
CVC,306,852,1564,2891,1258,1356,4055,636,764,944,884,1138,987,953,266,872,1078,1448,569,475,456,23752.0
C,24,33,61,145,44,63,142,10,1,2,0,14,1,10,0,0,7,5,3,2,2,569.0
V,172,492,873,1596,669,786,2303,258,288,327,330,356,312,246,192,684,837,1240,510,423,378,13272.0
VCC,1,3,2,5,3,6,7,0,4,1,1,7,2,2,0,1,0,1,0,0,0,46.0
CCV,95,265,453,840,397,421,1220,215,243,210,235,253,206,248,71,335,418,538,222,172,154,7211.0
VV,8,19,25,99,27,45,148,9,4,16,8,12,4,30,10,41,51,74,42,31,21,724.0
CVVC,35,122,202,386,182,176,475,87,117,138,162,199,169,110,74,255,279,400,187,104,121,3980.0
CCVV,2,7,35,47,20,19,38,23,7,14,9,16,15,8,3,9,12,20,13,10,7,334.0
CVCC,2,3,11,8,5,9,18,0,0,1,2,7,5,9,0,2,2,1,1,1,1,88.0
CCVVC,9,22,40,48,28,32,73,3,12,3,7,9,5,6,3,6,5,5,0,5,3,324.0
CC,1,8,13,10,16,6,18,0,0,8,0,4,0,3,0,2,1,0,0,0,1,91.0
CCC,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
VVC,0,0,0,3,0,0,5,3,6,7,6,4,2,2,0,2,4,9,1,2,4,60.0
CVVCC,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
VCCC,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
CCVCC,0,0,0,0,2,1,3,1,1,1,2,1,4,0,0,0,0,0,0,0,0,16.0
CVVV,0,0,0,0,0,3,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,8.0
CVCCC,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
VVV,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0
CCCV,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
VVCC,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5.0
CVVCCC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Total,1745.0,4807.0,9102.0,16601.0,7169.0,7823.0,22379.0,3507.0,4114.0,4346.0,4512.0,5116.0,4465.0,4386.0,1800.0,6377.0,7534.0,11104.0,4582.0,3579.0,3262.0,138310.0
