,x,s,h,n,m,d,c,v,t,l,p,b,g,j,r,k,q,z,f,w,Total
Ceele_1,15,0,2,1,0,0,1,0,1,0,0,2,1,1,0,0,0,0,0,0,24.0
Ceele_2,12,4,1,3,0,0,2,1,0,2,2,1,0,3,0,0,0,1,1,0,33.0
Ceele_3,28,5,3,2,4,1,3,2,1,3,2,2,0,1,2,1,1,0,0,0,61.0
Ceele_4,81,8,7,4,4,4,4,5,5,3,3,5,4,1,2,2,1,1,1,0,145.0
Ceele_5,18,5,5,0,1,1,0,2,0,2,3,2,0,0,1,1,2,1,0,0,44.0
Ceele_6,34,3,2,3,6,5,2,0,2,2,1,0,0,0,0,0,2,1,0,0,63.0
Ceele_7,73,4,10,10,8,5,3,4,6,3,2,2,4,3,3,0,1,0,1,0,142.0
cuentos_1,0,0,2,0,2,1,1,0,0,2,0,0,0,0,0,2,0,0,0,0,10.0
cuentos_2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2.0
cuentos_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_5,2,3,0,0,1,3,0,0,2,0,1,0,0,0,0,1,0,0,0,1,14.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
cuentos_7,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,1,7.0
excale_4,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
excale_5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
excale_6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
excale_7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.0
Total,264.0,46.0,33.0,26.0,26.0,22.0,17.0,17.0,17.0,17.0,15.0,14.0,13.0,9.0,8.0,7.0,7.0,6.0,3.0,2.0,569.0
