,es,en,el,un,al,ar,em,er,in,an,as,or,ir,ex,im,os,ul,am,ac,oc,on,is,ol,it,ad,ab,ob,ed,us,ig,ah,ec,at,yr,et,om,eh,ez,av,ur,ot,ys,aq,ip,ic,yt,ej,ov,yv,oh,op,iz,ap,Total
Ceele_1,92,39,15,7,7,5,0,3,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.0
Ceele_2,225,92,29,11,12,14,0,13,4,4,2,1,1,0,0,1,1,3,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,420.0
Ceele_3,431,145,48,26,23,27,0,14,7,13,0,4,1,0,0,2,1,4,1,2,3,0,4,6,0,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,771.0
Ceele_4,689,282,107,43,55,47,5,28,9,8,7,2,7,2,0,3,2,1,4,2,6,2,2,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1322.0
Ceele_5,309,138,43,11,27,14,1,13,2,7,4,2,1,0,1,3,0,0,0,3,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585.0
Ceele_6,335,140,45,19,30,16,0,18,8,10,1,1,0,0,1,1,0,3,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,635.0
Ceele_7,934,366,113,68,68,36,1,61,6,20,7,8,4,1,1,7,0,2,4,2,5,4,1,2,0,0,0,4,4,2,1,1,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1740.0
cuentos_1,50,49,55,28,30,1,0,0,3,2,1,1,0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,230.0
cuentos_2,66,79,71,27,24,4,5,0,12,10,4,2,0,6,3,3,0,0,1,0,1,0,1,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.0
cuentos_3,50,65,79,44,23,10,4,2,16,17,5,1,1,3,5,6,3,2,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.0
cuentos_4,74,61,71,34,40,2,2,3,23,8,3,3,3,5,6,2,2,1,3,0,0,0,0,0,2,3,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,358.0
cuentos_5,77,102,64,24,26,9,5,0,23,11,2,9,0,13,8,3,5,2,4,6,1,0,0,0,1,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,402.0
cuentos_6,60,90,61,28,30,10,4,0,29,10,3,4,0,3,8,0,3,2,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,352.0
cuentos_7,45,55,69,30,27,8,3,0,21,5,3,3,0,2,2,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280.0
excale_1,16,30,45,35,12,5,5,1,1,2,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.0
excale_2,78,68,166,104,40,16,31,1,1,3,14,0,8,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536.0
excale_3,90,71,184,136,56,19,33,6,3,2,17,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623.0
excale_4,140,121,289,185,63,26,48,6,6,11,15,3,8,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,928.0
excale_5,42,35,146,72,27,12,19,4,0,1,16,0,3,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,387.0
excale_6,50,58,94,55,20,13,10,1,0,3,10,0,1,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,321.0
excale_7,41,29,78,52,16,13,9,6,2,0,7,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258.0
Total,3894.0,2115.0,1872.0,1039.0,656.0,307.0,185.0,180.0,176.0,152.0,122.0,48.0,47.0,44.0,43.0,38.0,25.0,22.0,20.0,19.0,19.0,18.0,17.0,10.0,9.0,9.0,8.0,7.0,7.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11147.0
