,ins,esq,est,obs,esc,all,exs,esx,ads,ent,ens,ald,aln,aqu,eng,ess,oll,oht,Total
Ceele_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0
Ceele_3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0
Ceele_4,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5.0
Ceele_5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0
Ceele_6,0,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,6.0
Ceele_7,0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,7.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4.0
cuentos_3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
cuentos_6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
cuentos_7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,16.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.0
