,aun,ien,ian,air,iel,ias,ais,aus,ion,ein,iar,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_3,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_4,1,1,0,0,0,0,0,0,1,0,0,3.0
Ceele_5,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_6,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_7,1,2,0,0,0,0,0,0,0,1,1,5.0
cuentos_1,3,0,0,0,0,0,0,0,0,0,0,3.0
cuentos_2,4,2,0,0,0,0,0,0,0,0,0,6.0
cuentos_3,1,3,3,0,0,0,0,0,0,0,0,7.0
cuentos_4,3,2,1,0,0,0,0,0,0,0,0,6.0
cuentos_5,4,0,0,0,0,0,0,0,0,0,0,4.0
cuentos_6,1,1,0,0,0,0,0,0,0,0,0,2.0
cuentos_7,0,2,0,0,0,0,0,0,0,0,0,2.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,2,0,0,0,0,0,0,0,0,0,2.0
excale_3,0,0,3,0,0,0,0,1,0,0,0,4.0
excale_4,3,4,0,2,0,0,0,0,0,0,0,9.0
excale_5,0,0,0,0,1,0,0,0,0,0,0,1.0
excale_6,0,1,1,0,0,0,0,0,0,0,0,2.0
excale_7,1,0,0,0,1,1,1,0,0,0,0,4.0
Total,22.0,20.0,8.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0
