,x,s,h,n,m,d,c,v,t,l,p,b,g,j,r,k,q,z,f,w,Total
Ceele_1,0.026362038664323375,0.0,0.0035149384885764497,0.0017574692442882249,0.0,0.0,0.0017574692442882249,0.0,0.0017574692442882249,0.0,0.0,0.0035149384885764497,0.0017574692442882249,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.0,0.0421792618629174
Ceele_2,0.0210896309314587,0.007029876977152899,0.0017574692442882249,0.005272407732864675,0.0,0.0,0.0035149384885764497,0.0017574692442882249,0.0,0.0035149384885764497,0.0035149384885764497,0.0017574692442882249,0.0,0.005272407732864675,0.0,0.0,0.0,0.0017574692442882249,0.0017574692442882249,0.0,0.05799648506151142
Ceele_3,0.0492091388400703,0.008787346221441126,0.005272407732864675,0.0035149384885764497,0.007029876977152899,0.0017574692442882249,0.005272407732864675,0.0035149384885764497,0.0017574692442882249,0.005272407732864675,0.0035149384885764497,0.0035149384885764497,0.0,0.0017574692442882249,0.0035149384885764497,0.0017574692442882249,0.0017574692442882249,0.0,0.0,0.0,0.10720562390158173
Ceele_4,0.14235500878734622,0.014059753954305799,0.012302284710017574,0.007029876977152899,0.007029876977152899,0.007029876977152899,0.007029876977152899,0.008787346221441126,0.008787346221441126,0.005272407732864675,0.005272407732864675,0.008787346221441126,0.007029876977152899,0.0017574692442882249,0.0035149384885764497,0.0035149384885764497,0.0017574692442882249,0.0017574692442882249,0.0017574692442882249,0.0,0.2548330404217926
Ceele_5,0.03163444639718805,0.008787346221441126,0.008787346221441126,0.0,0.0017574692442882249,0.0017574692442882249,0.0,0.0035149384885764497,0.0,0.0035149384885764497,0.005272407732864675,0.0035149384885764497,0.0,0.0,0.0017574692442882249,0.0017574692442882249,0.0035149384885764497,0.0017574692442882249,0.0,0.0,0.0773286467486819
Ceele_6,0.05975395430579965,0.005272407732864675,0.0035149384885764497,0.005272407732864675,0.01054481546572935,0.008787346221441126,0.0035149384885764497,0.0,0.0035149384885764497,0.0035149384885764497,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.0035149384885764497,0.0017574692442882249,0.0,0.0,0.11072056239015818
Ceele_7,0.1282952548330404,0.007029876977152899,0.01757469244288225,0.01757469244288225,0.014059753954305799,0.008787346221441126,0.005272407732864675,0.007029876977152899,0.01054481546572935,0.005272407732864675,0.0035149384885764497,0.0035149384885764497,0.007029876977152899,0.005272407732864675,0.005272407732864675,0.0,0.0017574692442882249,0.0,0.0017574692442882249,0.0,0.24956063268892795
cuentos_1,0.0,0.0,0.0035149384885764497,0.0,0.0035149384885764497,0.0017574692442882249,0.0017574692442882249,0.0,0.0,0.0035149384885764497,0.0,0.0,0.0,0.0,0.0,0.0035149384885764497,0.0,0.0,0.0,0.0,0.01757469244288225
cuentos_2,0.0,0.0017574692442882249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017574692442882249
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035149384885764497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035149384885764497
