,la,de,ta,ma,se,mi,do,no,ca,to,co,te,sa,pa,na,ra,ni,ba,go,mo,lo,me,ne,re,pe,le,so,ro,mu,su,ga,ti,da,di,ha,li,vo,si,bo,va,vi,yo,po,jo,ce,tu,ri,ci,ya,bi,pi,ju,ja,ve,fi,be,za,nu,fe,cu,lu,gu,fa,pu,du,ho,zo,hi,ge,je,ye,he,bu,xi,gi,ru,fo,hu,yu,fu,ji,ka,ke,yi,ly,zu,xa,qe,xo,vu,dy,wa,zi,xe,ze,ny,ry,cy,zy,ki,qi,qa,sy,qo,ty,ky,we,wi,gy,my,Total
Ceele_1,0.0014822363240539164,0.0003705590810134791,0.00027791931076010933,0.00030879923417789925,0.00023159942563342442,0.0005558386215202187,7.719980854447481e-05,0.0002007195022156345,0.00047863881297574383,0.00018527954050673954,0.00046319885126684885,0.00018527954050673954,0.00027791931076010933,0.00018527954050673954,0.00018527954050673954,0.0001235196936711597,9.263977025336977e-05,0.00013895965538005466,0.000416878966140164,0.00029335927246900426,0.00015439961708894962,0.0003859990427223741,0.00013895965538005466,0.0002007195022156345,0.00010807973196226473,0.0001235196936711597,0.00013895965538005466,0.00013895965538005466,0.00015439961708894962,0.0,0.0003242391958867942,9.263977025336977e-05,9.263977025336977e-05,0.00013895965538005466,0.0001235196936711597,0.00023159942563342442,6.175984683557985e-05,0.00015439961708894962,0.00015439961708894962,4.6319885126684886e-05,0.00018527954050673954,0.0002007195022156345,3.0879923417789926e-05,0.00010807973196226473,0.00010807973196226473,0.00010807973196226473,1.5439961708894963e-05,0.00010807973196226473,4.6319885126684886e-05,0.00013895965538005466,7.719980854447481e-05,0.0002007195022156345,3.0879923417789926e-05,1.5439961708894963e-05,7.719980854447481e-05,9.263977025336977e-05,3.0879923417789926e-05,6.175984683557985e-05,1.5439961708894963e-05,3.0879923417789926e-05,1.5439961708894963e-05,6.175984683557985e-05,3.0879923417789926e-05,1.5439961708894963e-05,4.6319885126684886e-05,4.6319885126684886e-05,0.0,1.5439961708894963e-05,1.5439961708894963e-05,1.5439961708894963e-05,0.0,4.6319885126684886e-05,0.0,1.5439961708894963e-05,0.0,0.0,1.5439961708894963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011518211434835642
Ceele_2,0.0035357512313369463,0.0013278367069649668,0.0012969567835471767,0.0017755955965229207,0.0010190374727870675,0.0018527954050673954,0.0003242391958867942,0.0008491978939892229,0.0007719980854447482,0.000401439004431269,0.0013123967452560717,0.000818317970571433,0.0007719980854447482,0.0008646378556981179,0.0005249586981024287,0.0002470393873423194,0.00029335927246900426,0.0005249586981024287,0.0011425571664582272,0.000818317970571433,0.0003705590810134791,0.0009572776259514877,0.000802878008862538,0.000401439004431269,0.00027791931076010933,0.000416878966140164,0.00026247934905121434,0.00033967915759568917,0.00029335927246900426,3.0879923417789926e-05,0.0006021585066469036,0.00046319885126684885,0.00026247934905121434,0.00033967915759568917,0.00023159942563342442,0.00030879923417789925,0.00027791931076010933,0.00023159942563342442,0.0003705590810134791,0.00016983957879784458,0.0003859990427223741,0.0005712785832291136,6.175984683557985e-05,0.00015439961708894962,0.00027791931076010933,0.0002470393873423194,0.00015439961708894962,0.00018527954050673954,0.0001235196936711597,0.0002470393873423194,0.00021615946392452946,0.00021615946392452946,0.00027791931076010933,6.175984683557985e-05,0.00010807973196226473,0.00013895965538005466,9.263977025336977e-05,7.719980854447481e-05,1.5439961708894963e-05,7.719980854447481e-05,7.719980854447481e-05,9.263977025336977e-05,0.0001235196936711597,3.0879923417789926e-05,7.719980854447481e-05,9.263977025336977e-05,0.0,6.175984683557985e-05,3.0879923417789926e-05,0.0001235196936711597,6.175984683557985e-05,4.6319885126684886e-05,1.5439961708894963e-05,1.5439961708894963e-05,1.5439961708894963e-05,1.5439961708894963e-05,4.6319885126684886e-05,0.0,0.0,0.0,1.5439961708894963e-05,1.5439961708894963e-05,0.0,3.0879923417789926e-05,0.0,0.0,0.0,0.0,0.0,3.0879923417789926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0879923417789926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5439961708894963e-05,0.0,0.0,0.03264007905260395
Ceele_3,0.006716383343369308,0.0021615946392452945,0.0021461546775363998,0.003180632112032362,0.0015131162474717062,0.004276869393363905,0.0010344774344959624,0.001235196936711597,0.0018219154816496055,0.000833757932280328,0.0022233544860808746,0.001667515864560656,0.0017292757113962357,0.0015748760943072862,0.001235196936711597,0.0009881575493692776,0.0007102382386091682,0.0006175984683557985,0.002038074945574135,0.0017292757113962357,0.000802878008862538,0.00208439483070082,0.002007195022156345,0.0009572776259514877,0.00047863881297574383,0.0006947982769002733,0.000401439004431269,0.0008800778174070128,0.0008955177791159078,6.175984683557985e-05,0.001219756975002702,0.0007411181620269582,0.0004940787746846388,0.0009263977025336977,0.0005867185449380085,0.0008800778174070128,0.0004940787746846388,0.0005558386215202187,0.0008491978939892229,0.00027791931076010933,0.0006484783917735884,0.0006330384300646934,0.0003705590810134791,0.0002007195022156345,0.0005558386215202187,0.0004477588895579539,0.00029335927246900426,0.00018527954050673954,0.00043231892784905893,0.00033967915759568917,0.000401439004431269,0.00046319885126684885,0.0003242391958867942,0.00015439961708894962,0.00026247934905121434,0.00021615946392452946,0.0002470393873423194,0.00013895965538005466,0.00018527954050673954,0.0002007195022156345,0.00016983957879784458,0.00013895965538005466,0.00033967915759568917,6.175984683557985e-05,0.0002007195022156345,0.000401439004431269,0.0,3.0879923417789926e-05,0.00018527954050673954,1.5439961708894963e-05,0.0001235196936711597,4.6319885126684886e-05,6.175984683557985e-05,4.6319885126684886e-05,1.5439961708894963e-05,1.5439961708894963e-05,1.5439961708894963e-05,1.5439961708894963e-05,1.5439961708894963e-05,3.0879923417789926e-05,0.00010807973196226473,4.6319885126684886e-05,1.5439961708894963e-05,0.0,0.0,0.0,0.0,0.0,1.5439961708894963e-05,3.0879923417789926e-05,0.0,0.0,1.5439961708894963e-05,1.5439961708894963e-05,0.0,0.0,3.0879923417789926e-05,0.0,0.0,0.0,0.0,0.0,1.5439961708894963e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.5439961708894963e-05,0.06466255963685211
Ceele_4,0.010916052928188738,0.004493028857288434,0.00416878966140164,0.006685503419951519,0.0034585514227924714,0.006531103802862569,0.0018991152901940804,0.0025784736053854587,0.0041533496996927445,0.0015748760943072862,0.003798230580388161,0.003180632112032362,0.0034585514227924714,0.0027174332607655134,0.0026247934905121433,0.001590316056016181,0.0016520759028517608,0.0015131162474717062,0.003288711843994627,0.002779193107601093,0.0014667963623450214,0.003335031729121312,0.0035511911930458414,0.0018219154816496055,0.0009572776259514877,0.0013895965538005465,0.0009572776259514877,0.0014204764772183364,0.0014667963623450214,0.00016983957879784458,0.0018682353667762903,0.0015748760943072862,0.0014513564006361265,0.001605756017725076,0.0007411181620269582,0.0016983957879784458,0.0008491978939892229,0.0012043170132938071,0.0013895965538005465,0.0005095187363935338,0.0010962372813315424,0.0010499173962048574,0.0005249586981024287,0.0003551191193045841,0.0009572776259514877,0.0006021585066469036,0.0004940787746846388,0.0006021585066469036,0.000818317970571433,0.0009418376642425926,0.0008646378556981179,0.0009727175876603826,0.0005558386215202187,0.00046319885126684885,0.0005712785832291136,0.0005095187363935338,0.00030879923417789925,9.263977025336977e-05,0.00018527954050673954,0.00018527954050673954,0.00033967915759568917,0.00021615946392452946,0.0003705590810134791,0.00023159942563342442,0.0003242391958867942,0.00029335927246900426,3.0879923417789926e-05,3.0879923417789926e-05,0.00023159942563342442,0.00018527954050673954,0.0002470393873423194,1.5439961708894963e-05,0.00015439961708894962,0.0001235196936711597,0.0,0.00016983957879784458,0.0001235196936711597,7.719980854447481e-05,0.0001235196936711597,0.00010807973196226473,4.6319885126684886e-05,1.5439961708894963e-05,1.5439961708894963e-05,0.0,4.6319885126684886e-05,4.6319885126684886e-05,3.0879923417789926e-05,1.5439961708894963e-05,3.0879923417789926e-05,1.5439961708894963e-05,0.0,0.0,0.0,1.5439961708894963e-05,1.5439961708894963e-05,0.0,0.0,1.5439961708894963e-05,0.0,0.0,0.0,1.5439961708894963e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.5439961708894963e-05,0.0,0.11837818642209767
Ceele_5,0.0051106273256442325,0.0019454351753207652,0.001590316056016181,0.0025321537202587737,0.0014976762857628113,0.002501273796840984,0.0010344774344959624,0.0009263977025336977,0.0018836753284851853,0.0006639183534824834,0.0017910355582318157,0.0014359164389272316,0.0013587166303827567,0.0010344774344959624,0.0011579971281671221,0.0005095187363935338,0.0005095187363935338,0.0007102382386091682,0.0012815168218382818,0.0013123967452560717,0.0006330384300646934,0.0012969567835471767,0.0015131162474717062,0.0006330384300646934,0.00018527954050673954,0.0006639183534824834,0.00043231892784905893,0.0006330384300646934,0.0006330384300646934,0.00010807973196226473,0.0009418376642425926,0.0006330384300646934,0.0003242391958867942,0.000833757932280328,0.0003859990427223741,0.000833757932280328,0.0002470393873423194,0.0005558386215202187,0.0005403986598113236,0.0001235196936711597,0.000416878966140164,0.0006484783917735884,0.00016983957879784458,0.00027791931076010933,0.0005249586981024287,0.00033967915759568917,0.0002470393873423194,0.0002470393873423194,0.00029335927246900426,0.0004940787746846388,0.00027791931076010933,0.00033967915759568917,0.00030879923417789925,0.00010807973196226473,0.0003859990427223741,0.00015439961708894962,0.00018527954050673954,0.00013895965538005466,6.175984683557985e-05,4.6319885126684886e-05,0.00010807973196226473,0.00013895965538005466,0.0001235196936711597,6.175984683557985e-05,0.0003242391958867942,0.0001235196936711597,0.0,9.263977025336977e-05,0.0001235196936711597,4.6319885126684886e-05,1.5439961708894963e-05,3.0879923417789926e-05,0.0001235196936711597,9.263977025336977e-05,1.5439961708894963e-05,1.5439961708894963e-05,6.175984683557985e-05,0.0,0.0,0.0,0.0,3.0879923417789926e-05,1.5439961708894963e-05,1.5439961708894963e-05,0.0,1.5439961708894963e-05,1.5439961708894963e-05,3.0879923417789926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5439961708894963e-05,0.0,0.0,1.5439961708894963e-05,1.5439961708894963e-05,0.0,0.0,0.0,0.0,1.5439961708894963e-05,0.0,0.0,0.0,0.05028795528587089
Ceele_6,0.005527506291784397,0.0016983957879784458,0.002007195022156345,0.002871832877854463,0.0012815168218382818,0.0027637531458921984,0.0010344774344959624,0.0010807973196226472,0.0018064755199407106,0.0006947982769002733,0.0018219154816496055,0.0015439961708894963,0.0015285562091806012,0.001173437089876017,0.0015439961708894963,0.0007102382386091682,0.0009109577408248028,0.0006484783917735884,0.001621195979433971,0.0013895965538005465,0.0006947982769002733,0.0012969567835471767,0.001621195979433971,0.0010190374727870675,0.0005249586981024287,0.000818317970571433,0.00029335927246900426,0.0004940787746846388,0.0007565581237358531,3.0879923417789926e-05,0.0010344774344959624,0.0006175984683557985,0.0006330384300646934,0.0007411181620269582,0.00021615946392452946,0.0007874380471536431,0.00026247934905121434,0.0005712785832291136,0.0008491978939892229,0.00018527954050673954,0.00030879923417789925,0.0006330384300646934,0.00023159942563342442,7.719980854447481e-05,0.0005249586981024287,0.0003242391958867942,0.00021615946392452946,0.00026247934905121434,0.00027791931076010933,0.00046319885126684885,0.00046319885126684885,0.0004940787746846388,0.00027791931076010933,0.00021615946392452946,0.00023159942563342442,0.0003859990427223741,0.00018527954050673954,0.0,7.719980854447481e-05,6.175984683557985e-05,0.00023159942563342442,6.175984683557985e-05,0.0002470393873423194,7.719980854447481e-05,0.00023159942563342442,0.0001235196936711597,0.0,1.5439961708894963e-05,0.00010807973196226473,4.6319885126684886e-05,9.263977025336977e-05,3.0879923417789926e-05,7.719980854447481e-05,3.0879923417789926e-05,1.5439961708894963e-05,3.0879923417789926e-05,6.175984683557985e-05,1.5439961708894963e-05,0.0,1.5439961708894963e-05,0.0,9.263977025336977e-05,4.6319885126684886e-05,1.5439961708894963e-05,4.6319885126684886e-05,0.0,0.0,0.0,0.0,0.0,1.5439961708894963e-05,0.0,1.5439961708894963e-05,1.5439961708894963e-05,0.0,1.5439961708894963e-05,0.0,0.0,1.5439961708894963e-05,1.5439961708894963e-05,1.5439961708894963e-05,0.0,1.5439961708894963e-05,1.5439961708894963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.05467290441119706
Ceele_7,0.014791483317121374,0.006299504377229145,0.006284064415520249,0.008847098059196814,0.0060215850664690354,0.00836845924622107,0.0026247934905121433,0.003211512035450152,0.005048867478808653,0.0026247934905121433,0.004493028857288434,0.0043386292401994845,0.0041070298145660595,0.0039526301974771106,0.0034431114610835767,0.002424073988296509,0.0022079145243719795,0.0018373554433585005,0.004415829048743959,0.0035511911930458414,0.002068954868991925,0.003937190235768215,0.004029830006021585,0.002068954868991925,0.0012043170132938071,0.0019145552519029753,0.001188877051584912,0.0015594361325983912,0.0018064755199407106,0.00018527954050673954,0.0026402334522210385,0.00202263498386524,0.0016983957879784458,0.00196087513702966,0.0010344774344959624,0.0023314342180431394,0.000802878008862538,0.0018373554433585005,0.0018682353667762903,0.0008646378556981179,0.0013895965538005465,0.001667515864560656,0.0007102382386091682,0.0005867185449380085,0.0013587166303827567,0.0009418376642425926,0.0009418376642425926,0.000833757932280328,0.0010035975110781726,0.0014359164389272316,0.0010807973196226472,0.001188877051584912,0.000802878008862538,0.0004477588895579539,0.0005867185449380085,0.0007565581237358531,0.0005249586981024287,0.00018527954050673954,0.00015439961708894962,0.00016983957879784458,0.0003705590810134791,0.000416878966140164,0.0005403986598113236,0.00023159942563342442,0.0004477588895579539,0.000401439004431269,6.175984683557985e-05,0.0001235196936711597,0.0003859990427223741,0.00010807973196226473,0.00029335927246900426,9.263977025336977e-05,0.00030879923417789925,0.00015439961708894962,4.6319885126684886e-05,0.00015439961708894962,0.00010807973196226473,0.0,9.263977025336977e-05,9.263977025336977e-05,9.263977025336977e-05,0.00015439961708894962,0.00013895965538005466,4.6319885126684886e-05,6.175984683557985e-05,1.5439961708894963e-05,3.0879923417789926e-05,4.6319885126684886e-05,3.0879923417789926e-05,1.5439961708894963e-05,6.175984683557985e-05,0.0,1.5439961708894963e-05,1.5439961708894963e-05,1.5439961708894963e-05,4.6319885126684886e-05,0.0,1.5439961708894963e-05,0.0,0.0,0.0,0.0,0.0,1.5439961708894963e-05,1.5439961708894963e-05,1.5439961708894963e-05,0.0,0.0,0.0,0.0,0.15796624824370437
cuentos_1,0.0019145552519029753,0.001621195979433971,0.0010344774344959624,0.0004477588895579539,0.0007565581237358531,0.0007102382386091682,0.0008800778174070128,0.0007565581237358531,0.0008491978939892229,0.0008955177791159078,0.000802878008862538,0.0006639183534824834,0.0003242391958867942,0.0007565581237358531,0.0007102382386091682,0.0007565581237358531,0.00030879923417789925,0.0001235196936711597,0.00033967915759568917,0.0003859990427223741,0.00047863881297574383,0.0005558386215202187,0.00027791931076010933,0.000401439004431269,0.0006175984683557985,0.000833757932280328,0.00023159942563342442,0.00030879923417789925,0.00021615946392452946,0.00018527954050673954,0.0004477588895579539,0.0002007195022156345,0.0005403986598113236,0.00047863881297574383,0.00023159942563342442,0.00018527954050673954,0.00013895965538005466,0.0003859990427223741,0.00010807973196226473,0.0005403986598113236,0.00016983957879784458,0.0002470393873423194,0.00026247934905121434,0.00013895965538005466,0.00021615946392452946,0.00029335927246900426,0.00023159942563342442,0.00018527954050673954,0.0001235196936711597,1.5439961708894963e-05,0.00018527954050673954,4.6319885126684886e-05,0.00027791931076010933,0.000416878966140164,3.0879923417789926e-05,9.263977025336977e-05,1.5439961708894963e-05,3.0879923417789926e-05,6.175984683557985e-05,7.719980854447481e-05,0.00015439961708894962,4.6319885126684886e-05,4.6319885126684886e-05,0.0,1.5439961708894963e-05,7.719980854447481e-05,1.5439961708894963e-05,7.719980854447481e-05,3.0879923417789926e-05,0.0,3.0879923417789926e-05,0.0001235196936711597,1.5439961708894963e-05,0.0,1.5439961708894963e-05,1.5439961708894963e-05,0.0,6.175984683557985e-05,1.5439961708894963e-05,0.0,1.5439961708894963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5439961708894963e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02629425479024812
cuentos_2,0.0019145552519029753,0.00196087513702966,0.0008646378556981179,0.0007256782003180632,0.0010499173962048574,0.0005558386215202187,0.0011579971281671221,0.000802878008862538,0.0008491978939892229,0.0008491978939892229,0.0006947982769002733,0.0009881575493692776,0.0007411181620269582,0.0007411181620269582,0.0010962372813315424,0.0010653573579137523,0.0003242391958867942,0.0004477588895579539,0.00026247934905121434,0.00043231892784905893,0.000416878966140164,0.00029335927246900426,0.0003859990427223741,0.0006793583151913783,0.0004940787746846388,0.0005403986598113236,0.000416878966140164,0.0006021585066469036,0.00029335927246900426,0.0004477588895579539,0.000401439004431269,0.0003859990427223741,0.0005558386215202187,0.000401439004431269,0.00033967915759568917,0.00023159942563342442,0.00013895965538005466,0.00026247934905121434,0.00013895965538005466,0.00023159942563342442,0.0003705590810134791,3.0879923417789926e-05,0.00030879923417789925,0.00026247934905121434,0.00027791931076010933,0.00030879923417789925,0.0002007195022156345,0.0003242391958867942,0.00013895965538005466,0.00010807973196226473,9.263977025336977e-05,9.263977025336977e-05,0.00030879923417789925,0.0002007195022156345,6.175984683557985e-05,0.00015439961708894962,0.00026247934905121434,3.0879923417789926e-05,0.00016983957879784458,0.00015439961708894962,0.00015439961708894962,0.00013895965538005466,9.263977025336977e-05,4.6319885126684886e-05,0.00010807973196226473,0.00013895965538005466,3.0879923417789926e-05,0.00013895965538005466,1.5439961708894963e-05,0.0001235196936711597,1.5439961708894963e-05,7.719980854447481e-05,4.6319885126684886e-05,3.0879923417789926e-05,4.6319885126684886e-05,3.0879923417789926e-05,7.719980854447481e-05,7.719980854447481e-05,0.0,3.0879923417789926e-05,3.0879923417789926e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03049392437506755
cuentos_3,0.0015285562091806012,0.0026093535288032486,0.0011579971281671221,0.0004940787746846388,0.000802878008862538,0.00043231892784905893,0.0013895965538005465,0.0010962372813315424,0.0007719980854447482,0.0009572776259514877,0.0008955177791159078,0.0011271172047493323,0.0006639183534824834,0.0007565581237358531,0.000833757932280328,0.000802878008862538,0.00026247934905121434,0.000833757932280328,0.00021615946392452946,0.0007102382386091682,0.0003242391958867942,0.00027791931076010933,0.00026247934905121434,0.00047863881297574383,0.0005712785832291136,0.000416878966140164,0.0005867185449380085,0.0007102382386091682,0.00033967915759568917,0.0005095187363935338,0.0002007195022156345,0.00033967915759568917,0.0006947982769002733,0.0003551191193045841,0.00030879923417789925,0.00023159942563342442,4.6319885126684886e-05,0.0003551191193045841,0.00010807973196226473,9.263977025336977e-05,0.00023159942563342442,0.00013895965538005466,0.00030879923417789925,0.0005095187363935338,0.00016983957879784458,0.00016983957879784458,0.00015439961708894962,0.00029335927246900426,0.00015439961708894962,3.0879923417789926e-05,0.00016983957879784458,3.0879923417789926e-05,9.263977025336977e-05,0.00021615946392452946,0.00013895965538005466,4.6319885126684886e-05,0.00021615946392452946,3.0879923417789926e-05,0.00015439961708894962,0.0002007195022156345,9.263977025336977e-05,0.00013895965538005466,9.263977025336977e-05,4.6319885126684886e-05,7.719980854447481e-05,9.263977025336977e-05,9.263977025336977e-05,0.00015439961708894962,1.5439961708894963e-05,9.263977025336977e-05,0.0,7.719980854447481e-05,6.175984683557985e-05,0.0,6.175984683557985e-05,1.5439961708894963e-05,0.0,6.175984683557985e-05,1.5439961708894963e-05,3.0879923417789926e-05,0.0,0.0,0.0,4.6319885126684886e-05,0.0,0.0,1.5439961708894963e-05,0.0,0.0,0.0,0.0,4.6319885126684886e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303395247579786
