,y,a,u,o,e,i,Total
Ceele_1,0.0054249547920434,0.005877034358047016,0.0002260397830018083,0.0009795057263411694,0.0004520795660036166,0.0,0.01295961422543701
Ceele_2,0.01642555756479807,0.013034960819770946,0.002561784207353828,0.002561784207353828,0.002185051235684147,0.0003013863773357444,0.037070524412296565
Ceele_3,0.025617842073538274,0.026597347799879444,0.002938517179023508,0.006555153707052441,0.003465943339361061,0.0006027727546714888,0.06577757685352623
Ceele_4,0.047242314647377937,0.0461121157323689,0.00715792646172393,0.009644364074743821,0.008589511754068717,0.0015069318866787222,0.12025316455696203
Ceele_5,0.01800783604581073,0.02147377938517179,0.002185051235684147,0.004370102471368294,0.0032399035563592526,0.0011301989150090416,0.050406871609403256
Ceele_6,0.023508137432188065,0.023131404460518385,0.002938517179023508,0.003993369499698613,0.003691983122362869,0.0019590114526823387,0.05922242314647378
Ceele_7,0.06645569620253164,0.06871609403254973,0.00949367088607595,0.014391199517781797,0.012206148282097649,0.0022603978300180833,0.17352320675105484
cuentos_1,0.005123568414707656,0.008740204942736588,0.0026371308016877636,0.0015822784810126582,0.0009795057263411694,0.00037673297166968055,0.019439421338155516
cuentos_2,0.006253767329716697,0.009267631103074141,0.002335744424352019,0.002034358047016275,0.001431585292344786,0.00037673297166968055,0.0216998191681736
cuentos_3,0.0058016877637130804,0.010548523206751054,0.0024110910186859553,0.002561784207353828,0.002863170584689572,0.0004520795660036166,0.024638336347197108
cuentos_4,0.005650994575045208,0.009041591320072333,0.003315250150693189,0.0022603978300180833,0.003465943339361061,0.0011301989150090416,0.024864376130198915
cuentos_5,0.005349608197709464,0.009945750452079566,0.003541289933694997,0.0038426763110307413,0.003541289933694997,0.0006027727546714888,0.026823387582881254
cuentos_6,0.005952380952380952,0.007911392405063292,0.0030138637733574444,0.002787823990355636,0.002787823990355636,0.0010548523206751054,0.023508137432188065
cuentos_7,0.004822182037371911,0.005650994575045208,0.002561784207353828,0.0024110910186859553,0.0018083182640144665,0.001280892103676914,0.018535262206148283
excale_1,0.007082579867389994,0.0038426763110307413,0.0015069318866787222,0.00037673297166968055,0.001280892103676914,0.00037673297166968055,0.014466546112115732
excale_2,0.023734177215189875,0.01604882459312839,0.0061030741410488245,0.001280892103676914,0.0026371308016877636,0.0017329716696805305,0.051537070524412296
excale_3,0.02998794454490657,0.02267932489451477,0.005575647980711272,0.0009041591320072332,0.002938517179023508,0.0009795057263411694,0.06306509945750452
excale_4,0.044454490657022304,0.02998794454490657,0.009342977697408076,0.0016576250753465944,0.004219409282700422,0.0037673297166968055,0.09342977697408077
excale_5,0.019213381555153706,0.012582881253767329,0.002938517179023508,0.0007534659433393611,0.001280892103676914,0.0016576250753465944,0.03842676311030741
excale_6,0.015521398432790838,0.010548523206751054,0.0032399035563592526,0.0005274261603375527,0.0012055455093429777,0.0008288125376732972,0.03187160940325497
excale_7,0.012808921036769137,0.009116937914406268,0.0027124773960217,0.0007534659433393611,0.0015069318866787222,0.0015822784810126582,0.028481012658227847
Total,0.3944394213381555,0.3708559373116335,0.07873719107896324,0.06622965641952984,0.06577757685352623,0.02396021699819168,1.0
