,es,en,el,un,al,ar,em,er,in,an,as,or,ir,ex,im,os,ul,am,ac,oc,on,is,ol,it,ad,ab,ob,ed,us,ig,ah,ec,at,yr,et,om,eh,ez,av,ur,ot,ys,aq,ip,ic,yt,ej,ov,yv,oh,op,iz,ap,Total
Ceele_1,0.008253341706288688,0.0034986992015789004,0.0013456535390688076,0.0006279716515654436,0.0006279716515654436,0.0004485511796896026,0.0,0.00026913070781376156,0.0,0.0004485511796896026,0.0,0.00017942047187584104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015789001525074012
Ceele_2,0.020184803086032117,0.008253341706288688,0.002601596842199695,0.0009868125953171258,0.0010765228312550462,0.0012559433031308872,0.0,0.0011662330671929667,0.0003588409437516821,0.0003588409437516821,0.00017942047187584104,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.00026913070781376156,0.0,0.00017942047187584104,0.00017942047187584104,0.00017942047187584104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037678299093926615
Ceele_3,0.03866511168924374,0.013007984210998474,0.004306091325020185,0.0023324661343859334,0.002063335426572172,0.002422176370323854,0.0,0.0012559433031308872,0.0006279716515654436,0.0011662330671929667,0.0,0.0003588409437516821,8.971023593792052e-05,0.0,0.0,0.00017942047187584104,8.971023593792052e-05,0.0003588409437516821,8.971023593792052e-05,0.00017942047187584104,0.00026913070781376156,0.0,0.0003588409437516821,0.0005382614156275231,0.0,8.971023593792052e-05,0.0,0.00017942047187584104,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,8.971023593792052e-05,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.06916659190813672
Ceele_4,0.06181035256122724,0.025298286534493584,0.009598995245357496,0.0038575401453305822,0.004934062976585629,0.004216381089082264,0.0004485511796896026,0.0025118866062617744,0.0008073921234412846,0.0007176818875033642,0.0006279716515654436,0.00017942047187584104,0.0006279716515654436,0.00017942047187584104,0.0,0.00026913070781376156,0.00017942047187584104,8.971023593792052e-05,0.0003588409437516821,0.00017942047187584104,0.0005382614156275231,0.00017942047187584104,0.00017942047187584104,8.971023593792052e-05,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,8.971023593792052e-05,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.11859693190993092
Ceele_5,0.02772046290481744,0.012380012559433032,0.0038575401453305822,0.0009868125953171258,0.002422176370323854,0.0012559433031308872,8.971023593792052e-05,0.0011662330671929667,0.00017942047187584104,0.0006279716515654436,0.0003588409437516821,0.00017942047187584104,8.971023593792052e-05,0.0,8.971023593792052e-05,0.00026913070781376156,0.0,0.0,0.0,0.00026913070781376156,0.0,0.00026913070781376156,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.00017942047187584104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052480488023683505
Ceele_6,0.030052929039203372,0.012559433031308872,0.004036960617206423,0.0017044944828204897,0.0026913070781376153,0.0014353637750067283,0.0,0.0016147842468825693,0.0007176818875033642,0.0008971023593792052,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,0.00026913070781376156,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.00017942047187584104,8.971023593792052e-05,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05696599982057953
Ceele_7,0.08378936036601776,0.03283394635327891,0.01013725666098502,0.006100296043778595,0.006100296043778595,0.0032295684937651385,8.971023593792052e-05,0.0054723243922131515,0.0005382614156275231,0.0017942047187584104,0.0006279716515654436,0.0007176818875033642,0.0003588409437516821,8.971023593792052e-05,8.971023593792052e-05,0.0006279716515654436,0.0,0.00017942047187584104,0.0003588409437516821,0.00017942047187584104,0.0004485511796896026,0.0003588409437516821,8.971023593792052e-05,0.00017942047187584104,0.0,0.0,0.0,0.0003588409437516821,0.0003588409437516821,0.00017942047187584104,8.971023593792052e-05,8.971023593792052e-05,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,8.971023593792052e-05,0.0,8.971023593792052e-05,0.0,8.971023593792052e-05,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560958105319817
cuentos_1,0.004485511796896026,0.004395801560958105,0.004934062976585629,0.0025118866062617744,0.0026913070781376153,8.971023593792052e-05,0.0,0.0,0.00026913070781376156,0.00017942047187584104,8.971023593792052e-05,8.971023593792052e-05,0.0,0.00017942047187584104,0.0,0.0003588409437516821,8.971023593792052e-05,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02063335426572172
cuentos_2,0.005920875571902754,0.007087108639095721,0.006369426751592357,0.002422176370323854,0.0021530456625100925,0.0003588409437516821,0.0004485511796896026,0.0,0.0010765228312550462,0.0008971023593792052,0.0003588409437516821,0.00017942047187584104,0.0,0.0005382614156275231,0.00026913070781376156,0.00026913070781376156,0.0,0.0,8.971023593792052e-05,0.0,8.971023593792052e-05,0.0,8.971023593792052e-05,0.0,0.00017942047187584104,8.971023593792052e-05,0.0,0.0,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029066116443886247
cuentos_3,0.004485511796896026,0.005831165335964833,0.007087108639095721,0.003947250381268503,0.002063335426572172,0.0008971023593792052,0.0003588409437516821,0.00017942047187584104,0.0014353637750067283,0.0015250740109446488,0.0004485511796896026,8.971023593792052e-05,8.971023593792052e-05,0.00026913070781376156,0.0004485511796896026,0.0005382614156275231,0.00026913070781376156,0.00017942047187584104,8.971023593792052e-05,0.0,0.0,0.0,0.00026913070781376156,0.0,8.971023593792052e-05,8.971023593792052e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030680900690768818
