,ai,ay,ia,au,io,eu,oi,ue,uu,ua,eo,ii,ui,uy,ie,oo,oy,Total
Ceele_1,0.0027624309392265192,0.008287292817679558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011049723756906077
Ceele_2,0.008287292817679558,0.016574585635359115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026243093922651933
Ceele_3,0.004143646408839779,0.026243093922651933,0.0013812154696132596,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013812154696132596,0.034530386740331494
Ceele_4,0.03729281767955801,0.08701657458563536,0.004143646408839779,0.0055248618784530384,0.0,0.0,0.0013812154696132596,0.0,0.0,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13674033149171272
Ceele_5,0.008287292817679558,0.029005524861878452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03729281767955801
Ceele_6,0.029005524861878452,0.027624309392265192,0.0013812154696132596,0.0027624309392265192,0.0,0.0,0.0,0.0,0.0,0.0,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.0,0.062154696132596686
Ceele_7,0.04558011049723757,0.1408839779005525,0.0013812154696132596,0.009668508287292817,0.0,0.0,0.0,0.004143646408839779,0.0,0.0,0.0013812154696132596,0.0,0.0,0.0,0.0013812154696132596,0.0,0.0,0.20441988950276244
cuentos_1,0.0,0.0013812154696132596,0.0,0.0013812154696132596,0.0,0.0,0.0027624309392265192,0.0,0.004143646408839779,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.0013812154696132596,0.0,0.012430939226519336
cuentos_2,0.0,0.0,0.0,0.0027624309392265192,0.0027624309392265192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384
cuentos_3,0.0027624309392265192,0.0013812154696132596,0.008287292817679558,0.008287292817679558,0.0,0.0,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022099447513812154
cuentos_4,0.0013812154696132596,0.0,0.0027624309392265192,0.0013812154696132596,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011049723756906077
cuentos_5,0.0,0.0,0.0,0.008287292817679558,0.0013812154696132596,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.016574585635359115
cuentos_6,0.0,0.0,0.0,0.004143646408839779,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055248618784530384
cuentos_7,0.011049723756906077,0.0,0.019337016574585635,0.008287292817679558,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013812154696132596,0.0,0.0,0.0,0.0,0.04143646408839779
excale_1,0.008287292817679558,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013812154696132596
excale_2,0.03591160220994475,0.0013812154696132596,0.009668508287292817,0.0027624309392265192,0.006906077348066298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05662983425414365
excale_3,0.04281767955801105,0.0,0.020718232044198894,0.0027624309392265192,0.0027624309392265192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013812154696132596,0.0,0.0,0.0,0.07044198895027624
excale_4,0.08011049723756906,0.0027624309392265192,0.006906077348066298,0.009668508287292817,0.0027624309392265192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10220994475138122
excale_5,0.03591160220994475,0.0013812154696132596,0.015193370165745856,0.0,0.0055248618784530384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058011049723756904
excale_6,0.031767955801104975,0.0027624309392265192,0.006906077348066298,0.0,0.0013812154696132596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04281767955801105
excale_7,0.020718232044198894,0.0,0.008287292817679558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029005524861878452
Total,0.40607734806629836,0.34668508287292815,0.11187845303867404,0.06906077348066299,0.026243093922651933,0.011049723756906077,0.0055248618784530384,0.004143646408839779,0.004143646408839779,0.004143646408839779,0.0027624309392265192,0.0013812154696132596,0.0013812154696132596,0.0013812154696132596,0.0013812154696132596,0.0013812154696132596,0.0013812154696132596,1.0
