,la,de,ta,ma,se,mi,do,no,ca,to,co,te,sa,pa,na,ra,ni,ba,go,mo,lo,me,ne,re,pe,le,so,ro,mu,su,ga,ti,da,di,ha,li,vo,si,bo,va,vi,yo,po,jo,ce,tu,ri,ci,ya,bi,pi,ju,ja,ve,fi,be,za,nu,fe,cu,lu,gu,fa,pu,du,ho,zo,hi,ge,je,ye,he,bu,xi,gi,ru,fo,hu,yu,fu,ji,ka,ke,yi,ly,zu,xa,qe,xo,vu,dy,wa,zi,xe,ze,ny,ry,cy,zy,ki,qi,qa,sy,qo,ty,ky,we,wi,gy,my,Total
Ceele_1,0.0030241935483870967,0.0007560483870967742,0.0005670362903225807,0.0006300403225806451,0.0004725302419354839,0.0011340725806451614,0.00015751008064516129,0.00040952620967741937,0.0009765625,0.0003780241935483871,0.0009450604838709678,0.0003780241935483871,0.0005670362903225807,0.0003780241935483871,0.0003780241935483871,0.00025201612903225806,0.00018901209677419354,0.00028351814516129034,0.000850554435483871,0.0005985383064516129,0.00031502016129032257,0.0007875504032258064,0.00028351814516129034,0.00040952620967741937,0.0002205141129032258,0.00025201612903225806,0.00028351814516129034,0.00028351814516129034,0.00031502016129032257,0.0,0.0006615423387096774,0.00018901209677419354,0.00018901209677419354,0.00028351814516129034,0.00025201612903225806,0.0004725302419354839,0.00012600806451612903,0.00031502016129032257,0.00031502016129032257,9.450604838709677e-05,0.0003780241935483871,0.00040952620967741937,6.300403225806451e-05,0.0002205141129032258,0.0002205141129032258,0.0002205141129032258,3.150201612903226e-05,0.0002205141129032258,9.450604838709677e-05,0.00028351814516129034,0.00015751008064516129,0.00040952620967741937,6.300403225806451e-05,3.150201612903226e-05,0.00015751008064516129,0.00018901209677419354,6.300403225806451e-05,0.00012600806451612903,3.150201612903226e-05,6.300403225806451e-05,3.150201612903226e-05,0.00012600806451612903,6.300403225806451e-05,3.150201612903226e-05,9.450604838709677e-05,9.450604838709677e-05,0.0,3.150201612903226e-05,3.150201612903226e-05,3.150201612903226e-05,0.0,9.450604838709677e-05,0.0,3.150201612903226e-05,0.0,0.0,3.150201612903226e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023500504032258066
Ceele_2,0.007213961693548387,0.0027091733870967744,0.0026461693548387095,0.0036227318548387095,0.002079133064516129,0.003780241935483871,0.0006615423387096774,0.0017326108870967742,0.0015751008064516128,0.0008190524193548387,0.0026776713709677417,0.0016696068548387097,0.0015751008064516128,0.0017641129032258064,0.0010710685483870967,0.0005040322580645161,0.0005985383064516129,0.0010710685483870967,0.002331149193548387,0.0016696068548387097,0.0007560483870967742,0.001953125,0.0016381048387096775,0.0008190524193548387,0.0005670362903225807,0.000850554435483871,0.0005355342741935483,0.0006930443548387097,0.0005985383064516129,6.300403225806451e-05,0.001228578629032258,0.0009450604838709678,0.0005355342741935483,0.0006930443548387097,0.0004725302419354839,0.0006300403225806451,0.0005670362903225807,0.0004725302419354839,0.0007560483870967742,0.00034652217741935486,0.0007875504032258064,0.0011655745967741936,0.00012600806451612903,0.00031502016129032257,0.0005670362903225807,0.0005040322580645161,0.00031502016129032257,0.0003780241935483871,0.00025201612903225806,0.0005040322580645161,0.0004410282258064516,0.0004410282258064516,0.0005670362903225807,0.00012600806451612903,0.0002205141129032258,0.00028351814516129034,0.00018901209677419354,0.00015751008064516129,3.150201612903226e-05,0.00015751008064516129,0.00015751008064516129,0.00018901209677419354,0.00025201612903225806,6.300403225806451e-05,0.00015751008064516129,0.00018901209677419354,0.0,0.00012600806451612903,6.300403225806451e-05,0.00025201612903225806,0.00012600806451612903,9.450604838709677e-05,3.150201612903226e-05,3.150201612903226e-05,3.150201612903226e-05,3.150201612903226e-05,9.450604838709677e-05,0.0,0.0,0.0,3.150201612903226e-05,3.150201612903226e-05,0.0,6.300403225806451e-05,0.0,0.0,0.0,0.0,0.0,6.300403225806451e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.300403225806451e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.150201612903226e-05,0.0,0.0,0.06659526209677419
Ceele_3,0.013703377016129033,0.0044102822580645165,0.0043787802419354835,0.0064894153225806455,0.003087197580645161,0.008726058467741936,0.002110635080645161,0.0025201612903225806,0.0037172379032258066,0.001701108870967742,0.0045362903225806455,0.003402217741935484,0.003528225806451613,0.0032132056451612905,0.0025201612903225806,0.0020161290322580645,0.0014490927419354839,0.0012600806451612903,0.004158266129032258,0.003528225806451613,0.0016381048387096775,0.0042527721774193545,0.004095262096774193,0.001953125,0.0009765625,0.0014175907258064517,0.0008190524193548387,0.0017956149193548386,0.0018271169354838709,0.00012600806451612903,0.0024886592741935483,0.0015120967741935483,0.0010080645161290322,0.0018901209677419355,0.0011970766129032258,0.0017956149193548386,0.0010080645161290322,0.0011340725806451614,0.0017326108870967742,0.0005670362903225807,0.0013230846774193547,0.0012915826612903225,0.0007560483870967742,0.00040952620967741937,0.0011340725806451614,0.0009135584677419354,0.0005985383064516129,0.0003780241935483871,0.0008820564516129032,0.0006930443548387097,0.0008190524193548387,0.0009450604838709678,0.0006615423387096774,0.00031502016129032257,0.0005355342741935483,0.0004410282258064516,0.0005040322580645161,0.00028351814516129034,0.0003780241935483871,0.00040952620967741937,0.00034652217741935486,0.00028351814516129034,0.0006930443548387097,0.00012600806451612903,0.00040952620967741937,0.0008190524193548387,0.0,6.300403225806451e-05,0.0003780241935483871,3.150201612903226e-05,0.00025201612903225806,9.450604838709677e-05,0.00012600806451612903,9.450604838709677e-05,3.150201612903226e-05,3.150201612903226e-05,3.150201612903226e-05,3.150201612903226e-05,3.150201612903226e-05,6.300403225806451e-05,0.0002205141129032258,9.450604838709677e-05,3.150201612903226e-05,0.0,0.0,0.0,0.0,0.0,3.150201612903226e-05,6.300403225806451e-05,0.0,0.0,3.150201612903226e-05,3.150201612903226e-05,0.0,0.0,6.300403225806451e-05,0.0,0.0,0.0,0.0,0.0,3.150201612903226e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.150201612903226e-05,0.1319304435483871
Ceele_4,0.022271925403225805,0.009167086693548387,0.008505544354838709,0.013640372983870967,0.007056451612903226,0.013325352822580645,0.0038747479838709678,0.005260836693548387,0.008474042338709678,0.0032132056451612905,0.0077494959677419355,0.0064894153225806455,0.007056451612903226,0.005544354838709678,0.0053553427419354835,0.0032447076612903227,0.0033707157258064517,0.003087197580645161,0.006709929435483871,0.005670362903225807,0.0029926915322580645,0.006804435483870968,0.007245463709677419,0.0037172379032258066,0.001953125,0.0028351814516129033,0.001953125,0.0028981854838709678,0.0029926915322580645,0.00034652217741935486,0.0038117439516129033,0.0032132056451612905,0.0029611895161290322,0.003276209677419355,0.0015120967741935483,0.0034652217741935483,0.0017326108870967742,0.002457157258064516,0.0028351814516129033,0.0010395665322580645,0.0022366431451612905,0.0021421370967741934,0.0010710685483870967,0.0007245463709677419,0.001953125,0.001228578629032258,0.0010080645161290322,0.001228578629032258,0.0016696068548387097,0.0019216229838709678,0.0017641129032258064,0.0019846270161290322,0.0011340725806451614,0.0009450604838709678,0.0011655745967741936,0.0010395665322580645,0.0006300403225806451,0.00018901209677419354,0.0003780241935483871,0.0003780241935483871,0.0006930443548387097,0.0004410282258064516,0.0007560483870967742,0.0004725302419354839,0.0006615423387096774,0.0005985383064516129,6.300403225806451e-05,6.300403225806451e-05,0.0004725302419354839,0.0003780241935483871,0.0005040322580645161,3.150201612903226e-05,0.00031502016129032257,0.00025201612903225806,0.0,0.00034652217741935486,0.00025201612903225806,0.00015751008064516129,0.00025201612903225806,0.0002205141129032258,9.450604838709677e-05,3.150201612903226e-05,3.150201612903226e-05,0.0,9.450604838709677e-05,9.450604838709677e-05,6.300403225806451e-05,3.150201612903226e-05,6.300403225806451e-05,3.150201612903226e-05,0.0,0.0,0.0,3.150201612903226e-05,3.150201612903226e-05,0.0,0.0,3.150201612903226e-05,0.0,0.0,0.0,3.150201612903226e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.150201612903226e-05,0.0,0.2415259576612903
Ceele_5,0.010427167338709678,0.0039692540322580645,0.0032447076612903227,0.00516633064516129,0.003055695564516129,0.005103326612903226,0.002110635080645161,0.0018901209677419355,0.0038432459677419355,0.0013545866935483872,0.0036542338709677417,0.0029296875,0.002772177419354839,0.002110635080645161,0.0023626512096774194,0.0010395665322580645,0.0010395665322580645,0.0014490927419354839,0.0026146673387096773,0.0026776713709677417,0.0012915826612903225,0.0026461693548387095,0.003087197580645161,0.0012915826612903225,0.0003780241935483871,0.0013545866935483872,0.0008820564516129032,0.0012915826612903225,0.0012915826612903225,0.0002205141129032258,0.0019216229838709678,0.0012915826612903225,0.0006615423387096774,0.001701108870967742,0.0007875504032258064,0.001701108870967742,0.0005040322580645161,0.0011340725806451614,0.0011025705645161291,0.00025201612903225806,0.000850554435483871,0.0013230846774193547,0.00034652217741935486,0.0005670362903225807,0.0010710685483870967,0.0006930443548387097,0.0005040322580645161,0.0005040322580645161,0.0005985383064516129,0.0010080645161290322,0.0005670362903225807,0.0006930443548387097,0.0006300403225806451,0.0002205141129032258,0.0007875504032258064,0.00031502016129032257,0.0003780241935483871,0.00028351814516129034,0.00012600806451612903,9.450604838709677e-05,0.0002205141129032258,0.00028351814516129034,0.00025201612903225806,0.00012600806451612903,0.0006615423387096774,0.00025201612903225806,0.0,0.00018901209677419354,0.00025201612903225806,9.450604838709677e-05,3.150201612903226e-05,6.300403225806451e-05,0.00025201612903225806,0.00018901209677419354,3.150201612903226e-05,3.150201612903226e-05,0.00012600806451612903,0.0,0.0,0.0,0.0,6.300403225806451e-05,3.150201612903226e-05,3.150201612903226e-05,0.0,3.150201612903226e-05,3.150201612903226e-05,6.300403225806451e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.150201612903226e-05,0.0,0.0,3.150201612903226e-05,3.150201612903226e-05,0.0,0.0,0.0,0.0,3.150201612903226e-05,0.0,0.0,0.0,0.10260206653225806
Ceele_6,0.011277721774193549,0.0034652217741935483,0.004095262096774193,0.005859375,0.0026146673387096773,0.005638860887096774,0.002110635080645161,0.0022051411290322583,0.0036857358870967744,0.0014175907258064517,0.0037172379032258066,0.0031502016129032256,0.0031186995967741934,0.0023941532258064517,0.0031502016129032256,0.0014490927419354839,0.0018586189516129033,0.0013230846774193547,0.003307711693548387,0.0028351814516129033,0.0014175907258064517,0.0026461693548387095,0.003307711693548387,0.002079133064516129,0.0010710685483870967,0.0016696068548387097,0.0005985383064516129,0.0010080645161290322,0.0015435987903225806,6.300403225806451e-05,0.002110635080645161,0.0012600806451612903,0.0012915826612903225,0.0015120967741935483,0.0004410282258064516,0.0016066028225806453,0.0005355342741935483,0.0011655745967741936,0.0017326108870967742,0.0003780241935483871,0.0006300403225806451,0.0012915826612903225,0.0004725302419354839,0.00015751008064516129,0.0010710685483870967,0.0006615423387096774,0.0004410282258064516,0.0005355342741935483,0.0005670362903225807,0.0009450604838709678,0.0009450604838709678,0.0010080645161290322,0.0005670362903225807,0.0004410282258064516,0.0004725302419354839,0.0007875504032258064,0.0003780241935483871,0.0,0.00015751008064516129,0.00012600806451612903,0.0004725302419354839,0.00012600806451612903,0.0005040322580645161,0.00015751008064516129,0.0004725302419354839,0.00025201612903225806,0.0,3.150201612903226e-05,0.0002205141129032258,9.450604838709677e-05,0.00018901209677419354,6.300403225806451e-05,0.00015751008064516129,6.300403225806451e-05,3.150201612903226e-05,6.300403225806451e-05,0.00012600806451612903,3.150201612903226e-05,0.0,3.150201612903226e-05,0.0,0.00018901209677419354,9.450604838709677e-05,3.150201612903226e-05,9.450604838709677e-05,0.0,0.0,0.0,0.0,0.0,3.150201612903226e-05,0.0,3.150201612903226e-05,3.150201612903226e-05,0.0,3.150201612903226e-05,0.0,0.0,3.150201612903226e-05,3.150201612903226e-05,3.150201612903226e-05,0.0,3.150201612903226e-05,3.150201612903226e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.11154863911290322
Ceele_7,0.030178931451612902,0.012852822580645162,0.012821320564516129,0.018050655241935484,0.01228578629032258,0.017074092741935484,0.0053553427419354835,0.00655241935483871,0.010301159274193549,0.0053553427419354835,0.009167086693548387,0.008852066532258064,0.00837953629032258,0.008064516129032258,0.007024949596774193,0.0049458165322580645,0.004504788306451613,0.003748739919354839,0.009009576612903226,0.007245463709677419,0.004221270161290322,0.008033014112903226,0.00822202620967742,0.004221270161290322,0.002457157258064516,0.00390625,0.002425655241935484,0.0031817036290322583,0.0036857358870967744,0.0003780241935483871,0.0053868447580645165,0.004126764112903226,0.0034652217741935483,0.004000756048387097,0.002110635080645161,0.004756804435483871,0.0016381048387096775,0.003748739919354839,0.0038117439516129033,0.0017641129032258064,0.0028351814516129033,0.003402217741935484,0.0014490927419354839,0.0011970766129032258,0.002772177419354839,0.0019216229838709678,0.0019216229838709678,0.001701108870967742,0.0020476310483870967,0.0029296875,0.0022051411290322583,0.002425655241935484,0.0016381048387096775,0.0009135584677419354,0.0011970766129032258,0.0015435987903225806,0.0010710685483870967,0.0003780241935483871,0.00031502016129032257,0.00034652217741935486,0.0007560483870967742,0.000850554435483871,0.0011025705645161291,0.0004725302419354839,0.0009135584677419354,0.0008190524193548387,0.00012600806451612903,0.00025201612903225806,0.0007875504032258064,0.0002205141129032258,0.0005985383064516129,0.00018901209677419354,0.0006300403225806451,0.00031502016129032257,9.450604838709677e-05,0.00031502016129032257,0.0002205141129032258,0.0,0.00018901209677419354,0.00018901209677419354,0.00018901209677419354,0.00031502016129032257,0.00028351814516129034,9.450604838709677e-05,0.00012600806451612903,3.150201612903226e-05,6.300403225806451e-05,9.450604838709677e-05,6.300403225806451e-05,3.150201612903226e-05,0.00012600806451612903,0.0,3.150201612903226e-05,3.150201612903226e-05,3.150201612903226e-05,9.450604838709677e-05,0.0,3.150201612903226e-05,0.0,0.0,0.0,0.0,0.0,3.150201612903226e-05,3.150201612903226e-05,3.150201612903226e-05,0.0,0.0,0.0,0.0,0.32229712701612906
cuentos_1,0.008593208593208593,0.007276507276507277,0.004643104643104643,0.0020097020097020095,0.0033957033957033957,0.003187803187803188,0.00395010395010395,0.0033957033957033957,0.0038115038115038116,0.004019404019404019,0.0036036036036036037,0.00297990297990298,0.0014553014553014554,0.0033957033957033957,0.003187803187803188,0.0033957033957033957,0.001386001386001386,0.0005544005544005544,0.0015246015246015245,0.0017325017325017325,0.0021483021483021483,0.002494802494802495,0.0012474012474012475,0.0018018018018018018,0.002772002772002772,0.0037422037422037424,0.0010395010395010396,0.001386001386001386,0.0009702009702009702,0.0008316008316008316,0.0020097020097020095,0.0009009009009009009,0.0024255024255024253,0.0021483021483021483,0.0010395010395010396,0.0008316008316008316,0.0006237006237006237,0.0017325017325017325,0.0004851004851004851,0.0024255024255024253,0.0007623007623007623,0.0011088011088011087,0.001178101178101178,0.0006237006237006237,0.0009702009702009702,0.0013167013167013166,0.0010395010395010396,0.0008316008316008316,0.0005544005544005544,6.93000693000693e-05,0.0008316008316008316,0.0002079002079002079,0.0012474012474012475,0.0018711018711018712,0.0001386001386001386,0.0004158004158004158,6.93000693000693e-05,0.0001386001386001386,0.0002772002772002772,0.0003465003465003465,0.000693000693000693,0.0002079002079002079,0.0002079002079002079,0.0,6.93000693000693e-05,0.0003465003465003465,6.93000693000693e-05,0.0003465003465003465,0.0001386001386001386,0.0,0.0001386001386001386,0.0005544005544005544,6.93000693000693e-05,0.0,6.93000693000693e-05,6.93000693000693e-05,0.0,0.0002772002772002772,6.93000693000693e-05,0.0,6.93000693000693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93000693000693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11801801801801802
cuentos_2,0.008593208593208593,0.008801108801108801,0.0038808038808038807,0.003257103257103257,0.004712404712404712,0.002494802494802495,0.005197505197505198,0.0036036036036036037,0.0038115038115038116,0.0038115038115038116,0.0031185031185031187,0.004435204435204435,0.0033264033264033266,0.0033264033264033266,0.00492030492030492,0.004781704781704782,0.0014553014553014554,0.0020097020097020095,0.001178101178101178,0.0019404019404019404,0.0018711018711018712,0.0013167013167013166,0.0017325017325017325,0.003049203049203049,0.0022176022176022174,0.0024255024255024253,0.0018711018711018712,0.002702702702702703,0.0013167013167013166,0.0020097020097020095,0.0018018018018018018,0.0017325017325017325,0.002494802494802495,0.0018018018018018018,0.0015246015246015245,0.0010395010395010396,0.0006237006237006237,0.001178101178101178,0.0006237006237006237,0.0010395010395010396,0.0016632016632016633,0.0001386001386001386,0.001386001386001386,0.001178101178101178,0.0012474012474012475,0.001386001386001386,0.0009009009009009009,0.0014553014553014554,0.0006237006237006237,0.0004851004851004851,0.0004158004158004158,0.0004158004158004158,0.001386001386001386,0.0009009009009009009,0.0002772002772002772,0.000693000693000693,0.001178101178101178,0.0001386001386001386,0.0007623007623007623,0.000693000693000693,0.000693000693000693,0.0006237006237006237,0.0004158004158004158,0.0002079002079002079,0.0004851004851004851,0.0006237006237006237,0.0001386001386001386,0.0006237006237006237,6.93000693000693e-05,0.0005544005544005544,6.93000693000693e-05,0.0003465003465003465,0.0002079002079002079,0.0001386001386001386,0.0002079002079002079,0.0001386001386001386,0.0003465003465003465,0.0003465003465003465,0.0,0.0001386001386001386,0.0001386001386001386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13686763686763687
cuentos_3,0.006860706860706861,0.011711711711711712,0.005197505197505198,0.0022176022176022174,0.0036036036036036037,0.0019404019404019404,0.006237006237006237,0.00492030492030492,0.003465003465003465,0.0042966042966042966,0.004019404019404019,0.005058905058905059,0.00297990297990298,0.0033957033957033957,0.0037422037422037424,0.0036036036036036037,0.001178101178101178,0.0037422037422037424,0.0009702009702009702,0.003187803187803188,0.0014553014553014554,0.0012474012474012475,0.001178101178101178,0.0021483021483021483,0.002564102564102564,0.0018711018711018712,0.0026334026334026333,0.003187803187803188,0.0015246015246015245,0.002286902286902287,0.0009009009009009009,0.0015246015246015245,0.0031185031185031187,0.001593901593901594,0.001386001386001386,0.0010395010395010396,0.0002079002079002079,0.001593901593901594,0.0004851004851004851,0.0004158004158004158,0.0010395010395010396,0.0006237006237006237,0.001386001386001386,0.002286902286902287,0.0007623007623007623,0.0007623007623007623,0.000693000693000693,0.0013167013167013166,0.000693000693000693,0.0001386001386001386,0.0007623007623007623,0.0001386001386001386,0.0004158004158004158,0.0009702009702009702,0.0006237006237006237,0.0002079002079002079,0.0009702009702009702,0.0001386001386001386,0.000693000693000693,0.0009009009009009009,0.0004158004158004158,0.0006237006237006237,0.0004158004158004158,0.0002079002079002079,0.0003465003465003465,0.0004158004158004158,0.0004158004158004158,0.000693000693000693,6.93000693000693e-05,0.0004158004158004158,0.0,0.0003465003465003465,0.0002772002772002772,0.0,0.0002772002772002772,6.93000693000693e-05,0.0,0.0002772002772002772,6.93000693000693e-05,0.0001386001386001386,0.0,0.0,0.0,0.0002079002079002079,0.0,0.0,6.93000693000693e-05,0.0,0.0,0.0,0.0,0.0002079002079002079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13617463617463618
cuentos_4,0.0075537075537075535,0.012404712404712404,0.0035343035343035345,0.004019404019404019,0.0031185031185031187,0.001593901593901594,0.006444906444906445,0.0038808038808038807,0.002772002772002772,0.0052668052668052665,0.003672903672903673,0.006167706167706168,0.002841302841302841,0.00395010395010395,0.00589050589050589,0.005613305613305614,0.0017325017325017325,0.002286902286902287,0.0009702009702009702,0.0026334026334026333,0.002564102564102564,0.0018711018711018712,0.002286902286902287,0.002564102564102564,0.0018018018018018018,0.0020097020097020095,0.0024255024255024253,0.0022176022176022174,0.0014553014553014554,0.002286902286902287,0.0011088011088011087,0.0029106029106029108,0.002702702702702703,0.002079002079002079,0.0024255024255024253,0.0017325017325017325,0.0002772002772002772,0.002841302841302841,0.0002079002079002079,0.0011088011088011087,0.000693000693000693,0.0004158004158004158,0.002494802494802495,0.0005544005544005544,0.0011088011088011087,0.001593901593901594,0.001593901593901594,0.001593901593901594,0.0004158004158004158,0.0004851004851004851,0.0007623007623007623,0.0002079002079002079,0.000693000693000693,0.001178101178101178,0.0009009009009009009,0.0008316008316008316,0.0010395010395010396,0.0002079002079002079,0.0004851004851004851,0.0009702009702009702,0.0005544005544005544,0.0011088011088011087,0.0002079002079002079,0.0004158004158004158,0.0006237006237006237,0.0004851004851004851,0.0002772002772002772,0.0004851004851004851,0.000693000693000693,0.0004851004851004851,0.0001386001386001386,0.0005544005544005544,0.0002772002772002772,0.0,0.0002079002079002079,6.93000693000693e-05,0.0001386001386001386,0.0003465003465003465,0.0,6.93000693000693e-05,0.0,0.0,0.0,6.93000693000693e-05,0.0,0.0,6.93000693000693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15072765072765074
cuentos_5,0.007623007623007623,0.014137214137214138,0.004712404712404712,0.0024255024255024253,0.004158004158004158,0.003672903672903673,0.004019404019404019,0.004088704088704089,0.005544005544005544,0.004365904365904366,0.00492030492030492,0.008662508662508662,0.0014553014553014554,0.0024255024255024253,0.00498960498960499,0.0036036036036036037,0.0033957033957033957,0.0016632016632016633,0.001178101178101178,0.00395010395010395,0.0035343035343035345,0.002841302841302841,0.001386001386001386,0.003257103257103257,0.0018711018711018712,0.0011088011088011087,0.002841302841302841,0.001178101178101178,0.0002772002772002772,0.001386001386001386,0.0007623007623007623,0.0060291060291060294,0.00297990297990298,0.0019404019404019404,0.0016632016632016633,0.0031185031185031187,0.0009009009009009009,0.003257103257103257,0.0003465003465003465,0.0020097020097020095,0.0010395010395010396,0.0003465003465003465,0.002079002079002079,0.0007623007623007623,0.0012474012474012475,0.0029106029106029108,0.0012474012474012475,0.0021483021483021483,0.0002079002079002079,0.000693000693000693,0.0004851004851004851,0.0,0.0008316008316008316,0.0008316008316008316,0.002494802494802495,0.0004158004158004158,0.0015246015246015245,0.0002079002079002079,0.0008316008316008316,0.0009702009702009702,0.0004158004158004158,0.0004158004158004158,0.0002079002079002079,0.0003465003465003465,0.0007623007623007623,6.93000693000693e-05,0.0002772002772002772,0.0002772002772002772,0.0012474012474012475,0.0004851004851004851,6.93000693000693e-05,0.0005544005544005544,6.93000693000693e-05,0.0002772002772002772,0.0002079002079002079,6.93000693000693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93000693000693e-05,0.0,0.0,0.0,0.0,6.93000693000693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16084546084546084
