,vien,cuan,guas,nues,cion,bien,tien,pues,fuer,cuen,dios,sion,mien,juan,cien,siem,puer,luis,dias,bier,dien,tiem,rias,pais,cias,vier,rios,cuer,muer,quin,nuel,rien,guel,niel,sien,vuel,quet,buen,diar,lien,dian,guez,cuar,guar,quer,pios,ruiz,mion,tian,duar,bian,cues,fies,ques,riel,tios,cier,rior,pies,gual,rian,cios,diaz,rial,raul,cial,nian,gues,vian,pier,saul,nion,huer,bios,cual,cian,suer,seis,buel,fuen,mies,diez,pion,guir,pien,sias,mues,sios,tual,mier,nien,ciar,sier,ries,nias,lian,puen,tion,ruis,piel,duer,guos,tein,lain,suel,ciem,quel,qien,gion,pian,dial,said,quis,duos,reir,riar,tier,tias,cuel,dual,viem,quez,mias,sior,sian,beis,ceis,biar,juer,quen,piar,dier,lias,nuen,dies,gios,zien,cies,mios,hian,guen,tuar,hier,liar,jair,tuas,qued,gail,luiz,lios,feis,faus,jias,lour,quir,zaul,cous,puel,mual,duit,paul,jueg,nayn,cuon,juon,bias,ceys,duis,miom,saun,quec,quan,dion,biel,tues,riam,lais,haus,siar,mian,nial,hias,xion,vein,sual,coin,nais,dues,tuir,tuen,viar,miel,gias,reis,heim,maiz,raiz,maus,dair,muel,seys,fien,ciel,bion,bain,pias,guin,sair,juas,buir,huas,hair,gien,cuem,mied,hues,fiel,vios,biem,Total
Ceele_1,0.0,0.0006337135614702154,0.0,0.0031685678073510772,0.0006337135614702154,0.0019011406844106464,0.0038022813688212928,0.0006337135614702154,0.0,0.0012674271229404308,0.0012674271229404308,0.0006337135614702154,0.0,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0012674271229404308,0.0012674271229404308,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022179974651457542
Ceele_2,0.005069708491761723,0.0019011406844106464,0.0,0.00697084917617237,0.0025348542458808617,0.008871989860583017,0.008238276299112801,0.0006337135614702154,0.0,0.0019011406844106464,0.004435994930291508,0.0012674271229404308,0.0025348542458808617,0.0019011406844106464,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0031685678073510772,0.0006337135614702154,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0025348542458808617,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0019011406844106464,0.0006337135614702154,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0019011406844106464,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07731305449936629
Ceele_3,0.0031685678073510772,0.004435994930291508,0.0,0.018377693282636248,0.0076045627376425855,0.005703422053231939,0.012040557667934094,0.0006337135614702154,0.0,0.0063371356147021544,0.00697084917617237,0.0038022813688212928,0.0,0.0025348542458808617,0.0,0.0012674271229404308,0.0025348542458808617,0.0063371356147021544,0.0019011406844106464,0.0019011406844106464,0.0006337135614702154,0.0,0.0006337135614702154,0.0012674271229404308,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0038022813688212928,0.0006337135614702154,0.0,0.0025348542458808617,0.0006337135614702154,0.0,0.0,0.0025348542458808617,0.0,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0031685678073510772,0.0006337135614702154,0.0,0.0006337135614702154,0.0012674271229404308,0.0012674271229404308,0.0006337135614702154,0.0012674271229404308,0.0006337135614702154,0.0,0.0,0.0,0.0006337135614702154,0.0012674271229404308,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0019011406844106464,0.0,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.12801013941698353
Ceele_4,0.004435994930291508,0.013307984790874524,0.0019011406844106464,0.029784537389100127,0.012674271229404309,0.011406844106463879,0.01964512040557668,0.0019011406844106464,0.0,0.012040557667934094,0.010773130544993664,0.012674271229404309,0.005069708491761723,0.00697084917617237,0.0006337135614702154,0.0006337135614702154,0.005703422053231939,0.0025348542458808617,0.0019011406844106464,0.0031685678073510772,0.0,0.0,0.0025348542458808617,0.004435994930291508,0.0012674271229404308,0.0038022813688212928,0.0006337135614702154,0.0006337135614702154,0.0,0.0019011406844106464,0.0031685678073510772,0.0012674271229404308,0.0006337135614702154,0.004435994930291508,0.0019011406844106464,0.0,0.0031685678073510772,0.0006337135614702154,0.0019011406844106464,0.0,0.0,0.0031685678073510772,0.0019011406844106464,0.0012674271229404308,0.0019011406844106464,0.0012674271229404308,0.0025348542458808617,0.0038022813688212928,0.0012674271229404308,0.0012674271229404308,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0025348542458808617,0.0012674271229404308,0.0,0.0,0.0012674271229404308,0.0012674271229404308,0.0012674271229404308,0.0006337135614702154,0.0012674271229404308,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0012674271229404308,0.0,0.0,0.0006337135614702154,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0019011406844106464,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24461343472750316
Ceele_5,0.0012674271229404308,0.005069708491761723,0.0,0.014575411913814956,0.0063371356147021544,0.010773130544993664,0.011406844106463879,0.0,0.0006337135614702154,0.0025348542458808617,0.0038022813688212928,0.009505703422053232,0.0038022813688212928,0.0,0.0006337135614702154,0.0019011406844106464,0.0025348542458808617,0.0006337135614702154,0.0006337135614702154,0.0038022813688212928,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0019011406844106464,0.0,0.0,0.0,0.0025348542458808617,0.0031685678073510772,0.0,0.0012674271229404308,0.0012674271229404308,0.0006337135614702154,0.0,0.0019011406844106464,0.0,0.0019011406844106464,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0,0.0006337135614702154,0.0019011406844106464,0.0006337135614702154,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0006337135614702154,0.0,0.0012674271229404308,0.0012674271229404308,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11533586818757921
Ceele_6,0.0025348542458808617,0.0019011406844106464,0.0,0.015209125475285171,0.005703422053231939,0.005703422053231939,0.012040557667934094,0.0,0.0,0.005703422053231939,0.008238276299112801,0.0063371356147021544,0.0031685678073510772,0.0006337135614702154,0.0,0.0,0.0019011406844106464,0.0031685678073510772,0.0012674271229404308,0.0012674271229404308,0.0006337135614702154,0.0,0.0,0.0012674271229404308,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0025348542458808617,0.0025348542458808617,0.0006337135614702154,0.0006337135614702154,0.0012674271229404308,0.0025348542458808617,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0012674271229404308,0.0019011406844106464,0.0019011406844106464,0.0012674271229404308,0.0019011406844106464,0.0006337135614702154,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0019011406844106464,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11153358681875793
Ceele_7,0.0063371356147021544,0.016476552598225603,0.0012674271229404308,0.036755386565272496,0.015842839036755388,0.023447401774397972,0.030418250950570342,0.0012674271229404308,0.0,0.017743979721166033,0.009505703422053232,0.010773130544993664,0.0063371356147021544,0.0076045627376425855,0.0012674271229404308,0.0012674271229404308,0.0063371356147021544,0.0076045627376425855,0.0019011406844106464,0.0025348542458808617,0.0019011406844106464,0.0,0.0019011406844106464,0.004435994930291508,0.0019011406844106464,0.0038022813688212928,0.0012674271229404308,0.0006337135614702154,0.0,0.0006337135614702154,0.0038022813688212928,0.0,0.0019011406844106464,0.0025348542458808617,0.0,0.0,0.0,0.0,0.004435994930291508,0.0006337135614702154,0.0,0.0019011406844106464,0.0038022813688212928,0.0006337135614702154,0.0031685678073510772,0.0006337135614702154,0.0006337135614702154,0.0,0.0031685678073510772,0.0038022813688212928,0.0006337135614702154,0.0,0.0006337135614702154,0.0012674271229404308,0.0025348542458808617,0.0031685678073510772,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0019011406844106464,0.0006337135614702154,0.0019011406844106464,0.004435994930291508,0.0,0.0,0.0,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0012674271229404308,0.0019011406844106464,0.0,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0025348542458808617,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0012674271229404308,0.0,0.0,0.0006337135614702154,0.0,0.0012674271229404308,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0006337135614702154,0.0,0.0006337135614702154,0.0,0.0006337135614702154,0.0,0.0,0.0006337135614702154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010139416983523
cuentos_1,0.002036659877800407,0.013238289205702648,0.0010183299389002036,0.0,0.002036659877800407,0.0050916496945010185,0.0,0.0010183299389002036,0.0,0.013238289205702648,0.0010183299389002036,0.0,0.0,0.0,0.004073319755600814,0.006109979633401222,0.002036659877800407,0.0,0.0010183299389002036,0.003054989816700611,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0010183299389002036,0.002036659877800407,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.004073319755600814,0.0010183299389002036,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.0,0.0010183299389002036,0.0,0.003054989816700611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002036659877800407,0.0,0.002036659877800407,0.0,0.002036659877800407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002036659877800407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08859470468431772
cuentos_2,0.0,0.007128309572301426,0.0,0.003054989816700611,0.009164969450101833,0.002036659877800407,0.0010183299389002036,0.002036659877800407,0.003054989816700611,0.0,0.0010183299389002036,0.0,0.003054989816700611,0.0,0.003054989816700611,0.0050916496945010185,0.0,0.0,0.004073319755600814,0.0,0.002036659877800407,0.003054989816700611,0.0,0.0,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.002036659877800407,0.0,0.003054989816700611,0.0,0.0,0.003054989816700611,0.002036659877800407,0.0,0.002036659877800407,0.0010183299389002036,0.003054989816700611,0.002036659877800407,0.0,0.0,0.0,0.002036659877800407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002036659877800407,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0050916496945010185,0.0010183299389002036,0.0,0.002036659877800407,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.0,0.004073319755600814,0.0050916496945010185,0.0010183299389002036,0.0010183299389002036,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0010183299389002036,0.0010183299389002036,0.002036659877800407,0.0,0.0,0.0,0.0,0.0,0.0,0.002036659877800407,0.0010183299389002036,0.0,0.0,0.003054989816700611,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002036659877800407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11914460285132383
cuentos_3,0.002036659877800407,0.0050916496945010185,0.0,0.008146639511201629,0.012219959266802444,0.008146639511201629,0.003054989816700611,0.0010183299389002036,0.0010183299389002036,0.0010183299389002036,0.002036659877800407,0.0010183299389002036,0.010183299389002037,0.0,0.006109979633401222,0.003054989816700611,0.0,0.0,0.0010183299389002036,0.0,0.004073319755600814,0.002036659877800407,0.0,0.002036659877800407,0.0010183299389002036,0.0,0.0,0.004073319755600814,0.003054989816700611,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.004073319755600814,0.0,0.0010183299389002036,0.0,0.0,0.002036659877800407,0.0,0.0,0.002036659877800407,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.003054989816700611,0.003054989816700611,0.0050916496945010185,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.002036659877800407,0.0010183299389002036,0.0,0.0,0.0,0.0,0.003054989816700611,0.0,0.002036659877800407,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.0010183299389002036,0.0,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002036659877800407,0.0,0.0010183299389002036,0.002036659877800407,0.0010183299389002036,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002036659877800407,0.0,0.0010183299389002036,0.0,0.0010183299389002036,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0,0.0,0.0,0.0,0.0,0.0010183299389002036,0.0010183299389002036,0.0010183299389002036,0.0,0.14052953156822812
