,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7
aaa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001669449081803005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aab,0.0,0.0,0.0,0.0,0.0,0.0,3.441748408191361e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aac,0.0,0.0,0.0,0.0,0.0,0.0,3.441748408191361e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aam,0.0,0.0,8.453799983092401e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aan,0.0,0.0,0.0,9.211920224770853e-05,0.0,9.763718023823472e-05,6.883496816382722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aap,0.0,0.0,8.453799983092401e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aar,0.0,0.0,0.00016907599966184801,0.0,0.0,0.0,3.441748408191361e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aas,0.0,0.0,0.0,0.0,0.0,9.763718023823472e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011372682815876265,0.0,0.0,0.0,0.0
aau,0.0,0.0,0.0,0.0,0.0,0.0,3.441748408191361e-05,0.0004769854519437157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aav,0.0,0.0,0.00016907599966184801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018796992481203009,0.0,0.0
aay,0.0,0.0,0.0,0.0,0.0,0.0,3.441748408191361e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aba,0.0009246417013407304,0.002097789252864289,0.0021134499957731,0.0025332780618119847,0.0025041736227045075,0.0017574692442882249,0.0017552916881775943,0.0011924636298592892,0.004962323102370888,0.007565568258238063,0.004881889763779528,0.0016778523489932886,0.00031446540880503143,0.0024875621890547263,0.007905138339920948,0.009595891336667117,0.009098146252701013,0.011619690664991756,0.009398496240601503,0.012131715771230503,0.007444828503057698
abe,0.0018492834026814608,0.00032273680813296756,0.00016907599966184801,0.00036847680899083413,0.000521702838063439,0.0005858230814294083,0.0006883496816382723,0.0011924636298592892,0.0009189487226612755,0.0005043712172158709,0.00015748031496062991,0.0003871966959215281,0.0007861635220125787,0.0009328358208955224,0.0,0.00027030679821597514,0.0004549073126350506,7.851142341210646e-05,0.0,0.0002475860361475613,0.00026588673225206064
abi,0.0004623208506703652,0.00048410521219945134,0.000253613999492772,4.605960112385427e-05,0.00031302170283806343,0.0003905487209529389,0.0003097573567372225,0.0007154781779155736,0.0014703179562580407,0.0015131136516476126,0.003779527559055118,0.0007743933918430562,0.00031446540880503143,0.003109452736318408,0.00691699604743083,0.006487363157183403,0.007164790174002047,0.005731333909083772,0.005827067669172932,0.005446892795246348,0.006647168306301516
abl,0.0,0.00032273680813296756,8.453799983092401e-05,0.00018423840449541707,0.0006260434056761269,0.0003905487209529389,0.0002753398726553089,0.0004769854519437157,0.0005513692335967653,0.0008406186953597848,0.0007874015748031496,0.0015487867836861124,0.0012578616352201257,0.0004664179104477612,0.0,0.0004054601973239627,0.0,0.00023553427023631938,0.0,0.0012379301807378064,0.00026588673225206064
abn,0.0,0.0,0.0,0.0,0.0,0.0,3.441748408191361e-05,0.0,0.0,0.0,0.0,0.0,0.00015723270440251572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abo,0.0004623208506703652,0.0,0.000253613999492772,9.211920224770853e-05,0.0,9.763718023823472e-05,0.0002409223885733953,0.0009539709038874314,0.0003675794890645102,0.0003362474781439139,0.0,0.0003871966959215281,0.00015723270440251572,0.0001554726368159204,0.0009881422924901185,0.00027030679821597514,0.0005686341407938133,7.851142341210646e-05,0.00037593984962406017,0.0,0.0005317734645041213
abr,0.0,0.00032273680813296756,0.000253613999492772,0.000506655612362397,0.00020868113522537563,0.00029291154071470416,0.00017208742040956807,0.0014309563558311473,0.0007351589781290203,0.0010087424344317419,0.0009448818897637795,0.0,0.0007861635220125787,0.000777363184079602,0.0009881422924901185,0.0012163805919718882,0.000682360968952576,0.0003925571170605323,0.0013157894736842105,0.0024758603614756128,0.0005317734645041213
abs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001837897445322551,0.00016812373907195696,0.00047244094488188977,0.0002581311306143521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abu,0.0,0.0,0.00016907599966184801,0.0001381788033715628,0.00020868113522537563,0.00019527436047646945,0.0003097573567372225,0.00023849272597185786,0.0,0.00016812373907195696,0.0,0.00012906556530717606,0.0,0.0001554726368159204,0.0,0.00013515339910798757,0.000341180484476288,0.00031404569364842585,0.0,0.0,0.0
aca,0.0027739251040221915,0.0006454736162659351,0.001014455997971088,0.0008290728202293769,0.0012520868113522537,0.00019527436047646945,0.0011013594906212356,0.0009539709038874314,0.0011027384671935306,0.0003362474781439139,0.00031496062992125983,0.0002581311306143521,0.00110062893081761,0.0009328358208955224,0.0009881422924901185,0.0005406135964319503,0.0005686341407938133,0.00031404569364842585,0.00037593984962406017,0.0002475860361475613,0.0005317734645041213
acc,0.0,0.0,8.453799983092401e-05,0.0,0.0,0.0,0.0,0.00023849272597185786,0.0001837897445322551,0.00016812373907195696,0.00015748031496062991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acd,0.0,0.0,0.0,0.0,0.0,0.0,3.441748408191361e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ace,0.0036985668053629217,0.002259157656930773,0.002451601995096796,0.0021187416516972963,0.002086811352253756,0.0014645577035735209,0.0018929616245052486,0.001669449081803005,0.0011027384671935306,0.0011768661735036988,0.0009448818897637795,0.0009034589571502323,0.0006289308176100629,0.000777363184079602,0.0004940711462450593,0.0005406135964319503,0.000341180484476288,0.0007851142341210646,0.0011278195488721805,0.0007427581084426838,0.0010635469290082426
ach,0.0,0.00048410521219945134,8.453799983092401e-05,9.211920224770853e-05,0.00031302170283806343,0.00019527436047646945,0.00010325245224574084,0.0009539709038874314,0.0005513692335967653,0.00016812373907195696,0.00047244094488188977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aci,0.0004623208506703652,0.00032273680813296756,0.000760841998478316,0.0005527152134862512,0.0009390651085141904,0.0005858230814294083,0.0007571846498020994,0.0009539709038874314,0.0023892666789193163,0.003698722259583053,0.005354330708661417,0.005807950438822922,0.005974842767295598,0.0017101990049751244,0.001976284584980237,0.0012163805919718882,0.0012509951097463892,0.0016487398916542357,0.0015037593984962407,0.0012379301807378064,0.0010635469290082426
acl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016812373907195696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aco,0.0004623208506703652,0.0006454736162659351,0.000507227998985544,0.00046059601123854267,0.000521702838063439,0.0007810974419058778,0.0006539321975563586,0.00023849272597185786,0.0011027384671935306,0.0008406186953597848,0.0006299212598425197,0.00012906556530717606,0.00015723270440251572,0.0003109452736318408,0.0004940711462450593,0.0006757669955399379,0.0011372682815876266,0.0007851142341210646,0.0011278195488721805,0.0024758603614756128,0.0015953203935123637
acr,0.0,0.0,0.0,4.605960112385427e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015723270440251572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acs,0.0,0.0,0.0,4.605960112385427e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
act,0.0,0.0,8.453799983092401e-05,0.00023029800561927133,0.0,0.0,6.883496816382722e-05,0.0,0.0005513692335967653,0.0006724949562878278,0.0009448818897637795,0.0010325245224574084,0.0006289308176100629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acu,0.0,0.0,0.0,0.0,0.00010434056761268782,9.763718023823472e-05,0.0,0.00023849272597185786,0.0,0.0,0.00015748031496062991,0.0002581311306143521,0.00015723270440251572,0.0001554726368159204,0.0,0.0,0.00011372682815876265,0.0,0.0,0.0,0.0
ada,0.0004623208506703652,0.0017750524447313217,0.001606221996787556,0.001013311224724794,0.0006260434056761269,0.002148017965241164,0.0012046119428669765,0.0019079418077748629,0.003124425657048337,0.004203093476798924,0.0026771653543307085,0.0027103768714506968,0.0042452830188679245,0.0032649253731343282,0.0009881422924901185,0.0010812271928639006,0.0009098146252701012,0.001020648504357384,0.0013157894736842105,0.0007427581084426838,0.0013294336612603031
adb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013515339910798757,0.0,0.0,0.0,0.0,0.0
add,0.0,0.0,0.0,0.0,0.0,0.0,6.883496816382722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ade,0.0009246417013407304,0.00048410521219945134,0.0006763039986473921,0.000690894016857814,0.0008347245409015025,0.001074008982620582,0.0008604371020478403,0.0004769854519437157,0.0001837897445322551,0.0010087424344317419,0.00047244094488188977,0.0015487867836861124,0.001729559748427673,0.0012437810945273632,0.0,0.0004054601973239627,0.0,7.851142341210646e-05,0.00018796992481203009,0.0,0.0
adh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001554726368159204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adi,0.0009246417013407304,0.0017750524447313217,0.0013526079972947841,0.0012436092303440651,0.0008347245409015025,0.0015621948838117556,0.0007227671657201859,0.001669449081803005,0.0011027384671935306,0.0005043712172158709,0.0009448818897637795,0.0002581311306143521,0.0004716981132075472,0.0009328358208955224,0.0,0.0005406135964319503,0.000341180484476288,0.00031404569364842585,0.0,0.0002475860361475613,0.00026588673225206064
adm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001837897445322551,0.0,0.0,0.00012906556530717606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ado,0.0018492834026814608,0.0019364208487978054,0.0021134499957731,0.0026714568651835476,0.002921535893155259,0.003124389767623511,0.0025468938220616073,0.0035773908895778677,0.005329902591435398,0.006893073301950235,0.005511811023622047,0.004130098089829634,0.006289308176100629,0.007151741293532339,0.0014822134387351778,0.004189755372347614,0.002729443875810304,0.0060453796027321975,0.003947368421052632,0.002723446397623174,0.00425418771603297
adq,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015748031496062991,0.0,0.00015723270440251572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adr,0.0036985668053629217,0.0016136840406648378,0.001521683996956632,0.0019345032472018792,0.0018781302170283807,0.0014645577035735209,0.0017897091722595079,0.0007154781779155736,0.0014703179562580407,0.0011768661735036988,0.0006299212598425197,0.0002581311306143521,0.00031446540880503143,0.001554726368159204,0.0,0.0005406135964319503,0.0010235414534288639,0.00047106854047263875,0.00018796992481203009,0.0,0.0
ads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003675794890645102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adu,0.0,0.0,0.00016907599966184801,0.0,0.00010434056761268782,0.0,6.883496816382722e-05,0.0,0.0001837897445322551,0.0003362474781439139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
adv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016812373907195696,0.00015748031496062991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aec,0.0,0.0,0.0,0.0,0.0,0.0,3.441748408191361e-05,0.0,0.0,0.0,0.0,0.0,0.00015723270440251572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aee,0.0,0.0,0.0,0.0,0.0,9.763718023823472e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ael,0.0,0.00016136840406648378,0.000507227998985544,0.00041453641011468843,0.00031302170283806343,0.0005858230814294083,0.0002409223885733953,0.0,0.0001837897445322551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aem,0.0,0.00016136840406648378,0.0,0.0001381788033715628,0.0,9.763718023823472e-05,0.0002409223885733953,0.0,0.0,0.00016812373907195696,0.0,0.0,0.0,0.0,0.0,0.00013515339910798757,0.0,0.0,0.0,0.0,0.0
aen,0.0,0.0,0.0,0.0,0.0,9.763718023823472e-05,0.00010325245224574084,0.00023849272597185786,0.0,0.00016812373907195696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.851142341210646e-05,0.0,0.0,0.0
aer,0.0,0.0,8.453799983092401e-05,0.0,0.0,0.0,6.883496816382722e-05,0.0,0.0,0.00016812373907195696,0.0,0.0,0.0,0.0001554726368159204,0.0004940711462450593,0.00013515339910798757,0.000682360968952576,0.00031404569364842585,0.00037593984962406017,0.0002475860361475613,0.0010635469290082426
aes,0.003236245954692557,0.0017750524447313217,0.001944373996111252,0.002026622449449588,0.0018781302170283807,0.0014645577035735209,0.0019962140767509893,0.0,0.0,0.0,0.00015748031496062991,0.0,0.00015723270440251572,0.0001554726368159204,0.0,0.0,0.00011372682815876265,7.851142341210646e-05,0.0,0.0,0.0
aet,0.0,0.0,8.453799983092401e-05,9.211920224770853e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aez,0.0,0.0,0.0,4.605960112385427e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
afa,0.0,0.0,0.000253613999492772,0.00018423840449541707,0.00010434056761268782,9.763718023823472e-05,6.883496816382722e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.851142341210646e-05,0.0,0.0002475860361475613,0.0
