,Ceele_1,Ceele_2,Ceele_3,Ceele_4,Ceele_5,Ceele_6,Ceele_7,cuentos_1,cuentos_2,cuentos_3,cuentos_4,cuentos_5,cuentos_6,cuentos_7,excale_1,excale_2,excale_3,excale_4,excale_5,excale_6,excale_7,Total
a,0.1316841579210395,0.13075323266118094,0.13607489134068873,0.13720808186827604,0.13581658442652544,0.13606767210195336,0.13924841386041972,0.13864522417153996,0.13539731682146544,0.1266044340723454,0.12835285228560633,0.10970706490522689,0.12169062027231467,0.13277245914321634,0.1256133464180569,0.13341663195890602,0.13159746657283602,0.1347386239974205,0.13858589793533307,0.13962264150943396,0.1395762132604238,2.7831738275042097
e,0.12593703148425786,0.1322000180848178,0.1266657114199742,0.12608239307268435,0.12673005175111324,0.12605042016806722,0.12367008296730113,0.1307261208576998,0.12982456140350876,0.1295215869311552,0.13137514166981487,0.13629277098547632,0.1303895612708018,0.11826709215743159,0.11997055937193327,0.11765930862140775,0.1177574478067089,0.12063197775180363,0.11336190105181146,0.11924528301886793,0.11373889268626111,2.6160979145328978
o,0.09770114942528736,0.09322723573559996,0.09275445383770359,0.09207557071634742,0.09423516668672524,0.0941621681785297,0.09372376769155685,0.08796296296296297,0.08658410732714138,0.09791909762738234,0.09038534189648659,0.09313202592926889,0.09143343419062028,0.09273764626245044,0.1099116781157998,0.10891295293627655,0.10614590663851747,0.10708959735601145,0.10771328398909233,0.10213836477987422,0.10553656869446343,2.0454824809780985
s,0.09045477261369315,0.089067727642644,0.08630653866360988,0.08953030700603516,0.09255024672042364,0.09026657020424064,0.09239629087359688,0.06737329434697856,0.06718266253869969,0.07555425904317387,0.07244049867774839,0.07737753343726922,0.07526475037821483,0.07349385939464269,0.07065750736015702,0.06886019714008053,0.07318789584799437,0.06839708193946234,0.07460070120763537,0.0689308176100629,0.06999316473000683,1.6338866773763696
n,0.063968015992004,0.06682340175422732,0.06395376606008502,0.06599317764366308,0.06661451438199542,0.06756079915409872,0.06651049292337725,0.0625,0.06945304437564499,0.07467911318553092,0.07300717793728749,0.07376712890785263,0.0737518910741301,0.06836862972633208,0.08439646712463199,0.07309454394002499,0.07271874266948158,0.07399943573415017,0.07382158161277756,0.07559748427672956,0.07327409432672591,1.483853502800751
l,0.07846076961519241,0.05922777828013383,0.06295075703300378,0.06323799527683023,0.06438801299795402,0.06839557014858924,0.06449975597852611,0.06871345029239766,0.06130030959752322,0.05571761960326721,0.05931242916509256,0.055386887667186344,0.06174357034795764,0.07146310801663282,0.07286555446516192,0.07635707344162154,0.07078348580811634,0.0680746443109911,0.06973120373977405,0.069937106918239,0.06917293233082707,1.3917200150350184
i,0.05847076461769116,0.059408626458088434,0.06084921430959545,0.06082393072684335,0.060416415934528823,0.06210696199009405,0.06075158613958028,0.055190058479532164,0.060577915376676984,0.05863477246207701,0.0697015489233094,0.07918273570197752,0.06968608169440242,0.06827192727976018,0.06035328753680078,0.05726780508121616,0.061517710532488855,0.057998468421264764,0.061258278145695365,0.0579874213836478,0.06028708133971292,1.3007425925349838
r,0.04297851074462768,0.04557374084456099,0.04900415532311219,0.04804513251115193,0.04705740763028042,0.04535589070065112,0.04687164470473402,0.061769005847953216,0.07223942208462332,0.06349669389342669,0.0657347941065357,0.05924345614179043,0.06798411497730711,0.07339715694807078,0.04195289499509323,0.045467166458420104,0.0483227773868168,0.047277417274595945,0.047136735488897546,0.05069182389937107,0.04907723855092276,1.1186771805129432
u,0.038980509745127435,0.04096211230671851,0.04193532979892057,0.04048806087641039,0.039415092068841015,0.03912293394178864,0.03798926305514885,0.05470272904483431,0.04881320949432404,0.04716063788409179,0.04287873063845863,0.0384015754492492,0.04283282904689864,0.042065564258775744,0.06035328753680078,0.05886436207135916,0.05764719680975838,0.05795816371770585,0.05755746007012076,0.057358490566037736,0.05974025974025974,1.0052277981216302
t,0.03373313343328336,0.041504656840582334,0.04064574676410183,0.040015743899239044,0.039595619208087615,0.03839946574656353,0.04103465104929234,0.04215399610136452,0.03673890608875129,0.0382147024504084,0.04410653570079335,0.05185853778616559,0.040941754916792736,0.04003481288076589,0.03017664376840039,0.03561016243231987,0.03471733520994605,0.035790576760307925,0.03642384105960265,0.03761006289308176,0.036637047163362954,0.8159439321532134
c,0.050974512743628186,0.04376525906501492,0.043559249176099726,0.04387299921280504,0.04603442050788302,0.04513328510212032,0.04210834553440703,0.041544834307992204,0.036429308565531476,0.03802022559315441,0.04004533434076313,0.05005333552145729,0.04368381240544629,0.04003481288076589,0.02085377821393523,0.024156601416076635,0.024865118461177574,0.02490830679940349,0.024347487339306584,0.026415094339622643,0.025974025974025976,0.7767801475006171
m,0.040229885057471264,0.05108961027217651,0.05454458613937049,0.05337181842036211,0.05072812612829462,0.052256664255106014,0.05327476817959981,0.029239766081871343,0.02889576883384933,0.029949436017113962,0.02786173026067246,0.02986789201608271,0.026285930408472012,0.03268542694130162,0.025269872423945045,0.02436484798000833,0.023164438189068732,0.02567409616702269,0.023665757693805998,0.0220125786163522,0.024880382775119617,0.7293133828570668
d,0.021989005497251374,0.023058142689212406,0.024263265988441515,0.024822881133560744,0.02617643519075701,0.02409705604095943,0.025183016105417278,0.03959551656920078,0.04262125902992776,0.05163360560093349,0.05043445409897998,0.04964306227947813,0.05644856278366112,0.04970505753795571,0.035819430814524045,0.030195751770095793,0.030553600750645084,0.03224376284712426,0.032528243085313595,0.028427672955974842,0.026247436773752564,0.7256872195431668
y,0.029985007496251874,0.030563342074328603,0.027415580073553995,0.02671214904224613,0.02485256950294861,0.027157883020757972,0.027174231332357246,0.013401559454191032,0.010835913312693499,0.011085180863477246,0.00972799395542123,0.007795191597604004,0.01059001512859304,0.008703220191470844,0.023552502453385672,0.024711925586561156,0.025568848228946752,0.026359276127524083,0.028048305414881184,0.027547169811320753,0.026247436773752564,0.4480353014422675
p,0.010494752623688156,0.015552943304096211,0.014901848402349907,0.0151928627656783,0.012456372608015406,0.015025877900829206,0.01585163494387506,0.02509746588693957,0.02414860681114551,0.0235316997277324,0.02521722704948999,0.023959957331582835,0.023543872919818458,0.02166134803210521,0.022080471050049066,0.02519783423573511,0.02674173117522871,0.025633791463463788,0.02522399688352162,0.024025157232704403,0.02474367737525632,0.44028312972330524
b,0.02123938030984508,0.016366760104891943,0.013803314706022831,0.015429021254263972,0.016849199663016005,0.016194557293115922,0.015558809175207418,0.01084307992202729,0.01671826625386997,0.015460910151691949,0.014261428031734039,0.010913268236645606,0.01077912254160363,0.013828449859781452,0.020608439646712464,0.019158683881715953,0.02228477597935726,0.022610938696545888,0.019088430074016362,0.025157232704402517,0.021599453178400545,0.35875352166486807
v,0.007246376811594203,0.009494529342616874,0.007833022878158284,0.008213067436368408,0.0070405584306174026,0.005509488563637375,0.007242557345046364,0.016812865497076022,0.012280701754385965,0.010501750291715286,0.009066868152625614,0.00861573808156232,0.01115733736762481,0.010443864229765013,0.024779195289499508,0.0256143273635985,0.025451559934318555,0.02249002458586917,0.02415270744059213,0.019748427672955975,0.025017088174982913,0.2987120566446107
g,0.019740129935032484,0.019260330952165658,0.019152696183789463,0.017134610338493835,0.018052713924660006,0.01680672268907563,0.017218155197657393,0.01364522417153996,0.013519091847265222,0.010696227148969272,0.010578012844729883,0.010174776401083122,0.009644478063540091,0.013828449859781452,0.009322865554465163,0.011037067888379841,0.009089842833685198,0.009028253597194792,0.01061550447993767,0.011823899371069183,0.00984278879015721,0.2802118420726725
h,0.01199400299850075,0.00840944027488923,0.009886803266943689,0.007740750459197061,0.009086532675412203,0.007457287550781902,0.008218643240605174,0.012914230019493177,0.01217750257997936,0.010210035005834306,0.010766905931242916,0.005825880036104045,0.00661875945537065,0.006575766366889082,0.007850834151128557,0.00950992641954741,0.009207131128313395,0.008826730079400266,0.008083365796649786,0.00880503144654088,0.009295967190704033,0.18946152607352787
q,0.004997501249375313,0.007686047563070802,0.006734489181831208,0.006848596168984518,0.007221085569864003,0.006344259558127887,0.006129819424109321,0.01547270955165692,0.013312693498452013,0.011376896149358226,0.008500188893086513,0.008697792729958152,0.009739031770045386,0.00502852722173871,0.009568204121687929,0.009995835068721367,0.008972554539057003,0.009673128854137278,0.010031164783794313,0.009685534591194969,0.009569377990430622,0.18558543847868245
j,0.0074962518740629685,0.007686047563070802,0.006113578831733295,0.0062450800314877986,0.006017571308220003,0.005620791362902777,0.006383601756954612,0.005116959064327485,0.009184726522187823,0.007779074290159471,0.005005666792595391,0.00352834988102076,0.0029311649016641452,0.005705444347741998,0.011530912659470068,0.0074274607802304595,0.005219329110954726,0.007375760751279674,0.0053564472146474485,0.0060377358490566035,0.009159261790840739,0.13692121668460905
f,0.004747626186906547,0.0036169635590921423,0.005062807470029135,0.00477564943584361,0.003911421350343001,0.004730368968779565,0.003513909224011713,0.00341130604288499,0.005263157894736842,0.007001166861143524,0.005950132225160559,0.008861902026749816,0.007280635400907716,0.003868097862875931,0.008832188420019628,0.008468693599888935,0.009148486980999296,0.008141550118898876,0.005551227113361901,0.007421383647798742,0.0071086807928913195,0.12666735518332378
z,0.0022488755622188904,0.0029839949362510175,0.0032956010889812295,0.0029913408554185254,0.002647731375616801,0.0027269185820023374,0.0028306490971205466,0.0025584795321637425,0.005572755417956657,0.004472967716841696,0.003966754816773706,0.004102732419791581,0.004254916792738275,0.006188956580601489,0.0036800785083415115,0.004373177842565598,0.005043396669012433,0.004836564427068639,0.002629528632645111,0.0037735849056603774,0.0032809295967190706,0.07845993535648924
x,0.004247876061969015,0.0015372095126141604,0.001814968715670822,0.0030175806874836,0.0017450956793838006,0.0023930101842061327,0.00214738897022938,0.00024366471734892786,0.0009287925696594427,0.0004861921431349669,0.0012278050623347185,0.0031180766390416018,0.00132375189107413,0.0007736195725751862,0.0,0.00027766208524226016,0.0002345765892563922,0.00024182822135343195,0.00048694974678613166,0.0,0.0,0.026246049049364107
k,0.0,9.042408897730355e-05,0.0002865740077374982,0.0001311991603253739,0.0003008785654110001,0.0008904223941232122,0.00042947779404587603,0.0003654970760233918,0.0,0.0,9.444654325651681e-05,8.205464839583163e-05,0.0,9.670244657189827e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002767676724867903
