,la,de,se,mi,su,me,lo,no,yo,le,ya,tu,si,te,ni,ha,da,va,ba,ve,ti,ce,he,co,ma,na,go,mo,fe,sa,so,ca,ta,pa,do,yu,pe,mu,to,vi,di,yi,li,re,fu,ho,qe,ye,vo,po,jo,ci,bo,xi,qo,gu,bi,fa,be,ri,cu,pi,qi,gy,ro,ge,ju,my,Total
Ceele_1,35,19,7,25,0,16,1,3,13,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,130.0
Ceele_2,84,59,31,92,0,43,0,9,36,2,0,3,1,5,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.0
Ceele_3,148,82,56,209,1,99,9,7,36,2,5,6,2,12,0,1,4,0,0,0,1,0,0,3,2,0,0,2,0,1,2,2,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,701.0
Ceele_4,242,179,128,324,3,138,10,23,63,3,5,8,5,6,1,0,5,1,3,2,2,4,0,4,1,2,2,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1174.0
Ceele_5,131,76,36,116,5,53,5,8,41,1,3,7,2,5,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,503.0
Ceele_6,143,67,45,131,0,54,9,13,35,1,0,5,3,8,0,0,4,2,0,0,2,7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.0
Ceele_7,362,244,200,413,5,171,22,40,101,4,5,20,9,11,1,1,11,3,1,1,1,2,0,3,4,1,2,3,0,2,2,1,2,1,1,0,0,1,1,0,0,0,0,2,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1663.0
cuentos_1,102,77,29,24,9,19,16,35,16,27,8,16,15,7,5,5,1,6,0,3,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.0
cuentos_2,100,90,33,7,21,5,14,22,1,16,8,10,5,5,6,8,0,0,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360.0
cuentos_3,75,100,25,9,29,5,8,31,5,11,7,4,4,4,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.0
