,los,con,las,por,del,nos,mas,vez,mis,fin,son,dos,sus,dan,tan,sol,sin,ver,ves,luz,les,lus,ser,don,san,bol,tus,han,des,mar,fut,dar,pan,com,bes,van,ber,mos,ses,tal,ven,can,ten,voz,sor,vas,par,mal,yel,sal,sed,fer,has,haz,sos,ton,cal,cam,lam,hot,gis,fub,gil,nin,pum,mix,ler,fud,xix,job,rac,vol,das,cas,pis,sep,reg,lab,mex,jot,fus,dex,hah,nen,jis,jug,liz,tel,jal,nel,sux,res,pic,sen,mes,leg,bit,bac,dax,mam,mih,sog,box,zin,tin,bib,lux,dop,jop,ban,ter,fod,yal,ces,tam,yen,tos,var,pun,ner,yin,yes,mil,hoz,tez,red,cic,zar,pez,bez,vin,teh,gap,yeg,sex,tec,yam,bid,den,guj,teg,sir,lop,von,vov,fal,non,hir,zaz,per,Total
Ceele_1,18,12,7,2,1,9,1,0,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,71.0
Ceele_2,16,18,12,3,10,16,4,0,11,0,13,5,0,3,0,0,0,0,0,1,1,2,1,0,4,2,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.0
Ceele_3,34,33,47,3,13,19,5,0,17,6,13,6,1,5,1,0,0,0,0,4,0,2,0,0,3,4,3,0,0,0,2,0,0,1,0,0,0,2,1,0,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,238.0
Ceele_4,76,61,53,10,19,59,10,0,25,1,14,9,1,27,0,0,1,0,1,7,2,12,0,0,5,5,1,0,0,0,4,0,0,2,0,0,1,2,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,429.0
Ceele_5,33,34,21,7,10,20,5,0,8,2,12,3,2,7,2,0,0,0,0,1,1,6,1,0,1,3,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,191.0
Ceele_6,30,34,28,3,8,32,4,0,17,3,14,4,0,6,0,1,0,0,0,7,1,3,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.0
Ceele_7,119,60,76,20,28,64,15,0,45,6,28,20,4,21,2,1,0,1,0,9,5,11,2,0,3,2,0,0,1,0,1,0,0,4,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583.0
cuentos_1,23,16,20,11,4,9,12,1,2,0,2,10,4,0,1,2,4,2,5,0,3,0,4,0,1,0,2,1,1,4,0,1,2,0,0,2,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.0
cuentos_2,22,22,15,19,10,1,15,5,6,4,5,3,6,0,4,3,7,1,0,0,4,0,1,0,0,0,4,3,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.0
cuentos_3,34,14,20,13,23,11,10,6,2,3,5,6,4,0,4,6,11,2,0,3,5,0,8,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.0
