,rodriguez,rodrigues,porterias,montanias,gardenias,historias,narracion,perseguir,rodriguel,rodreguez,parraguas,consiguen,conciliar,pedrerias,reflexion,matricial,filmacion,condicion,sensacion,mandaries,Total
Ceele_1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
Ceele_4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Ceele_5,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.0
Ceele_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_7,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3.0
cuentos_4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,5.0
cuentos_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
cuentos_6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.0
cuentos_7,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,13.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0
