,direccion,direcsion,colunpios,columpios,potencias,mayorquin,culumpios,dominguez,sebastian,diression,colonpios,domingues,dimension,velazques,birection,velazquez,columpian,silencios,soberbios,direccian,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.0
Ceele_3,3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,9.0
Ceele_4,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,9.0
Ceele_5,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0
Ceele_6,2,2,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8.0
Ceele_7,4,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3.0
cuentos_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0
cuentos_5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,16.0,9.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.0
