,matematicas,matematicos,necesidades,desayunador,posibilidad,motematicos,recoritamos,matemeticas,nececitamos,caricaturas,motematicas,metonimicos,desobedecer,solidaridad,desahogados,felicidades,habilidades,generalidad,matemoticos,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.0
Ceele_3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.0
Ceele_4,23,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,26.0
Ceele_5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0
Ceele_6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.0
Ceele_7,18,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
cuentos_3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
cuentos_4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
cuentos_5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,68.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,89.0
