,nuestra,maestra,siempre,maestro,nuestro,vientre,ciempre,noestra,moestra,maestre,nuestre,nuesdra,tiendta,noestro,Total
Ceele_1,4,2,1,5,0,0,0,0,0,0,0,0,0,0,12.0
Ceele_2,9,8,0,0,0,0,0,0,1,0,0,0,0,0,18.0
Ceele_3,27,14,2,4,1,0,1,0,1,0,0,0,0,0,50.0
Ceele_4,37,23,1,8,2,0,0,1,0,1,1,1,0,0,75.0
Ceele_5,21,13,2,3,0,0,0,0,0,0,0,0,0,0,39.0
Ceele_6,21,8,0,4,2,0,0,1,0,0,0,0,0,0,36.0
Ceele_7,51,32,2,12,2,0,0,0,0,0,0,0,1,1,101.0
cuentos_1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,7.0
cuentos_2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,7.0
cuentos_3,4,0,3,0,2,0,0,0,0,0,0,0,0,0,9.0
cuentos_4,0,0,2,1,3,0,0,0,0,0,0,0,0,0,6.0
cuentos_5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3.0
cuentos_6,0,0,1,0,2,1,0,0,0,0,0,0,0,0,4.0
cuentos_7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,3.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.0
excale_3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.0
excale_4,0,1,5,0,0,0,1,0,0,0,0,0,0,0,7.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.0
excale_7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.0
Total,177.0,101.0,40.0,37.0,16.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,385.0
