,tiendita,guerrero,tientita,guardada,cuantica,huerfana,huerfano,viendola,pioprado,pueblito,cuadrito,quintano,cuachala,cuadrado,tiendyta,tiendito,Total
Ceele_1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Ceele_2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
Ceele_3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19.0
Ceele_4,14,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,18.0
Ceele_5,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,13.0
Ceele_6,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14.0
Ceele_7,23,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
cuentos_1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
cuentos_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
excale_3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
excale_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,86.0,7.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.0
