,y,a,o,i,e,u,Total
Ceele_1,68,47,5,0,0,1,121.0
Ceele_2,211,65,4,1,1,1,283.0
Ceele_3,321,165,16,2,3,1,508.0
Ceele_4,591,247,25,11,5,1,880.0
Ceele_5,226,120,7,7,4,0,364.0
Ceele_6,299,124,4,16,3,0,446.0
Ceele_7,841,361,27,10,16,1,1256.0
cuentos_1,59,46,2,4,3,2,116.0
cuentos_2,79,52,4,0,0,0,135.0
cuentos_3,74,56,8,0,0,0,138.0
cuentos_4,73,37,6,0,2,0,118.0
cuentos_5,71,43,14,0,3,0,131.0
cuentos_6,78,29,11,1,3,0,122.0
cuentos_7,63,19,4,6,2,0,94.0
excale_1,86,34,0,0,0,0,120.0
excale_2,273,131,2,0,3,0,409.0
excale_3,348,171,0,0,1,0,520.0
excale_4,503,232,0,2,1,0,738.0
excale_5,227,89,1,2,0,0,319.0
excale_6,175,69,0,0,0,0,244.0
excale_7,138,57,1,2,2,0,200.0
Total,4804.0,2194.0,141.0,64.0,52.0,7.0,7262.0
