,escribimos,escrivimos,enchiladas,escridimos,esqribimos,escrupulos,esclibimos,escrudimos,archiberos,escribemos,esgribimos,escribibir,escritores,entregaron,embrujador,escrituras,esqrivimos,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6.0
Ceele_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0
Ceele_4,7,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,10.0
Ceele_5,4,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,7.0
Ceele_6,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0
Ceele_7,16,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,23.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,32.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0
