,estudiamos,especiales,istorietas,anteriores,estudiosos,aprisionan,estuvieron,espaciales,estariamos,ingenieros,insidiosos,estubiamos,estudiomas,estorietas,esturiamos,Total
Ceele_1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Ceele_2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Ceele_3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0
Ceele_4,6,0,1,0,0,0,0,0,0,0,0,1,1,0,0,9.0
Ceele_5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.0
Ceele_6,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10.0
Ceele_7,16,0,1,0,0,0,0,0,0,0,0,0,0,0,1,18.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3.0
cuentos_4,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,4.0
cuentos_5,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,4.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
excale_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
excale_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,48.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0
