,estoy,abrio,estoi,ulloa,ochoa,indio,india,envio,atrio,undia,arria,enpeo,escue,Total
Ceele_1,2,0,1,0,0,0,0,0,0,0,0,0,0,3.0
Ceele_2,3,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Ceele_3,12,0,1,0,0,0,0,0,0,0,0,0,1,14.0
Ceele_4,17,0,5,1,0,0,0,0,0,0,0,0,0,23.0
Ceele_5,8,0,0,4,0,0,0,0,0,0,0,0,0,12.0
Ceele_6,11,0,3,0,0,0,0,0,0,0,0,0,0,14.0
Ceele_7,21,0,6,2,3,0,0,0,0,0,0,0,0,32.0
cuentos_1,1,0,0,0,0,2,0,0,0,0,0,0,0,3.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_3,2,0,0,0,0,0,1,0,0,0,0,0,0,3.0
cuentos_4,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
cuentos_5,1,0,0,0,0,0,1,0,0,0,0,0,0,2.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
excale_1,0,2,0,0,0,0,0,0,0,0,0,0,0,2.0
excale_2,0,4,0,0,0,0,0,0,0,0,0,0,0,4.0
excale_3,1,5,0,0,0,0,0,0,0,0,0,0,0,6.0
excale_4,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0
excale_5,0,6,0,0,0,0,0,0,0,0,0,0,0,6.0
excale_6,0,2,0,0,0,0,0,0,0,1,0,0,0,3.0
excale_7,1,1,0,0,0,0,0,0,0,0,1,1,0,4.0
Total,80.0,21.0,16.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,137.0
