,educacion,educasion,aducasion,oposicion,aparicion,acusacion,operacion,ebucacion,edificios,aducacion,Total
Ceele_1,0,1,0,0,0,0,0,0,0,0,1.0
Ceele_2,2,0,0,0,0,0,0,0,0,0,2.0
Ceele_3,4,1,1,0,0,0,0,0,0,1,7.0
Ceele_4,5,8,0,0,0,0,0,1,0,0,14.0
Ceele_5,5,4,1,0,0,0,0,0,0,0,10.0
Ceele_6,0,4,0,0,0,0,0,0,0,0,4.0
Ceele_7,3,2,1,0,0,0,0,0,1,0,7.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,1,0,0,0,0,0,1.0
cuentos_3,0,0,0,0,0,0,1,0,0,0,1.0
cuentos_4,0,0,0,2,0,1,0,0,0,0,3.0
cuentos_5,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_6,5,0,0,0,1,0,0,0,0,0,6.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,0.0
excale_1,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0,0.0
Total,24.0,20.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,56.0
