,emilio,alicia,olivia,imedia,italia,osorio,alisia,inicio,asumio,aburio,iresia,atesio,ameria,uninay,orario,azalia,Total
Ceele_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Ceele_2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.0
Ceele_3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.0
Ceele_4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
Ceele_5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
Ceele_6,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,6.0
Ceele_7,5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,9.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0
cuentos_5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
excale_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0
excale_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2.0
Total,8.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0
