,ay,ai,ia,io,ee,ua,oo,ae,oa,ui,oi,aa,uy,eo,iy,oy,Total
Ceele_1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0
Ceele_2,11,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,16.0
Ceele_3,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,20.0
Ceele_4,62,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,82.0
Ceele_5,17,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.0
Ceele_6,20,16,0,0,0,0,0,2,0,0,0,1,0,0,0,0,39.0
Ceele_7,97,26,0,0,0,0,0,0,1,0,0,0,1,1,1,0,127.0
cuentos_1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
cuentos_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,8,9,1,0,0,0,0,0,1,0,0,0,0,0,0,19.0
excale_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
excale_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
excale_5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
excale_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Total,235.0,76.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,340.0
