,aun,ael,air,iel,aan,aam,Total
Ceele_1,0,0,0,0,0,0,0.0
Ceele_2,0,0,0,0,0,0,0.0
Ceele_3,0,0,0,0,0,1,1.0
Ceele_4,0,3,0,0,1,0,4.0
Ceele_5,0,0,0,0,0,0,0.0
Ceele_6,0,1,0,0,0,0,1.0
Ceele_7,0,0,0,0,0,0,0.0
cuentos_1,1,0,0,0,0,0,1.0
cuentos_2,3,0,0,0,0,0,3.0
cuentos_3,0,0,0,0,0,0,0.0
cuentos_4,1,0,0,0,0,0,1.0
cuentos_5,1,0,0,0,0,0,1.0
cuentos_6,1,0,0,0,0,0,1.0
cuentos_7,0,0,0,0,0,0,0.0
excale_1,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0.0
excale_4,2,0,2,0,0,0,4.0
excale_5,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0.0
excale_7,1,0,0,1,0,0,2.0
Total,10.0,4.0,2.0,1.0,1.0,1.0,19.0
