,aire,ayre,aula,oano,aora,auge,oiga,aese,aoro,ayge,Total
Ceele_1,1,0,0,0,0,0,0,0,0,0,1.0
Ceele_2,2,1,0,0,0,0,0,0,0,0,3.0
Ceele_3,3,1,0,0,1,0,0,0,0,0,5.0
Ceele_4,8,0,2,1,0,0,0,0,1,0,12.0
Ceele_5,2,3,0,0,0,0,0,0,0,0,5.0
Ceele_6,4,0,0,1,0,0,0,0,0,0,5.0
Ceele_7,5,2,0,0,1,0,0,0,0,1,9.0
cuentos_1,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_2,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_3,2,0,0,0,0,0,1,0,0,0,3.0
cuentos_4,1,0,0,0,0,0,0,0,0,0,1.0
cuentos_5,0,0,0,0,0,1,0,0,0,0,1.0
cuentos_6,0,0,0,0,0,0,0,0,0,0,0.0
cuentos_7,0,0,0,0,0,0,0,0,0,0,0.0
excale_1,6,0,0,0,0,0,0,0,0,0,6.0
excale_2,23,1,0,0,0,0,0,0,0,0,24.0
excale_3,30,0,0,0,0,0,0,1,0,0,31.0
excale_4,53,0,0,0,0,0,0,0,0,0,53.0
excale_5,23,0,0,0,0,0,0,0,0,0,23.0
excale_6,21,0,0,0,0,0,0,0,0,0,21.0
excale_7,15,0,0,0,0,0,0,0,0,0,15.0
Total,199.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,218.0
