,x,l,m,b,n,s,c,p,g,j,v,d,q,h,f,r,t,w,k,z,Total
Ceele_1,0.040983606557377046,0.0,0.0,0.00546448087431694,0.00273224043715847,0.0,0.0,0.0,0.00273224043715847,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546448087431694
Ceele_2,0.030054644808743168,0.00546448087431694,0.0,0.0,0.00273224043715847,0.0,0.00546448087431694,0.00546448087431694,0.0,0.00819672131147541,0.00273224043715847,0.0,0.0,0.00273224043715847,0.00273224043715847,0.0,0.0,0.0,0.0,0.00273224043715847,0.06830601092896176
Ceele_3,0.07650273224043716,0.00819672131147541,0.0,0.00546448087431694,0.0,0.00273224043715847,0.00273224043715847,0.0,0.0,0.00273224043715847,0.00546448087431694,0.0,0.00273224043715847,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.1092896174863388
Ceele_4,0.2103825136612022,0.00273224043715847,0.00546448087431694,0.01366120218579235,0.00273224043715847,0.00546448087431694,0.00819672131147541,0.00273224043715847,0.00819672131147541,0.0,0.00546448087431694,0.00273224043715847,0.00273224043715847,0.0,0.00273224043715847,0.0,0.00273224043715847,0.0,0.0,0.0,0.27595628415300544
Ceele_5,0.04644808743169399,0.00546448087431694,0.0,0.00546448087431694,0.0,0.01092896174863388,0.0,0.00819672131147541,0.0,0.0,0.00273224043715847,0.0,0.00546448087431694,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.08743169398907104
Ceele_6,0.08469945355191257,0.00273224043715847,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00546448087431694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10109289617486339
Ceele_7,0.19398907103825136,0.00819672131147541,0.01912568306010929,0.0,0.01639344262295082,0.0,0.00273224043715847,0.00273224043715847,0.00819672131147541,0.00546448087431694,0.0,0.0,0.0,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.00273224043715847,0.0,0.0,0.0,0.2677595628415301
cuentos_1,0.0,0.00546448087431694,0.00273224043715847,0.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.01912568306010929
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.00546448087431694
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273224043715847
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273224043715847
excale_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_5,0.0,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273224043715847
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273224043715847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273224043715847
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.6830601092896175,0.03825136612021858,0.03551912568306011,0.030054644808743168,0.02459016393442623,0.02459016393442623,0.02185792349726776,0.01912568306010929,0.01912568306010929,0.01912568306010929,0.01912568306010929,0.01639344262295082,0.01092896174863388,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.00546448087431694,0.00273224043715847,0.00273224043715847,0.00273224043715847,1.0
