,lloviendo,llobiendo,lluviendo,creciente,propuesta,creciendo,llubiendo,trapearla,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.007575757575757576
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.007575757575757576,0.0,0.0,0.007575757575757576
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.007575757575757576,0.007575757575757576,0.0,0.0,0.0,0.015151515151515152
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.03787878787878788,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456
excale_2,0.1590909090909091,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.17424242424242425
excale_3,0.19696969696969696,0.022727272727272728,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.25
excale_4,0.22727272727272727,0.03787878787878788,0.022727272727272728,0.0,0.0,0.0,0.007575757575757576,0.0,0.29545454545454547
excale_5,0.06818181818181818,0.007575757575757576,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
excale_6,0.03787878787878788,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.045454545454545456
excale_7,0.06818181818181818,0.007575757575757576,0.0,0.0,0.0,0.0,0.0,0.0,0.07575757575757576
Total,0.7954545454545454,0.10606060606060606,0.06060606060606061,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,1.0
