,preocupada,preocupado,preocupara,Total
Ceele_1,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.0,0.0,0.0
Ceele_5,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.0,0.0,0.0
Ceele_7,0.0,0.0,0.0,0.0
cuentos_1,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.07142857142857142,0.0,0.07142857142857142
cuentos_3,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0
excale_1,0.07142857142857142,0.0,0.0,0.07142857142857142
excale_2,0.14285714285714285,0.14285714285714285,0.0,0.2857142857142857
excale_3,0.0,0.0,0.0,0.0
excale_4,0.21428571428571427,0.0,0.07142857142857142,0.2857142857142857
excale_5,0.0,0.07142857142857142,0.0,0.07142857142857142
excale_6,0.07142857142857142,0.0,0.0,0.07142857142857142
excale_7,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285
Total,0.5714285714285714,0.35714285714285715,0.07142857142857142,1.0
