,la,de,se,mi,su,me,lo,no,yo,le,ya,tu,si,te,ni,ha,da,va,ba,ve,ti,ce,he,co,ma,na,go,mo,fe,sa,so,ca,ta,pa,do,yu,pe,mu,to,vi,di,yi,li,re,fu,ho,qe,ye,vo,po,jo,ci,bo,xi,qo,gu,bi,fa,be,ri,cu,pi,qi,gy,ro,ge,ju,my,Total
Ceele_1,0.00332667997338656,0.0018059119855527042,0.0006653359946773121,0.0023761999809904003,0.0,0.001520767987833856,9.5047999239616e-05,0.00028514399771884804,0.0012356239901150081,0.0,0.0,0.00028514399771884804,0.0,0.000190095998479232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.012356239901150081
Ceele_2,0.007984031936127744,0.005607831955137344,0.002946487976428096,0.008744415930044673,0.0,0.004087063967303488,0.0,0.000855431993156544,0.003421727972626176,0.000190095998479232,0.0,0.00028514399771884804,9.5047999239616e-05,0.00047523999619808005,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.000190095998479232,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03526280771789754
Ceele_3,0.014067103887463168,0.007793935937648513,0.0053226879574184965,0.019865031841079746,9.5047999239616e-05,0.009409751924721984,0.000855431993156544,0.0006653359946773121,0.003421727972626176,0.000190095998479232,0.00047523999619808005,0.0005702879954376961,0.000190095998479232,0.0011405759908753922,0.0,9.5047999239616e-05,0.000380191996958464,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.00028514399771884804,0.000190095998479232,0.0,0.0,0.000190095998479232,0.0,9.5047999239616e-05,0.000190095998479232,0.000190095998479232,0.0,0.000190095998479232,0.0,0.0,0.0,9.5047999239616e-05,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.06662864746697082
Ceele_4,0.023001615815987073,0.017013591863891266,0.012166143902670849,0.030795551753635585,0.00028514399771884804,0.01311662389506701,0.0009504799923961601,0.0021861039825111683,0.005988023952095809,0.00028514399771884804,0.00047523999619808005,0.000760383993916928,0.00047523999619808005,0.0005702879954376961,9.5047999239616e-05,0.0,0.00047523999619808005,9.5047999239616e-05,0.00028514399771884804,0.000190095998479232,0.000190095998479232,0.000380191996958464,0.0,0.000380191996958464,9.5047999239616e-05,0.000190095998479232,0.000190095998479232,0.0,0.0,0.0,9.5047999239616e-05,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,9.5047999239616e-05,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.11158635110730919
Ceele_5,0.012451287900389697,0.007223647942210817,0.003421727972626176,0.011025567911795457,0.00047523999619808005,0.005037543959699648,0.00047523999619808005,0.000760383993916928,0.0038969679688242564,9.5047999239616e-05,0.00028514399771884804,0.0006653359946773121,0.000190095998479232,0.00047523999619808005,9.5047999239616e-05,0.0,0.0,0.0,9.5047999239616e-05,0.0,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,9.5047999239616e-05,9.5047999239616e-05,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.047809143617526854
Ceele_6,0.013591863891265089,0.006368215949054273,0.00427715996578272,0.012451287900389697,0.0,0.0051325919589392645,0.000855431993156544,0.0012356239901150081,0.00332667997338656,9.5047999239616e-05,0.0,0.00047523999619808005,0.00028514399771884804,0.000760383993916928,0.0,0.0,0.000380191996958464,0.000190095998479232,0.0,0.0,0.000190095998479232,0.0006653359946773121,0.0,9.5047999239616e-05,0.0,9.5047999239616e-05,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05075563159395495
Ceele_7,0.03440737572474099,0.023191711814466307,0.019009599847923202,0.039254823685961414,0.00047523999619808005,0.016253207869974338,0.002091055983271552,0.0038019199695846404,0.009599847923201217,0.000380191996958464,0.00047523999619808005,0.0019009599847923202,0.000855431993156544,0.001045527991635776,9.5047999239616e-05,9.5047999239616e-05,0.001045527991635776,0.00028514399771884804,9.5047999239616e-05,9.5047999239616e-05,9.5047999239616e-05,0.000190095998479232,0.0,0.00028514399771884804,0.000380191996958464,9.5047999239616e-05,0.000190095998479232,0.00028514399771884804,0.0,0.000190095998479232,0.000190095998479232,9.5047999239616e-05,0.000190095998479232,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.000190095998479232,0.0,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,9.5047999239616e-05,0.0,9.5047999239616e-05,9.5047999239616e-05,9.5047999239616e-05,9.5047999239616e-05,0.0,0.0,9.5047999239616e-05,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15806482273548142
cuentos_1,0.009694895922440832,0.007318695941450432,0.002756391977948864,0.0022811519817507843,0.000855431993156544,0.0018059119855527042,0.001520767987833856,0.00332667997338656,0.001520767987833856,0.0025662959794696323,0.000760383993916928,0.001520767987833856,0.00142571998859424,0.0006653359946773121,0.00047523999619808005,0.00047523999619808005,9.5047999239616e-05,0.0005702879954376961,0.0,0.00028514399771884804,9.5047999239616e-05,0.0,0.000760383993916928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040870639673034885
cuentos_2,0.009504799923961601,0.00855431993156544,0.003136583974907328,0.0006653359946773121,0.001996007984031936,0.00047523999619808005,0.0013306719893546241,0.002091055983271552,9.5047999239616e-05,0.001520767987833856,0.000760383993916928,0.0009504799923961601,0.00047523999619808005,0.00047523999619808005,0.0005702879954376961,0.000760383993916928,0.0,0.0,0.0,0.0,0.000190095998479232,0.0,0.000190095998479232,0.0,0.0,0.0,0.0,0.0,0.00047523999619808005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03421727972626176
cuentos_3,0.0071285999429712005,0.009504799923961601,0.0023761999809904003,0.000855431993156544,0.002756391977948864,0.00047523999619808005,0.000760383993916928,0.002946487976428096,0.00047523999619808005,0.001045527991635776,0.0006653359946773121,0.000380191996958464,0.000380191996958464,0.000380191996958464,0.000380191996958464,0.00028514399771884804,0.0,0.0,0.0,0.0,0.0,0.0,9.5047999239616e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028514399771884804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03117574375059405
