,los,con,las,por,del,nos,mas,vez,mis,fin,son,dos,sus,dan,tan,sol,sin,ver,ves,luz,les,lus,ser,don,san,bol,tus,han,des,mar,fut,dar,pan,com,bes,van,ber,mos,ses,tal,ven,can,ten,voz,sor,vas,par,mal,yel,sal,sed,fer,has,haz,sos,ton,cal,cam,lam,hot,gis,fub,gil,nin,pum,mix,ler,fud,xix,job,rac,vol,das,cas,pis,sep,reg,lab,mex,jot,fus,dex,hah,nen,jis,jug,liz,tel,jal,nel,sux,res,pic,sen,mes,leg,bit,bac,dax,mam,mih,sog,box,zin,tin,bib,lux,dop,jop,ban,ter,fod,yal,ces,tam,yen,tos,var,pun,ner,yin,yes,mil,hoz,tez,red,cic,zar,pez,bez,vin,teh,gap,yeg,sex,tec,yam,bid,den,guj,teg,sir,lop,von,vov,fal,non,hir,zaz,per,Total
Ceele_1,0.004013377926421404,0.0026755852842809363,0.001560758082497213,0.0004459308807134894,0.0002229654403567447,0.002006688963210702,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0002229654403567447,0.0,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0004459308807134894,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0006688963210702341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0,0.0,0.015830546265328874
Ceele_2,0.0035674470457079154,0.004013377926421404,0.0026755852842809363,0.0006688963210702341,0.002229654403567447,0.0035674470457079154,0.0008918617614269788,0.0,0.002452619843924192,0.0,0.002898550724637681,0.0011148272017837235,0.0,0.0006688963210702341,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0004459308807134894,0.0002229654403567447,0.0,0.0008918617614269788,0.0004459308807134894,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03166109253065775
Ceele_3,0.00758082497212932,0.007357859531772575,0.010479375696767,0.0006688963210702341,0.002898550724637681,0.00423634336677815,0.0011148272017837235,0.0,0.00379041248606466,0.0013377926421404682,0.002898550724637681,0.0013377926421404682,0.0002229654403567447,0.0011148272017837235,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0008918617614269788,0.0,0.0004459308807134894,0.0,0.0,0.0006688963210702341,0.0008918617614269788,0.0006688963210702341,0.0,0.0,0.0,0.0004459308807134894,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0004459308807134894,0.0002229654403567447,0.0,0.0,0.0004459308807134894,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004459308807134894,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.05306577480490524
Ceele_4,0.0169453734671126,0.013600891861761426,0.01181716833890747,0.002229654403567447,0.00423634336677815,0.013154960981047938,0.002229654403567447,0.0,0.005574136008918618,0.0002229654403567447,0.003121516164994426,0.002006688963210702,0.0002229654403567447,0.006020066889632107,0.0,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.001560758082497213,0.0004459308807134894,0.0026755852842809363,0.0,0.0,0.0011148272017837235,0.0011148272017837235,0.0002229654403567447,0.0,0.0,0.0,0.0008918617614269788,0.0,0.0,0.0004459308807134894,0.0,0.0,0.0002229654403567447,0.0004459308807134894,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0004459308807134894,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.09565217391304348
Ceele_5,0.007357859531772575,0.00758082497212932,0.0046822742474916385,0.001560758082497213,0.002229654403567447,0.004459308807134894,0.0011148272017837235,0.0,0.0017837235228539577,0.0004459308807134894,0.0026755852842809363,0.0006688963210702341,0.0004459308807134894,0.001560758082497213,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0013377926421404682,0.0002229654403567447,0.0,0.0002229654403567447,0.0006688963210702341,0.0004459308807134894,0.0,0.0,0.0,0.0004459308807134894,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04258639910813824
Ceele_6,0.006688963210702341,0.00758082497212932,0.006243032329988852,0.0006688963210702341,0.0017837235228539577,0.007134894091415831,0.0008918617614269788,0.0,0.00379041248606466,0.0006688963210702341,0.003121516164994426,0.0008918617614269788,0.0,0.0013377926421404682,0.0,0.0002229654403567447,0.0,0.0,0.0,0.001560758082497213,0.0002229654403567447,0.0006688963210702341,0.0002229654403567447,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004459308807134894,0.0,0.0004459308807134894,0.0002229654403567447,0.0,0.0,0.0,0.0004459308807134894,0.0,0.0,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04793756967670011
Ceele_7,0.02653288740245262,0.013377926421404682,0.0169453734671126,0.004459308807134894,0.006243032329988852,0.014269788182831662,0.0033444816053511705,0.0,0.010033444816053512,0.0013377926421404682,0.006243032329988852,0.004459308807134894,0.0008918617614269788,0.0046822742474916385,0.0004459308807134894,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.002006688963210702,0.0011148272017837235,0.002452619843924192,0.0004459308807134894,0.0,0.0006688963210702341,0.0004459308807134894,0.0,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0008918617614269788,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0004459308807134894,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0002229654403567447,0.0,0.0002229654403567447,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12998885172798216
cuentos_1,0.005128205128205128,0.0035674470457079154,0.004459308807134894,0.002452619843924192,0.0008918617614269788,0.002006688963210702,0.0026755852842809363,0.0002229654403567447,0.0004459308807134894,0.0,0.0004459308807134894,0.002229654403567447,0.0008918617614269788,0.0,0.0002229654403567447,0.0004459308807134894,0.0008918617614269788,0.0004459308807134894,0.0011148272017837235,0.0,0.0006688963210702341,0.0,0.0008918617614269788,0.0,0.0002229654403567447,0.0,0.0004459308807134894,0.0002229654403567447,0.0002229654403567447,0.0008918617614269788,0.0,0.0002229654403567447,0.0004459308807134894,0.0,0.0,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0004459308807134894,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0006688963210702341,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035897435897435895
cuentos_2,0.004905239687848384,0.004905239687848384,0.0033444816053511705,0.00423634336677815,0.002229654403567447,0.0002229654403567447,0.0033444816053511705,0.0011148272017837235,0.0013377926421404682,0.0008918617614269788,0.0011148272017837235,0.0006688963210702341,0.0013377926421404682,0.0,0.0008918617614269788,0.0006688963210702341,0.001560758082497213,0.0002229654403567447,0.0,0.0,0.0008918617614269788,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0008918617614269788,0.0006688963210702341,0.0,0.0002229654403567447,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004459308807134894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0379041248606466
cuentos_3,0.00758082497212932,0.003121516164994426,0.004459308807134894,0.002898550724637681,0.005128205128205128,0.002452619843924192,0.002229654403567447,0.0013377926421404682,0.0004459308807134894,0.0006688963210702341,0.0011148272017837235,0.0013377926421404682,0.0008918617614269788,0.0,0.0008918617614269788,0.0013377926421404682,0.002452619843924192,0.0004459308807134894,0.0,0.0006688963210702341,0.0011148272017837235,0.0,0.0017837235228539577,0.001560758082497213,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002229654403567447,0.0,0.0002229654403567447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04503901895206243
