,cancha,compro,timbre,nombre,hombre,dentro,contra,sangre,concha,rancho,muncho,sombra,conpro,rostro,tinbre,hambre,lonche,compra,simple,mescla,pancho,marcha,martha,cumplo,mezcla,mancha,gancho,poncho,requro,nanchi,sonbra,nonbre,nondre,rastro,muncha,nostra,centro,simpre,sandra,roncho,canlla,lebnto,mumcho,compre,tenpra,berhta,pittna,tencco,benggo,contro,regrso,volvre,sembro,cancho,comtro,templo,tumbro,consta,sentro,cansta,timbri,conpra,tendra,cunplo,loncho,Total
Ceele_1,0.006872852233676976,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013745704467353952
Ceele_2,0.01718213058419244,0.003436426116838488,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.010309278350515464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05154639175257732
Ceele_3,0.037800687285223365,0.013745704467353952,0.010309278350515464,0.013745704467353952,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.09965635738831616
Ceele_4,0.061855670103092786,0.020618556701030927,0.03436426116838488,0.006872852233676976,0.0,0.0,0.0,0.0,0.006872852233676976,0.013745704467353952,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.010309278350515464,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.0,0.0,0.0,0.0,0.18213058419243985
Ceele_5,0.01718213058419244,0.010309278350515464,0.0,0.006872852233676976,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.003436426116838488,0.0,0.058419243986254296
Ceele_6,0.048109965635738834,0.010309278350515464,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.006872852233676976,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07903780068728522
Ceele_7,0.08247422680412371,0.030927835051546393,0.01718213058419244,0.003436426116838488,0.0,0.0,0.0,0.0,0.006872852233676976,0.006872852233676976,0.006872852233676976,0.0,0.006872852233676976,0.0,0.010309278350515464,0.0,0.003436426116838488,0.003436426116838488,0.0,0.003436426116838488,0.0,0.0,0.003436426116838488,0.003436426116838488,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.003436426116838488,0.003436426116838488,0.0,0.003436426116838488,0.003436426116838488,0.0,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22336769759450173
cuentos_1,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.006872852233676976,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01718213058419244
cuentos_2,0.0,0.0,0.0,0.003436426116838488,0.03436426116838488,0.0,0.006872852233676976,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0,0.006872852233676976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06529209621993128
cuentos_3,0.0,0.0,0.0,0.003436426116838488,0.01718213058419244,0.003436426116838488,0.003436426116838488,0.003436426116838488,0.0,0.0,0.0,0.003436426116838488,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006872852233676976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003436426116838488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048109965635738834
