,siguio,seguia,poseia,seveia,hijooo,requeo,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.06666666666666667
cuentos_3,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667
cuentos_4,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333
excale_2,0.16666666666666666,0.0,0.0,0.0,0.03333333333333333,0.0,0.2
excale_3,0.03333333333333333,0.1,0.0,0.0,0.0,0.0,0.13333333333333333
excale_4,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667
excale_5,0.13333333333333333,0.13333333333333333,0.0,0.03333333333333333,0.0,0.0,0.3
excale_6,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
excale_7,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.03333333333333333
Total,0.4666666666666667,0.4,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0
