,que,muy,soy,fue,dia,hay,vio,pie,voy,dio,nay,boy,soi,mui,rio,bio,hai,leo,boi,sea,qui,tia,veo,rey,tio,mia,hoy,feo,doy,cay,mie,via,toy,cai,pio,mio,lio,bie,tai,cae,say,doi,bia,voi,luy,loa,beo,cei,zea,yaa,rai,tue,fui,cua,pay,tua,noe,lee,jue,suy,vea,ley,you,bue,lui,dei,vii,hio,sue,toi,gue,Total
Ceele_1,0.0036144578313253013,0.0012048192771084338,0.0036144578313253013,0.0,0.0,0.002108433734939759,0.0,0.0018072289156626507,0.00030120481927710846,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01325301204819277
Ceele_2,0.011144578313253013,0.002108433734939759,0.008734939759036145,0.0,0.0,0.0015060240963855422,0.0,0.0015060240963855422,0.0012048192771084338,0.0,0.0009036144578313253,0.0015060240963855422,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0006024096385542169,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03102409638554217
Ceele_3,0.016265060240963854,0.005421686746987952,0.017771084337349398,0.0,0.0,0.004518072289156626,0.0,0.0036144578313253013,0.0015060240963855422,0.0,0.0009036144578313253,0.0018072289156626507,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0009036144578313253,0.0,0.0,0.00030120481927710846,0.0009036144578313253,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.00030120481927710846,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.056626506024096385
Ceele_4,0.03493975903614458,0.00963855421686747,0.023795180722891565,0.0006024096385542169,0.00030120481927710846,0.007530120481927711,0.0,0.004518072289156626,0.002710843373493976,0.00030120481927710846,0.002710843373493976,0.0015060240963855422,0.0018072289156626507,0.0,0.0,0.0,0.0006024096385542169,0.0006024096385542169,0.0006024096385542169,0.0,0.00030120481927710846,0.0,0.0009036144578313253,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.00030120481927710846,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09518072289156626
Ceele_5,0.01536144578313253,0.0036144578313253013,0.010843373493975903,0.0,0.0,0.0033132530120481927,0.0,0.0018072289156626507,0.002108433734939759,0.0,0.0012048192771084338,0.0006024096385542169,0.0006024096385542169,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.00030120481927710846,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04126506024096385
Ceele_6,0.011746987951807229,0.0036144578313253013,0.01536144578313253,0.0,0.0,0.00030120481927710846,0.0,0.0018072289156626507,0.0012048192771084338,0.00030120481927710846,0.0009036144578313253,0.00030120481927710846,0.0009036144578313253,0.0009036144578313253,0.00030120481927710846,0.0,0.0,0.0,0.0,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0391566265060241
Ceele_7,0.03734939759036145,0.009939759036144578,0.028313253012048192,0.0,0.0006024096385542169,0.006325301204819277,0.0,0.006626506024096385,0.0012048192771084338,0.00030120481927710846,0.0033132530120481927,0.0024096385542168677,0.002710843373493976,0.0015060240963855422,0.00030120481927710846,0.00030120481927710846,0.0015060240963855422,0.0012048192771084338,0.0018072289156626507,0.0,0.0012048192771084338,0.0015060240963855422,0.0,0.00030120481927710846,0.0006024096385542169,0.0,0.00030120481927710846,0.0,0.0006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0006024096385542169,0.00030120481927710846,0.0,0.0006024096385542169,0.0006024096385542169,0.0,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.0,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11475903614457832
cuentos_1,0.025903614457831327,0.002710843373493976,0.0009036144578313253,0.0,0.0006024096385542169,0.0006024096385542169,0.00030120481927710846,0.0,0.0009036144578313253,0.0006024096385542169,0.0,0.0,0.0,0.0,0.0009036144578313253,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0006024096385542169,0.0,0.0,0.0,0.0009036144578313253,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0009036144578313253,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037048192771084336
cuentos_2,0.025903614457831327,0.0012048192771084338,0.0,0.00030120481927710846,0.0018072289156626507,0.002108433734939759,0.0,0.00030120481927710846,0.00030120481927710846,0.0006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.033433734939759034
cuentos_3,0.02289156626506024,0.0009036144578313253,0.0009036144578313253,0.0012048192771084338,0.0018072289156626507,0.0006024096385542169,0.0006024096385542169,0.0,0.0,0.00030120481927710846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006024096385542169,0.0,0.0,0.0,0.00030120481927710846,0.0006024096385542169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03072289156626506
