,juan,leer,luis,dias,bien,pais,pues,buen,caer,vien,ruiz,tien,pies,dios,diaz,raul,saul,joel,seis,diez,tios,real,sean,cien,piel,ruis,rios,qien,quin,mies,feos,tias,said,mios,reir,caen,dies,jair,noel,cual,ceis,joes,luus,zaul,cuel,leon,feis,jueg,liis,ceys,deel,joan,mias,fuen,nayn,paul,juon,seas,paez,luiz,maiz,miel,caos,caes,dean,raiz,rien,peor,fiel,mied,muyv,cuan,quel,sair,fuer,pias,seys,leal,nues,quen,Total
Ceele_1,0.0,0.0019342359767891683,0.0,0.0038684719535783366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009671179883945842
Ceele_2,0.005802707930367505,0.007736943907156673,0.0,0.0,0.005802707930367505,0.0019342359767891683,0.0,0.0019342359767891683,0.0,0.0,0.0,0.007736943907156673,0.0,0.0,0.0038684719535783366,0.0,0.0,0.005802707930367505,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04642166344294004
Ceele_3,0.007736943907156673,0.01160541586073501,0.019342359767891684,0.005802707930367505,0.005802707930367505,0.0038684719535783366,0.0,0.0,0.0,0.0,0.0038684719535783366,0.0019342359767891683,0.0,0.0,0.0038684719535783366,0.0,0.005802707930367505,0.0038684719535783366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0019342359767891683,0.0038684719535783366,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.09090909090909091
Ceele_4,0.02127659574468085,0.025145067698259187,0.007736943907156673,0.005802707930367505,0.009671179883945842,0.013539651837524178,0.0,0.0019342359767891683,0.0,0.0,0.007736943907156673,0.0019342359767891683,0.0038684719535783366,0.0019342359767891683,0.0038684719535783366,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005802707930367505,0.0,0.0019342359767891683,0.0019342359767891683,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0019342359767891683,0.0019342359767891683,0.0019342359767891683,0.0,0.13152804642166344
Ceele_5,0.0,0.013539651837524178,0.0019342359767891683,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.005802707930367505,0.0,0.0,0.0019342359767891683,0.0,0.0038684719535783366,0.0,0.0,0.0019342359767891683,0.0,0.0019342359767891683,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04448742746615087
Ceele_6,0.0019342359767891683,0.01160541586073501,0.009671179883945842,0.0038684719535783366,0.0019342359767891683,0.0038684719535783366,0.0,0.0,0.0,0.0038684719535783366,0.005802707930367505,0.0038684719535783366,0.0,0.0,0.0,0.0,0.005802707930367505,0.0,0.0,0.0,0.0,0.005802707930367505,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0019342359767891683,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06963249516441006
Ceele_7,0.02321083172147002,0.04448742746615087,0.02321083172147002,0.005802707930367505,0.0,0.013539651837524178,0.0,0.0,0.0019342359767891683,0.005802707930367505,0.0019342359767891683,0.009671179883945842,0.0019342359767891683,0.0,0.0019342359767891683,0.013539651837524178,0.0019342359767891683,0.0019342359767891683,0.0038684719535783366,0.0,0.005802707930367505,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0038684719535783366,0.0,0.0,0.0,0.0,0.0038684719535783366,0.0019342359767891683,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0019342359767891683,0.0019342359767891683,0.0019342359767891683,0.0019342359767891683,0.0,0.0019342359767891683,0.0019342359767891683,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1895551257253385
cuentos_1,0.0,0.0,0.0,0.0019342359767891683,0.007736943907156673,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.005802707930367505,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0038684719535783366,0.0038684719535783366,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03288201160541586
cuentos_2,0.0,0.0,0.0,0.007736943907156673,0.0019342359767891683,0.0,0.0019342359767891683,0.0038684719535783366,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0019342359767891683,0.007736943907156673,0.0,0.0,0.0,0.0,0.0038684719535783366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03481624758220503
cuentos_3,0.0,0.0019342359767891683,0.0,0.0019342359767891683,0.0,0.0038684719535783366,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.005802707930367505,0.0,0.0,0.0019342359767891683,0.0,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019342359767891683,0.0019342359767891683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029013539651837523
