,nuestra,maestra,siempre,maestro,nuestro,vientre,ciempre,noestra,moestra,maestre,nuestre,nuesdra,tiendta,noestro,Total
Ceele_1,0.01038961038961039,0.005194805194805195,0.0025974025974025974,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03116883116883117
Ceele_2,0.023376623376623377,0.02077922077922078,0.0,0.0,0.0,0.0,0.0,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.046753246753246755
Ceele_3,0.07012987012987013,0.03636363636363636,0.005194805194805195,0.01038961038961039,0.0025974025974025974,0.0,0.0025974025974025974,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.12987012987012986
Ceele_4,0.09610389610389611,0.05974025974025974,0.0025974025974025974,0.02077922077922078,0.005194805194805195,0.0,0.0,0.0025974025974025974,0.0,0.0025974025974025974,0.0025974025974025974,0.0025974025974025974,0.0,0.0,0.19480519480519481
Ceele_5,0.05454545454545454,0.033766233766233764,0.005194805194805195,0.007792207792207792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1012987012987013
Ceele_6,0.05454545454545454,0.02077922077922078,0.0,0.01038961038961039,0.005194805194805195,0.0,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.09350649350649351
Ceele_7,0.13246753246753246,0.08311688311688312,0.005194805194805195,0.03116883116883117,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025974025974025974,0.0025974025974025974,0.2623376623376623
cuentos_1,0.0,0.0,0.015584415584415584,0.0,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818
cuentos_2,0.0025974025974025974,0.0,0.012987012987012988,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818
cuentos_3,0.01038961038961039,0.0,0.007792207792207792,0.0,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023376623376623377
cuentos_4,0.0,0.0,0.005194805194805195,0.0025974025974025974,0.007792207792207792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015584415584415584
cuentos_5,0.0025974025974025974,0.0,0.0025974025974025974,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007792207792207792
cuentos_6,0.0,0.0,0.0025974025974025974,0.0,0.005194805194805195,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01038961038961039
cuentos_7,0.0025974025974025974,0.0,0.0025974025974025974,0.0,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007792207792207792
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005194805194805195
excale_3,0.0,0.0,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005194805194805195
excale_4,0.0,0.0025974025974025974,0.012987012987012988,0.0,0.0,0.0,0.0025974025974025974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01818181818181818
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005194805194805195
excale_7,0.0,0.0,0.005194805194805195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005194805194805195
Total,0.4597402597402597,0.2623376623376623,0.1038961038961039,0.09610389610389611,0.04155844155844156,0.007792207792207792,0.005194805194805195,0.005194805194805195,0.005194805194805195,0.0025974025974025974,0.0025974025974025974,0.0025974025974025974,0.0025974025974025974,0.0025974025974025974,1.0
