,viento,cuando,fuerte,tienda,tierra,tiempo,puerta,pueblo,cuento,cuenta,biento,muerte,sierra,cuerpo,cuatro,guerra,cuadra,cuarto,siento,fiesta,suerte,vuelta,cuanto,puesto,fierro,cuerda,muerto,nuesta,siendo,nuetra,vuelve,biendo,piedra,fuerza,siente,huerto,quinto,fuente,duarte,buelta,cuesta,puerco,viendo,cuello,caerse,cueste,cierta,cuadro,maesta,puerto,guardo,diablo,maetro,quince,huerta,cierto,duerme,cierra,weendi,puelbo,siepre,fausto,duermo,quinse,pierce,nuesra,guelta,ciento,cuarta,ciente,haygre,puebla,bianka,tiendo,huacho,cierne,vienda,viente,caucho,sueldo,hierro,teatro,hierba,veinte,tiende,fiebre,guarda,realza,huella,sienta,pierde,riesgo,vuelto,cuemto,pierna,fuerto,juerte,vuelvo,tienpo,vuelva,haigre,puente,Total
Ceele_1,0.0,0.0008764241893076249,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043821209465381246
Ceele_2,0.0,0.0008764241893076249,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0017528483786152498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007887817703768623
Ceele_3,0.0,0.0043821209465381246,0.0,0.0,0.0,0.0,0.0017528483786152498,0.0017528483786152498,0.0017528483786152498,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0017528483786152498,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0017528483786152498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017528483786152498,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.019281332164767746
Ceele_4,0.0008764241893076249,0.014899211218229623,0.0,0.007887817703768623,0.0,0.0,0.0043821209465381246,0.0035056967572304996,0.0026292725679228747,0.0008764241893076249,0.0,0.0,0.0035056967572304996,0.0,0.0,0.0,0.0026292725679228747,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0017528483786152498,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05083260297984225
Ceele_5,0.0,0.0043821209465381246,0.0008764241893076249,0.0017528483786152498,0.0,0.0,0.0,0.0017528483786152498,0.0,0.0,0.0,0.0,0.0,0.0,0.0017528483786152498,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015775635407537247
Ceele_6,0.0,0.0026292725679228747,0.0,0.0035056967572304996,0.0,0.0,0.0026292725679228747,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0008764241893076249,0.0017528483786152498,0.0,0.0035056967572304996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019281332164767746
Ceele_7,0.0,0.015775635407537247,0.0,0.008764241893076249,0.0,0.0,0.0026292725679228747,0.0017528483786152498,0.0,0.0008764241893076249,0.0,0.0,0.0052585451358457495,0.0,0.0017528483786152498,0.0,0.0026292725679228747,0.0035056967572304996,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0017528483786152498,0.0008764241893076249,0.0,0.0017528483786152498,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026292725679228747,0.0017528483786152498,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0008764241893076249,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0008764241893076249,0.0008764241893076249,0.0,0.0,0.0008764241893076249,0.0008764241893076249,0.0,0.0008764241893076249,0.0,0.0008764241893076249,0.0,0.0008764241893076249,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06485539000876424
cuentos_1,0.0008764241893076249,0.008764241893076249,0.0,0.0,0.0017528483786152498,0.0,0.0,0.0017528483786152498,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0017528483786152498,0.007011393514460999,0.0,0.0,0.0008764241893076249,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0017528483786152498,0.0008764241893076249,0.0,0.0008764241893076249,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0017528483786152498,0.0,0.0,0.0008764241893076249,0.0008764241893076249,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03768624014022787
cuentos_2,0.0,0.006134969325153374,0.0,0.0,0.0008764241893076249,0.0026292725679228747,0.0,0.0017528483786152498,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026292725679228747,0.0,0.0008764241893076249,0.0,0.0,0.0017528483786152498,0.0,0.0026292725679228747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0017528483786152498,0.0008764241893076249,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02716914986853637
cuentos_3,0.0008764241893076249,0.0043821209465381246,0.0,0.0,0.0008764241893076249,0.0017528483786152498,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0035056967572304996,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0043821209465381246,0.0008764241893076249,0.0017528483786152498,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0017528483786152498,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008764241893076249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028045574057843997
