,guadalupe,diabolica,quemadura,suavesito,mierofono,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.08,0.0,0.0,0.0,0.0,0.08
Ceele_3,0.16,0.0,0.0,0.0,0.0,0.16
Ceele_4,0.28,0.0,0.0,0.0,0.0,0.28
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.12,0.0,0.0,0.0,0.0,0.12
Ceele_7,0.2,0.0,0.0,0.0,0.04,0.24
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.04,0.0,0.0,0.0,0.04
cuentos_3,0.0,0.0,0.04,0.0,0.0,0.04
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.04,0.0,0.04
excale_4,0.0,0.0,0.0,0.0,0.0,0.0
excale_5,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.84,0.04,0.04,0.04,0.04,1.0
