,y,a,o,i,e,u,Total
Ceele_1,0.00936381162214266,0.006472046268245662,0.0006885155604516662,0.0,0.0,0.00013770311209033325,0.016662076562930322
Ceele_2,0.029055356651060314,0.008950702285871661,0.000550812448361333,0.00013770311209033325,0.00013770311209033325,0.00013770311209033325,0.03896998072156431
Ceele_3,0.04420269898099697,0.022721013494904983,0.002203249793445332,0.0002754062241806665,0.0004131093362709997,0.00013770311209033325,0.06995318094188929
Ceele_4,0.08138253924538695,0.03401266868631231,0.003442577802258331,0.0015147342329936656,0.0006885155604516662,0.00013770311209033325,0.12117873863949326
Ceele_5,0.031120903332415312,0.01652437345083999,0.0009639217846323327,0.0009639217846323327,0.000550812448361333,0.0,0.0501239328008813
Ceele_6,0.04117323051500964,0.01707518589920132,0.000550812448361333,0.002203249793445332,0.0004131093362709997,0.0,0.06141558799228863
Ceele_7,0.11580831726797025,0.0497108234646103,0.0037179840264389974,0.0013770311209033324,0.002203249793445332,0.00013770311209033325,0.17295510878545856
cuentos_1,0.008124483613329661,0.006334343156155329,0.0002754062241806665,0.000550812448361333,0.0004131093362709997,0.0002754062241806665,0.015973561002478657
cuentos_2,0.010878545855136326,0.007160561828697329,0.000550812448361333,0.0,0.0,0.0,0.018589920132194987
cuentos_3,0.01019003029468466,0.007711374277058662,0.001101624896722666,0.0,0.0,0.0,0.019003029468465986
cuentos_4,0.010052327182594327,0.00509501514734233,0.0008262186725419994,0.0,0.0002754062241806665,0.0,0.016248967226659323
cuentos_5,0.00977692095841366,0.005921233819884329,0.0019278435692646654,0.0,0.0004131093362709997,0.0,0.018039107683833655
cuentos_6,0.010740842743045993,0.003993390250619664,0.0015147342329936656,0.00013770311209033325,0.0004131093362709997,0.0,0.016799779675020655
cuentos_7,0.008675296061690995,0.0026163591297163314,0.000550812448361333,0.0008262186725419994,0.0002754062241806665,0.0,0.012944092536491324
excale_1,0.011842467639768659,0.00468190581107133,0.0,0.0,0.0,0.0,0.01652437345083999
excale_2,0.03759294960066097,0.018039107683833655,0.0002754062241806665,0.0,0.0004131093362709997,0.0,0.05632057284494629
excale_3,0.04792068300743597,0.023547232167446985,0.0,0.0,0.00013770311209033325,0.0,0.07160561828697329
excale_4,0.06926466538143762,0.031947122004957314,0.0,0.0002754062241806665,0.00013770311209033325,0.0,0.10162489672266593
excale_5,0.03125860644450565,0.012255576976039658,0.00013770311209033325,0.0002754062241806665,0.0,0.0,0.043927292756816304
excale_6,0.024098044615808317,0.009501514734232993,0.0,0.0,0.0,0.0,0.03359955935004131
excale_7,0.019003029468465986,0.007849077389148995,0.00013770311209033325,0.0002754062241806665,0.0002754062241806665,0.0,0.027540622418066648
Total,0.6615257504819609,0.30212062792619115,0.01941613880473699,0.008812999173781328,0.007160561828697329,0.0009639217846323327,1.0
