,el,en,un,es,al,ir,am,or,as,an,in,ol,ah,ul,em,ap,om,on,ac,eh,ot,oh,av,os,ys,ad,im,er,yr,ab,Total
Ceele_1,0.0026091494172899633,0.0066098451904679075,0.001217603061401983,0.0031309793007479564,0.0010436597669159853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014611236736823796
Ceele_2,0.0043485823621499395,0.014959123325795791,0.0019133762393459732,0.0074795616628978955,0.0019133762393459732,0.00017394329448599757,0.00034788658897199514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.03130979300747956
Ceele_3,0.007305618368411898,0.02296051487215168,0.004522525656635937,0.014437293442337799,0.002783092711775961,0.00017394329448599757,0.0005218298834579927,0.0,0.0,0.0,0.00017394329448599757,0.00017394329448599757,0.0,0.0,0.0,0.00017394329448599757,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017394329448599757,0.05357453470168725
Ceele_4,0.016872499565141762,0.04348582362149939,0.007305618368411898,0.026787267350843625,0.005566185423551922,0.00034788658897199514,0.0,0.0,0.0,0.00017394329448599757,0.0,0.00017394329448599757,0.0,0.00017394329448599757,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017394329448599757,0.0,0.10123499739085058
Ceele_5,0.006783788484953905,0.021742911810749697,0.0019133762393459732,0.011828144025047834,0.0017394329448599756,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04418159679944338
Ceele_6,0.00643590189598191,0.022612628283179684,0.0033049225952339538,0.01287180379196382,0.002783092711775961,0.0,0.0005218298834579927,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017394329448599757,0.0,0.00017394329448599757,0.0,0.0,0.0,0.04905200904505131
Ceele_7,0.017568272743085755,0.05740128718037919,0.011654200730561837,0.03426682901374152,0.00574012871803792,0.00017394329448599757,0.00017394329448599757,0.0005218298834579927,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285440946251522
cuentos_1,0.009566881196729866,0.006957731779439902,0.004870412245607932,0.0043485823621499395,0.003652809184205949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029570360062619587
cuentos_2,0.012176030614019829,0.009045051313271874,0.004696468951121934,0.004000695773177944,0.003478865889719951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.033744999130283525
cuentos_3,0.01356757696990781,0.0074795616628978955,0.007653504957383893,0.0010436597669159853,0.0013915463558879806,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03130979300747956
cuentos_4,0.012349973908505826,0.008001391546355888,0.005914072012523917,0.0017394329448599756,0.002783092711775961,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030961906418507566
cuentos_5,0.011132370847103844,0.01356757696990781,0.004174639067663941,0.0017394329448599756,0.002435206122803966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033049225952339535
cuentos_6,0.010610540963645852,0.012349973908505826,0.004870412245607932,0.0022612628283179685,0.003478865889719951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033744999130283525
cuentos_7,0.012002087319533832,0.006783788484953905,0.0052182988345799266,0.00017394329448599757,0.0020873195338319706,0.0,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02643938076187163
excale_1,0.00782744825186989,0.004174639067663941,0.0060880153070099145,0.0,0.0017394329448599756,0.00034788658897199514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020177422160375717
excale_2,0.028874586884675597,0.006957731779439902,0.018090102626543748,0.00034788658897199514,0.004870412245607932,0.001217603061401983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06035832318664115
excale_3,0.03200556618542355,0.006957731779439902,0.02348234475560967,0.0005218298834579927,0.0060880153070099145,0.0006957731779439903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06975126108888502
excale_4,0.050269612106453296,0.010262654374673856,0.03200556618542355,0.001217603061401983,0.007653504957383893,0.0013915463558879806,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10297443033571056
excale_5,0.025395720994955646,0.0029570360062619585,0.012523917202991825,0.00017394329448599757,0.002783092711775961,0.0005218298834579927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04435554009392938
excale_6,0.01635066968168377,0.0038267524786919464,0.009392937902243869,0.00017394329448599757,0.002435206122803966,0.00017394329448599757,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032527396068881546
excale_7,0.013393633675421813,0.0031309793007479564,0.009045051313271874,0.0006957731779439903,0.0017394329448599756,0.00034788658897199514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017394329448599757,0.0,0.0,0.0285267002957036
Total,0.31744651243694555,0.2922247347364759,0.1798573664985215,0.12923986780309618,0.06818577143851104,0.0060880153070099145,0.0015654896503739782,0.0005218298834579927,0.0005218298834579927,0.00034788658897199514,0.00034788658897199514,0.00034788658897199514,0.00034788658897199514,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,0.00017394329448599757,1.0
