,encontro,espectro,arrastro,engendra,engendro,antorcha,almendra,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
cuentos_4,0.0,0.17391304347826086,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.2608695652173913
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.043478260869565216
excale_1,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
excale_2,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.08695652173913043
excale_3,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216
excale_4,0.08695652173913043,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.13043478260869565
excale_5,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.08695652173913043
excale_6,0.13043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.13043478260869565
excale_7,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043
Total,0.5217391304347826,0.17391304347826086,0.13043478260869565,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,1.0
