,estefania,escenario,individuo,oscuresio,ergesisio,indalecio,esritorio,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_3,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727
Ceele_4,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
Ceele_5,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091
Ceele_6,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.09090909090909091
cuentos_6,0.0,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.0,0.2727272727272727
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091
excale_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.2727272727272727,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0
