,estoy,abrio,estoi,ulloa,ochoa,indio,india,envio,atrio,undia,arria,enpeo,escue,Total
Ceele_1,0.014598540145985401,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021897810218978103
Ceele_2,0.021897810218978103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021897810218978103
Ceele_3,0.08759124087591241,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.10218978102189781
Ceele_4,0.12408759124087591,0.0,0.0364963503649635,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1678832116788321
Ceele_5,0.058394160583941604,0.0,0.0,0.029197080291970802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08759124087591241
Ceele_6,0.08029197080291971,0.0,0.021897810218978103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10218978102189781
Ceele_7,0.15328467153284672,0.0,0.043795620437956206,0.014598540145985401,0.021897810218978103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23357664233576642
cuentos_1,0.0072992700729927005,0.0,0.0,0.0,0.0,0.014598540145985401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021897810218978103
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.014598540145985401,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.021897810218978103
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005
cuentos_5,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.014598540145985401
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0072992700729927005
excale_1,0.0,0.014598540145985401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014598540145985401
excale_2,0.0,0.029197080291970802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029197080291970802
excale_3,0.0072992700729927005,0.0364963503649635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043795620437956206
excale_4,0.0,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005
excale_5,0.0,0.043795620437956206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043795620437956206
excale_6,0.0,0.014598540145985401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0,0.0,0.0,0.021897810218978103
excale_7,0.0072992700729927005,0.0072992700729927005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0072992700729927005,0.0,0.029197080291970802
Total,0.583941605839416,0.15328467153284672,0.11678832116788321,0.051094890510948905,0.021897810218978103,0.014598540145985401,0.014598540145985401,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,1.0
