,escuela,escuelo,arteaga,esquina,anciano,empiesa,arcaute,enpiesa,adriana,escueha,escoela,escuala,armoesa,emliono,escuexa,escuele,esquela,ejcuela,empieza,aprieta,empeoro,ensueno,adriano,enviado,incauta,estiamo,Total
Ceele_1,0.029371584699453553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029371584699453553
Ceele_2,0.07103825136612021,0.0,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07172131147540983
Ceele_3,0.14275956284153005,0.0020491803278688526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006830601092896175,0.14549180327868852
Ceele_4,0.2192622950819672,0.001366120218579235,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006830601092896175,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2226775956284153
Ceele_5,0.10587431693989072,0.001366120218579235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10724043715846994
Ceele_6,0.11270491803278689,0.0,0.0,0.0,0.0,0.0,0.001366120218579235,0.0,0.001366120218579235,0.0,0.0,0.0,0.0,0.0,0.0,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11612021857923498
Ceele_7,0.27595628415300544,0.0020491803278688526,0.00273224043715847,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2855191256830601
cuentos_1,0.0006830601092896175,0.0,0.0,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001366120218579235
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006830601092896175,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.001366120218579235
cuentos_3,0.0006830601092896175,0.0,0.0,0.0,0.001366120218579235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020491803278688526
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006830601092896175,0.0,0.0006830601092896175
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0,0.0,0.0020491803278688526
cuentos_7,0.0006830601092896175,0.0,0.0,0.0,0.001366120218579235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020491803278688526
excale_1,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006830601092896175
excale_2,0.001366120218579235,0.0,0.0,0.0,0.0,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020491803278688526
excale_3,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001366120218579235
excale_4,0.001366120218579235,0.0,0.0,0.0,0.0,0.0006830601092896175,0.0,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00273224043715847
excale_5,0.0,0.0,0.0,0.0006830601092896175,0.0,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020491803278688526
excale_6,0.0006830601092896175,0.0,0.0,0.0006830601092896175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001366120218579235
excale_7,0.0020491803278688526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020491803278688526
Total,0.9658469945355191,0.006830601092896175,0.004098360655737705,0.00273224043715847,0.00273224043715847,0.0020491803278688526,0.001366120218579235,0.001366120218579235,0.001366120218579235,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,0.0006830601092896175,1.0
