,x,l,m,b,n,s,c,p,g,j,v,d,q,h,f,r,t,w,k,z,Total
Ceele_1,0.042492917847025496,0.0,0.0,0.0056657223796034,0.0028328611898017,0.0,0.0,0.0,0.0028328611898017,0.0028328611898017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056657223796033995
Ceele_2,0.031161473087818695,0.0056657223796034,0.0,0.0,0.0028328611898017,0.0,0.0056657223796034,0.0056657223796034,0.0,0.0084985835694051,0.0028328611898017,0.0,0.0,0.0028328611898017,0.0028328611898017,0.0,0.0,0.0,0.0,0.0028328611898017,0.0708215297450425
Ceele_3,0.07932011331444759,0.0084985835694051,0.0,0.0056657223796034,0.0,0.0028328611898017,0.0028328611898017,0.0,0.0,0.0028328611898017,0.0056657223796034,0.0,0.0028328611898017,0.0,0.0,0.0028328611898017,0.0,0.0,0.0,0.0,0.11331444759206799
Ceele_4,0.21813031161473087,0.0028328611898017,0.0056657223796034,0.014164305949008499,0.0028328611898017,0.0056657223796034,0.0084985835694051,0.0028328611898017,0.0084985835694051,0.0,0.0056657223796034,0.0028328611898017,0.0028328611898017,0.0,0.0028328611898017,0.0,0.0028328611898017,0.0,0.0,0.0,0.28611898016997167
Ceele_5,0.04815864022662889,0.0056657223796034,0.0,0.0056657223796034,0.0,0.0113314447592068,0.0,0.0084985835694051,0.0,0.0,0.0028328611898017,0.0,0.0056657223796034,0.0,0.0,0.0028328611898017,0.0,0.0,0.0,0.0,0.0906515580736544
Ceele_6,0.08781869688385269,0.0028328611898017,0.0084985835694051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0056657223796034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1048158640226629
Ceele_7,0.20113314447592068,0.0084985835694051,0.019830028328611898,0.0,0.0169971671388102,0.0,0.0028328611898017,0.0028328611898017,0.0084985835694051,0.0056657223796034,0.0,0.0,0.0,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0028328611898017,0.0,0.0,0.0,0.2776203966005666
cuentos_1,0.0,0.2,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.7
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
excale_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_5,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.7082152974504249,0.2339943342776204,0.13399433427762042,0.031161473087818695,0.0254957507082153,0.6864966949952785,0.1198300283286119,0.0198300283286119,0.0198300283286119,0.019830028328611898,0.1169971671388102,0.5418319169027384,0.0113314447592068,0.10566572237960341,0.0084985835694051,0.0084985835694051,0.0056657223796034,0.1,0.1,0.0028328611898017,3.0000000000000004
