,francisco,brillante,champagne,brincando,francisca,fransisca,fransisco,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
Ceele_3,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333
Ceele_4,0.2,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.26666666666666666
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.2
Ceele_7,0.2,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.26666666666666666
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5
cuentos_7,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,0.25,0.5,0.0,0.25,0.0,0.0,0.0,1.0
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,1.55,0.5,0.5,0.25,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.0
