,problemas,chillidos,franceses,chichones,cristales,crispadas,cristofer,prendemos,rrespetar,Total
Ceele_1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Ceele_3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
Ceele_4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
Ceele_5,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.2
Ceele_6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_1,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
cuentos_2,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
cuentos_3,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.25
cuentos_4,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.125
cuentos_5,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.125
cuentos_6,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
cuentos_7,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125
excale_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
excale_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,2.075,0.125,0.125,0.125,0.125,0.125,0.1,0.1,0.1,3.0
