,la,de,se,mi,su,me,lo,no,yo,le,ya,tu,si,te,ni,ha,da,va,ba,ve,ti,ce,he,co,ma,na,go,mo,fe,sa,so,ca,ta,pa,do,yu,pe,mu,to,vi,di,yi,li,re,fu,ho,qe,ye,vo,po,jo,ci,bo,xi,qo,gu,bi,fa,be,ri,cu,pi,qi,gy,ro,ge,ju,my,Total
Ceele_1,0.006895193065405832,0.0037431048069345944,0.0013790386130811663,0.004925137903861308,0.0,0.0031520882584712374,0.00019700551615445234,0.000591016548463357,0.00256107171000788,0.0,0.0,0.000591016548463357,0.0,0.0003940110323089047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0256107171000788
Ceele_2,0.016548463356973995,0.011623325453112687,0.006107171000788022,0.018124507486209612,0.0,0.00847123719464145,0.0,0.0017730496453900709,0.0070921985815602835,0.0003940110323089047,0.0,0.000591016548463357,0.00019700551615445234,0.0009850275807722615,0.0,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0003940110323089047,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0730890464933018
Ceele_3,0.029156816390858944,0.01615445232466509,0.01103230890464933,0.04117415287628053,0.00019700551615445234,0.01950354609929078,0.0017730496453900709,0.0013790386130811663,0.0070921985815602835,0.0003940110323089047,0.0009850275807722615,0.001182033096926714,0.0003940110323089047,0.002364066193853428,0.0,0.00019700551615445234,0.0007880220646178094,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.000591016548463357,0.0003940110323089047,0.0,0.0,0.0003940110323089047,0.0,0.00019700551615445234,0.0003940110323089047,0.0003940110323089047,0.0,0.0003940110323089047,0.0,0.0,0.0,0.00019700551615445234,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.13810086682427108
Ceele_4,0.04767533490937746,0.03526398739164697,0.0252167060677699,0.06382978723404255,0.000591016548463357,0.027186761229314422,0.001970055161544523,0.004531126871552403,0.012411347517730497,0.000591016548463357,0.0009850275807722615,0.0015760441292356187,0.0009850275807722615,0.001182033096926714,0.00019700551615445234,0.0,0.0009850275807722615,0.00019700551615445234,0.000591016548463357,0.0003940110323089047,0.0003940110323089047,0.0007880220646178094,0.0,0.0007880220646178094,0.00019700551615445234,0.0003940110323089047,0.0003940110323089047,0.0,0.0,0.0,0.00019700551615445234,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.00019700551615445234,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.23128447596532703
Ceele_5,0.025807722616233254,0.014972419227738377,0.0070921985815602835,0.022852639873916468,0.0009850275807722615,0.010441292356185973,0.0009850275807722615,0.0015760441292356187,0.008077226162332545,0.00019700551615445234,0.000591016548463357,0.0013790386130811663,0.0003940110323089047,0.0009850275807722615,0.00019700551615445234,0.0,0.0,0.0,0.00019700551615445234,0.0,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.0,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.0,0.00019700551615445234,0.00019700551615445234,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.09909377462568952
Ceele_6,0.02817178881008668,0.013199369582348306,0.008865248226950355,0.025807722616233254,0.0,0.010638297872340425,0.0017730496453900709,0.00256107171000788,0.006895193065405832,0.00019700551615445234,0.0,0.0009850275807722615,0.000591016548463357,0.0015760441292356187,0.0,0.0,0.0007880220646178094,0.0003940110323089047,0.0,0.0,0.0003940110323089047,0.0013790386130811663,0.0,0.00019700551615445234,0.0,0.00019700551615445234,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10520094562647754
Ceele_7,0.07131599684791175,0.04806934594168637,0.039401103230890466,0.08136327817178882,0.0009850275807722615,0.03368794326241135,0.004334121355397951,0.007880220646178092,0.019897557131599686,0.0007880220646178094,0.0009850275807722615,0.003940110323089046,0.0017730496453900709,0.0021670606776989757,0.00019700551615445234,0.00019700551615445234,0.0021670606776989757,0.000591016548463357,0.00019700551615445234,0.00019700551615445234,0.00019700551615445234,0.0003940110323089047,0.0,0.000591016548463357,0.0007880220646178094,0.00019700551615445234,0.0003940110323089047,0.000591016548463357,0.0,0.0003940110323089047,0.0003940110323089047,0.00019700551615445234,0.0003940110323089047,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0003940110323089047,0.0,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.00019700551615445234,0.0,0.00019700551615445234,0.00019700551615445234,0.00019700551615445234,0.00019700551615445234,0.0,0.0,0.00019700551615445234,0.0,0.00019700551615445234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3276201733648542
cuentos_1,0.040865384615384616,0.030849358974358976,0.011618589743589744,0.009615384615384616,0.003605769230769231,0.007612179487179487,0.00641025641025641,0.014022435897435898,0.00641025641025641,0.010817307692307692,0.003205128205128205,0.00641025641025641,0.006009615384615385,0.0028044871794871795,0.002003205128205128,0.002003205128205128,0.00040064102564102563,0.002403846153846154,0.0,0.001201923076923077,0.00040064102564102563,0.0,0.003205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040064102564102563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17227564102564102
cuentos_2,0.04006410256410257,0.036057692307692304,0.013221153846153846,0.0028044871794871795,0.008413461538461538,0.002003205128205128,0.005608974358974359,0.008814102564102564,0.00040064102564102563,0.00641025641025641,0.003205128205128205,0.004006410256410256,0.002003205128205128,0.002003205128205128,0.002403846153846154,0.003205128205128205,0.0,0.0,0.0,0.0,0.0008012820512820513,0.0,0.0008012820512820513,0.0,0.0,0.0,0.0,0.0,0.002003205128205128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14423076923076922
cuentos_3,0.030048076923076924,0.04006410256410257,0.010016025641025642,0.003605769230769231,0.011618589743589744,0.002003205128205128,0.003205128205128205,0.012419871794871794,0.002003205128205128,0.004407051282051282,0.0028044871794871795,0.0016025641025641025,0.0016025641025641025,0.0016025641025641025,0.0016025641025641025,0.001201923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.00040064102564102563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001201923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13141025641025642
cuentos_4,0.03365384615384615,0.05248397435897436,0.007211538461538462,0.002003205128205128,0.010416666666666666,0.0016025641025641025,0.005208333333333333,0.007612179487179487,0.0008012820512820513,0.0016025641025641025,0.0016025641025641025,0.00040064102564102563,0.0008012820512820513,0.0,0.0016025641025641025,0.00040064102564102563,0.0,0.0,0.0,0.0,0.0,0.0,0.0008012820512820513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282051282051282
cuentos_5,0.030849358974358976,0.0625,0.01282051282051282,0.0016025641025641025,0.005208333333333333,0.0,0.00641025641025641,0.006810897435897436,0.002003205128205128,0.0008012820512820513,0.0008012820512820513,0.0,0.0016025641025641025,0.0,0.00040064102564102563,0.003205128205128205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13501602564102563
cuentos_6,0.04487179487179487,0.05929487179487179,0.006810897435897436,0.002003205128205128,0.0028044871794871795,0.0,0.006009615384615385,0.006009615384615385,0.00040064102564102563,0.002003205128205128,0.0028044871794871795,0.004807692307692308,0.001201923076923077,0.00040064102564102563,0.001201923076923077,0.003605769230769231,0.00040064102564102563,0.00040064102564102563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040064102564102563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14543269230769232
cuentos_7,0.028846153846153848,0.07411858974358974,0.00641025641025641,0.013621794871794872,0.002003205128205128,0.003205128205128205,0.0028044871794871795,0.0016025641025641025,0.002003205128205128,0.00040064102564102563,0.0,0.0008012820512820513,0.0016025641025641025,0.0,0.004006410256410256,0.0,0.0,0.00040064102564102563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016025641025641025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14342948717948717
excale_1,0.0084774499830451,0.009833841980332316,0.010512037978975925,0.00033909799932180403,0.010512037978975925,0.0,0.005764665988470668,0.00169548999660902,0.0,0.003730077992539844,0.0,0.00033909799932180403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051203797897592405
excale_2,0.02204136995591726,0.022380467955239063,0.042726347914547304,0.0013563919972872161,0.029501525940996948,0.00169548999660902,0.02034587995930824,0.007460155985079688,0.0006781959986436081,0.009494743981010512,0.003730077992539844,0.0,0.001017293997965412,0.001017293997965412,0.0,0.00033909799932180403,0.0,0.0006781959986436081,0.00033909799932180403,0.0006781959986436081,0.00033909799932180403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033909799932180403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16615801966768395
