,basquetbol,corrientes,serpientes,convierten,conquistar,microondas,basquecbol,bosquetbol,cambiarmes,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0625,0.0625,0.0,0.0,0.0,0.0,0.0,0.0625,0.0,0.1875
Ceele_3,0.1875,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Ceele_4,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.1875
Ceele_5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125
Ceele_6,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,0.125
Ceele_7,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0.125
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
cuentos_5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
cuentos_6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2
cuentos_7,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4
excale_1,0,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0,0.0
Total,0.4375,0.5125,0.4,0.2,0.2,0.0625,0.0625,0.0625,0.0625,2.0
