,que,muy,soy,fue,dia,hay,vio,pie,voy,dio,nay,boy,soi,mui,rio,bio,hai,leo,boi,sea,qui,tia,veo,rey,tio,mia,hoy,feo,doy,cay,mie,via,toy,cai,pio,mio,lio,bie,tai,cae,say,doi,bia,voi,luy,loa,beo,cei,zea,yaa,rai,tue,fui,cua,pay,tua,noe,lee,jue,suy,vea,ley,you,bue,lui,dei,vii,hio,sue,toi,gue,Total
Ceele_1,0.009237875288683603,0.003079291762894534,0.009237875288683603,0.0,0.0,0.005388760585065435,0.0,0.004618937644341801,0.0007698229407236335,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03387220939183987
Ceele_2,0.02848344880677444,0.005388760585065435,0.022324865280985373,0.0,0.0,0.003849114703618168,0.0,0.003849114703618168,0.003079291762894534,0.0,0.0023094688221709007,0.003849114703618168,0.0007698229407236335,0.0,0.0,0.0,0.0,0.001539645881447267,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07929176289453425
Ceele_3,0.04157043879907621,0.013856812933025405,0.04541955350269438,0.0,0.0,0.011547344110854504,0.0,0.009237875288683603,0.003849114703618168,0.0,0.0023094688221709007,0.004618937644341801,0.0007698229407236335,0.0007698229407236335,0.0007698229407236335,0.0,0.0,0.0023094688221709007,0.0,0.0,0.0007698229407236335,0.0023094688221709007,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0007698229407236335,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.1447267128560431
Ceele_4,0.08929946112394149,0.024634334103156273,0.06081601231716705,0.001539645881447267,0.0007698229407236335,0.01924557351809084,0.0,0.011547344110854504,0.006928406466512702,0.0007698229407236335,0.006928406466512702,0.003849114703618168,0.004618937644341801,0.0,0.0,0.0,0.001539645881447267,0.001539645881447267,0.001539645881447267,0.0,0.0007698229407236335,0.0,0.0023094688221709007,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0007698229407236335,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2432640492686682
Ceele_5,0.03926096997690531,0.009237875288683603,0.02771362586605081,0.0,0.0,0.008468052347959968,0.0,0.004618937644341801,0.005388760585065435,0.0,0.003079291762894534,0.001539645881447267,0.001539645881447267,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10546574287913779
Ceele_6,0.03002309468822171,0.009237875288683603,0.03926096997690531,0.0,0.0,0.0007698229407236335,0.0,0.004618937644341801,0.003079291762894534,0.0007698229407236335,0.0023094688221709007,0.0007698229407236335,0.0023094688221709007,0.0023094688221709007,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10007698229407236
Ceele_7,0.09545804464973057,0.025404157043879907,0.07236335642802155,0.0,0.001539645881447267,0.016166281755196306,0.0,0.016936104695919937,0.003079291762894534,0.0007698229407236335,0.008468052347959968,0.006158583525789068,0.006928406466512702,0.003849114703618168,0.0007698229407236335,0.0007698229407236335,0.003849114703618168,0.003079291762894534,0.004618937644341801,0.0,0.003079291762894534,0.003849114703618168,0.0,0.0007698229407236335,0.001539645881447267,0.0,0.0007698229407236335,0.0,0.001539645881447267,0.0,0.0,0.0,0.0,0.0,0.0,0.0007698229407236335,0.0,0.001539645881447267,0.0007698229407236335,0.0,0.001539645881447267,0.001539645881447267,0.0,0.0007698229407236335,0.0007698229407236335,0.0007698229407236335,0.0,0.0007698229407236335,0.0007698229407236335,0.0007698229407236335,0.0007698229407236335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29330254041570436
cuentos_1,0.13271604938271606,0.013888888888888888,0.004629629629629629,0.0,0.0030864197530864196,0.0030864197530864196,0.0015432098765432098,0.0,0.004629629629629629,0.0030864197530864196,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.0015432098765432098,0.0,0.0,0.0030864197530864196,0.0,0.0,0.0,0.004629629629629629,0.0015432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.004629629629629629,0.0,0.0,0.0,0.0,0.0015432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18981481481481483
cuentos_2,0.13271604938271606,0.006172839506172839,0.0,0.0015432098765432098,0.009259259259259259,0.010802469135802469,0.0,0.0015432098765432098,0.0015432098765432098,0.0030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015432098765432098,0.0,0.0,0.0015432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015432098765432098,0.0,0.0,0.0,0.0,0.0,0.1712962962962963
cuentos_3,0.11728395061728394,0.004629629629629629,0.004629629629629629,0.006172839506172839,0.009259259259259259,0.0030864197530864196,0.0030864197530864196,0.0,0.0,0.0015432098765432098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030864197530864196,0.0,0.0,0.0,0.0015432098765432098,0.0030864197530864196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1574074074074074
