,juan,leer,luis,dias,bien,pais,pues,buen,caer,vien,ruiz,tien,pies,dios,diaz,raul,saul,joel,seis,diez,tios,real,sean,cien,piel,ruis,rios,qien,quin,mies,feos,tias,said,mios,reir,caen,dies,jair,noel,cual,ceis,joes,luus,zaul,cuel,leon,feis,jueg,liis,ceys,deel,joan,mias,fuen,nayn,paul,juon,seas,paez,luiz,maiz,miel,caos,caes,dean,raiz,rien,peor,fiel,mied,muyv,cuan,quel,sair,fuer,pias,seys,leal,nues,quen,Total
Ceele_1,0.0,0.0033222591362126247,0.0,0.006644518272425249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016611295681063124
Ceele_2,0.009966777408637873,0.013289036544850499,0.0,0.0,0.009966777408637873,0.0033222591362126247,0.0,0.0033222591362126247,0.0,0.0,0.0,0.013289036544850499,0.0,0.0,0.006644518272425249,0.0,0.0,0.009966777408637873,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07973421926910298
Ceele_3,0.013289036544850499,0.019933554817275746,0.03322259136212625,0.009966777408637873,0.009966777408637873,0.006644518272425249,0.0,0.0,0.0,0.0,0.006644518272425249,0.0033222591362126247,0.0,0.0,0.006644518272425249,0.0,0.009966777408637873,0.006644518272425249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0033222591362126247,0.006644518272425249,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.15614617940199335
Ceele_4,0.036544850498338874,0.04318936877076412,0.013289036544850499,0.009966777408637873,0.016611295681063124,0.023255813953488372,0.0,0.0033222591362126247,0.0,0.0,0.013289036544850499,0.0033222591362126247,0.006644518272425249,0.0033222591362126247,0.006644518272425249,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009966777408637873,0.0,0.0033222591362126247,0.0033222591362126247,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0,0.22591362126245848
Ceele_5,0.0,0.023255813953488372,0.0033222591362126247,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.009966777408637873,0.0,0.0,0.0033222591362126247,0.0,0.006644518272425249,0.0,0.0,0.0033222591362126247,0.0,0.0033222591362126247,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07641196013289037
Ceele_6,0.0033222591362126247,0.019933554817275746,0.016611295681063124,0.006644518272425249,0.0033222591362126247,0.006644518272425249,0.0,0.0,0.0,0.006644518272425249,0.009966777408637873,0.006644518272425249,0.0,0.0,0.0,0.0,0.009966777408637873,0.0,0.0,0.0,0.0,0.009966777408637873,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0033222591362126247,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11960132890365449
Ceele_7,0.03986710963455149,0.07641196013289037,0.03986710963455149,0.009966777408637873,0.0,0.023255813953488372,0.0,0.0,0.0033222591362126247,0.009966777408637873,0.0033222591362126247,0.016611295681063124,0.0033222591362126247,0.0,0.0033222591362126247,0.023255813953488372,0.0033222591362126247,0.0033222591362126247,0.006644518272425249,0.0,0.009966777408637873,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0,0.0,0.0,0.006644518272425249,0.0,0.0,0.0,0.0,0.006644518272425249,0.0033222591362126247,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0,0.0033222591362126247,0.0033222591362126247,0.0033222591362126247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32558139534883723
cuentos_1,0.0,0.0,0.0,0.009259259259259259,0.037037037037037035,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.009259259259259259,0.0,0.0,0.0,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1574074074074074
cuentos_2,0.0,0.0,0.0,0.037037037037037035,0.009259259259259259,0.0,0.009259259259259259,0.018518518518518517,0.0,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.009259259259259259,0.037037037037037035,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
cuentos_3,0.0,0.009259259259259259,0.0,0.009259259259259259,0.0,0.018518518518518517,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.009259259259259259,0.0,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.009259259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1388888888888889
