,tiene,luego,cielo,juego,miedo,siete,quedo,nieve,puede,sueno,fuera,buena,suelo,nuevo,bueno,quito,paola,ciete,quiso,viene,cueva,guego,puedo,biene,sielo,rueda,laura,haire,juana,ciego,diego,queda,suena,nueve,fuego,viaje,viera,fiero,cuela,cuida,mueve,deisi,ruido,quiza,leemo,zayra,quede,cuado,juega,nueva,noemi,caida,causa,vieja,muere,reina,mayra,pueda,vuena,luisa,hielo,cueto,suave,diana,hayre,viajo,vuela,viejo,naomi,peino,guapo,zaira,deisy,guana,seiba,duela,heidi,cooma,quiro,reyna,ciapa,juani,huevo,cuero,yoaha,pueta,ciero,tieda,loera,saira,siapa,jauja,nueba,baila,nuemi,cuata,ciere,huebo,puola,jaime,siera,quite,seibo,nuebo,bueve,quizo,hueco,haiti,violo,niego,riego,cauce,niega,caido,sauce,viena,suele,pieza,caiga,duele,reido,seiso,cuelo,paula,vieto,haora,piano,vueno,vailo,queha,cuade,buela,suala,fiare,siega,huele,viage,caery,reino,fuete,queno,vuelo,queso,Total
Ceele_1,0.007462686567164179,0.0,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01791044776119403
Ceele_2,0.04776119402985075,0.0,0.0,0.008955223880597015,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07014925373134329
Ceele_3,0.11194029850746269,0.0,0.0,0.010447761194029851,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0014925373134328358,0.0,0.004477611940298508,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.007462686567164179,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0014925373134328358,0.0014925373134328358,0.0,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.1701492537313433
Ceele_4,0.1701492537313433,0.007462686567164179,0.0,0.022388059701492536,0.0,0.0014925373134328358,0.0014925373134328358,0.0,0.0,0.0,0.0014925373134328358,0.0029850746268656717,0.0,0.0,0.0014925373134328358,0.0,0.0,0.004477611940298508,0.0,0.004477611940298508,0.0,0.0029850746268656717,0.0029850746268656717,0.0029850746268656717,0.0,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0029850746268656717,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0029850746268656717,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0029850746268656717,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2671641791044776
Ceele_5,0.05970149253731343,0.0014925373134328358,0.0,0.005970149253731343,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.004477611940298508,0.0029850746268656717,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029850746268656717,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09402985074626866
Ceele_6,0.08059701492537313,0.0029850746268656717,0.0,0.014925373134328358,0.0,0.007462686567164179,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12686567164179105
Ceele_7,0.13582089552238805,0.005970149253731343,0.0,0.022388059701492536,0.0,0.016417910447761194,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0029850746268656717,0.0,0.005970149253731343,0.004477611940298508,0.0,0.0014925373134328358,0.0,0.007462686567164179,0.0,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0029850746268656717,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0029850746268656717,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0029850746268656717,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0,0.0014925373134328358,0.0014925373134328358,0.0,0.0014925373134328358,0.0014925373134328358,0.0,0.0,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2537313432835821
cuentos_1,0.026595744680851064,0.015957446808510637,0.005319148936170213,0.0,0.0,0.010638297872340425,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015957446808510637,0.047872340425531915,0.0,0.005319148936170213,0.0,0.0,0.026595744680851064,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.015957446808510637,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.005319148936170213,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2765957446808511
cuentos_2,0.02127659574468085,0.005319148936170213,0.005319148936170213,0.0,0.0,0.010638297872340425,0.0,0.005319148936170213,0.0,0.005319148936170213,0.005319148936170213,0.015957446808510637,0.010638297872340425,0.015957446808510637,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15425531914893617
cuentos_3,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.031914893617021274,0.010638297872340425,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010638297872340425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12234042553191489
