,guadalupe,diabolica,quemadura,suavesito,mierofono,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091
Ceele_3,0.18181818181818182,0.0,0.0,0.0,0.0,0.18181818181818182
Ceele_4,0.3181818181818182,0.0,0.0,0.0,0.0,0.3181818181818182
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.13636363636363635,0.0,0.0,0.0,0.0,0.13636363636363635
Ceele_7,0.22727272727272727,0.0,0.0,0.0,0.045454545454545456,0.2727272727272727
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.5,0.0,0.0,0.0,0.5
cuentos_3,0.0,0.0,0.5,0.0,0.0,0.5
cuentos_4,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0.0,0.0,0.0,0.0,0.0,0.0
excale_2,0.0,0.0,0.0,0.0,0.0,0.0
excale_3,0.0,0.0,0.0,1.0,0.0,1.0
excale_4,0.0,0.0,0.0,0.0,0.0,0.0
excale_5,0.0,0.0,0.0,0.0,0.0,0.0
excale_6,0.0,0.0,0.0,0.0,0.0,0.0
excale_7,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.9545454545454545,0.5,0.5,1.0,0.045454545454545456,3.0
