,y,a,o,i,e,u,Total
Ceele_1,0.01762571280456195,0.012182477967858995,0.0012960082944530845,0.0,0.0,0.0002592016588906169,0.03136340072576464
Ceele_2,0.05469155002592017,0.016848107827890098,0.0010368066355624676,0.0002592016588906169,0.0002592016588906169,0.0002592016588906169,0.07335406946604459
Ceele_3,0.08320373250388803,0.042768273716951785,0.00414722654224987,0.0005184033177812338,0.0007776049766718507,0.0002592016588906169,0.1316744427164334
Ceele_4,0.15318818040435458,0.06402280974598237,0.006480041472265423,0.002851218247796786,0.0012960082944530845,0.0002592016588906169,0.22809745982374288
Ceele_5,0.05857957490927942,0.03110419906687403,0.0018144116122343183,0.0018144116122343183,0.0010368066355624676,0.0,0.09434940383618455
Ceele_6,0.07750129600829446,0.0321410057024365,0.0010368066355624676,0.00414722654224987,0.0007776049766718507,0.0,0.11560393986521514
Ceele_7,0.2179885951270088,0.0935717988595127,0.006998444790046656,0.002592016588906169,0.00414722654224987,0.0002592016588906169,0.32555728356661484
cuentos_1,0.06908665105386416,0.053864168618266976,0.00234192037470726,0.00468384074941452,0.00351288056206089,0.00234192037470726,0.1358313817330211
cuentos_2,0.09250585480093677,0.06088992974238876,0.00468384074941452,0.0,0.0,0.0,0.15807962529274006
cuentos_3,0.08665105386416862,0.06557377049180328,0.00936768149882904,0.0,0.0,0.0,0.16159250585480095
cuentos_4,0.08548009367681499,0.04332552693208431,0.00702576112412178,0.0,0.00234192037470726,0.0,0.13817330210772832
cuentos_5,0.08313817330210772,0.05035128805620609,0.01639344262295082,0.0,0.00351288056206089,0.0,0.15339578454332553
cuentos_6,0.09133489461358314,0.03395784543325527,0.01288056206088993,0.00117096018735363,0.00351288056206089,0.0,0.14285714285714285
cuentos_7,0.07377049180327869,0.02224824355971897,0.00468384074941452,0.00702576112412178,0.00234192037470726,0.0,0.11007025761124122
excale_1,0.03372549019607843,0.013333333333333334,0.0,0.0,0.0,0.0,0.047058823529411764
excale_2,0.10705882352941176,0.05137254901960785,0.000784313725490196,0.0,0.001176470588235294,0.0,0.1603921568627451
excale_3,0.13647058823529412,0.06705882352941177,0.0,0.0,0.000392156862745098,0.0,0.20392156862745098
excale_4,0.19725490196078432,0.09098039215686274,0.0,0.000784313725490196,0.000392156862745098,0.0,0.28941176470588237
excale_5,0.08901960784313726,0.03490196078431373,0.000392156862745098,0.000784313725490196,0.0,0.0,0.12509803921568627
excale_6,0.06862745098039216,0.027058823529411764,0.0,0.0,0.0,0.0,0.09568627450980392
excale_7,0.05411764705882353,0.02235294117647059,0.000392156862745098,0.000784313725490196,0.000784313725490196,0.0,0.0784313725490196
Total,1.9310203647019832,0.9299082692506419,0.08175542261368256,0.02741598120521952,0.026262033559312618,0.0036379286691603447,3.0
