,encontro,espectro,arrastro,engendra,engendro,antorcha,almendra,Total
Ceele_1,0,0,0,0,0,0,0,0.0
Ceele_2,0,0,0,0,0,0,0,0.0
Ceele_3,0,0,0,0,0,0,0,0.0
Ceele_4,0,0,0,0,0,0,0,0.0
Ceele_5,0,0,0,0,0,0,0,0.0
Ceele_6,0,0,0,0,0,0,0,0.0
Ceele_7,0,0,0,0,0,0,0,0.0
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_3,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
cuentos_4,0.0,0.4444444444444444,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.6666666666666666
cuentos_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_6,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111
excale_1,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
excale_2,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285
excale_3,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142
excale_4,0.14285714285714285,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.21428571428571427
excale_5,0.07142857142857142,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.14285714285714285
excale_6,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427
excale_7,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
Total,0.8968253968253967,0.4444444444444444,0.21428571428571427,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.9999999999999996
