,actividades,incomodidad,irregulares,envejecidos,indicadores,espabilados,antibidades,actibidades,Total
Ceele_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_2,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285
Ceele_3,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
Ceele_4,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
Ceele_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceele_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285
cuentos_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2
cuentos_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cuentos_4,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2
cuentos_5,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2
cuentos_6,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.4
cuentos_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
excale_1,0,0,0,0,0,0,0,0,0.0
excale_2,0,0,0,0,0,0,0,0,0.0
excale_3,0,0,0,0,0,0,0,0,0.0
excale_4,0,0,0,0,0,0,0,0,0.0
excale_5,0,0,0,0,0,0,0,0,0.0
excale_6,0,0,0,0,0,0,0,0,0.0
excale_7,0,0,0,0,0,0,0,0,0.0
Total,0.7142857142857142,0.2,0.2,0.2,0.2,0.2,0.14285714285714285,0.14285714285714285,2.0
